Player,90s,Gls,Ast,npxG,xAG,npxG+xAG,PrgC,CrsPA,Sh,SoT,G/Sh,G/SoT,Crs,Att,Succ,Succ%,Carries,Rec,PrgR,SCA,PassLive,PassDead,TO,Def,GCA
Ferrán Torres,1.1,1,0,0.2,0.1,0.3,3,1,3,1,0.33,1.0,5,4,0,0.0,22,28,9,1,1,0,0,0,0
Cenk Tosun,0.2,1,0,0.2,0.0,0.2,1,0,1,1,1.0,1.0,0,0,0,0.0,3,4,1,0,0,0,0,0,0
Leandro Trossard,1.9,0,0,0.2,0.1,0.4,5,1,4,1,0.0,0.0,3,3,0,0.0,63,72,8,6,6,0,0,0,0
Ľubomír Tupta,0.1,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0,0,0,0.0,4,4,1,1,0,0,0,0,0
Deniz Undav,0.1,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Vladyslav Vanat,0.2,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,4,2,0,0,0,0,0,0
Barnabás Varga,2.8,1,0,1.2,0.1,1.3,1,0,4,2,0.25,0.5,0,1,0,0.0,43,53,11,1,0,0,0,0,0
Ruben Vargas,2.7,1,1,0.7,1.1,1.8,13,0,5,4,0.2,0.25,12,6,1,16.7,88,95,17,9,8,1,0,0,2
Žan Vipotnik,0.2,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,5,0,0,0,0,0,0,0
Dušan Vlahović,2.0,0,0,0.2,0.0,0.2,1,0,6,2,0.0,0.0,0,2,2,100.0,30,29,8,4,1,0,0,0,0
Ollie Watkins,0.2,0,0,0.2,0.0,0.2,0,0,1,1,0.0,0.0,0,1,0,0.0,3,3,1,0,0,0,0,0,0
Wout Weghorst,0.5,1,1,0.2,0.1,0.3,0,0,2,1,0.5,1.0,0,1,0,0.0,12,21,4,1,1,0,0,0,1
Andreas Weimann,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
Nico Williams,2.6,1,1,0.8,0.9,1.7,17,3,7,2,0.14,0.5,15,23,9,39.1,100,109,40,16,10,4,1,0,2
Jonas Wind,2.1,0,1,0.5,0.8,1.2,0,1,5,1,0.0,0.0,1,3,0,0.0,69,81,21,8,7,0,0,0,1
Lamine Yamal,2.9,0,2,1.5,1.6,3.1,24,3,11,3,0.0,0.0,16,26,11,42.3,112,121,26,21,16,1,3,0,2
Roman Yaremchuk,1.3,1,0,0.4,0.1,0.6,3,0,6,2,0.17,0.5,0,2,2,100.0,33,38,11,3,2,0,0,0,0
Andriy Yarmolenko,1.2,0,0,0.5,0.0,0.5,4,0,4,0,0.0,0.0,5,1,0,0.0,35,40,11,3,2,0,0,0,0
Yusuf Yazıcı,0.6,0,0,0.2,0.0,0.2,0,0,3,2,0.0,0.0,0,1,1,100.0,16,20,2,0,0,0,0,0,0
Kenan Yıldız,3.0,0,0,0.7,0.1,0.7,10,0,9,2,0.0,0.0,2,13,5,38.5,82,108,21,14,9,0,2,0,1
Mattia Zaccagni,0.9,1,0,0.2,0.4,0.6,2,1,2,1,0.5,1.0,5,6,3,50.0,33,32,14,6,5,0,0,0,0
Budu Zivzivadze,0.2,0,0,0.1,0.0,0.1,0,0,1,0,0.0,0.0,0,0,0,0.0,5,5,1,1,0,0,0,0,0
Steven Zuber,0.2,0,0,0.1,0.0,0.1,0,0,1,0,0.0,0.0,0,0,0,0.0,9,13,1,1,1,0,0,0,0
Oleksandr Zubkov,0.3,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,5,6,1,0,0,0,0,0,0
