,Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
91,89,Marc Cucurella,DF,es Spain,25-356,1998,5.1,12,9,3,6,3,5,8,62.5,3,9,4,5,6,18,10,0,Matches
92,90,Mirlind Daku,FW,al Albania,26-193,1998,0.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
93,91,Diogo Dalot,"DF,MF",pt Portugal,25-116,1999,1.7,1,1,1,0,0,0,0,,0,2,1,1,1,2,1,0,Matches
94,92,Mikkel Damsgaard,FW,dk Denmark,24-009,2000,0.4,1,1,1,0,0,0,0,,0,1,0,1,1,2,1,0,Matches
95,93,Kevin Danso,DF,at Austria,25-297,1998,2.4,0,0,0,0,0,0,1,0.0,1,4,3,1,0,0,13,0,Matches
96,94,Márton Dárdai,DF,hu Hungary,22-151,2002,1.9,4,1,4,0,0,2,5,40.0,3,2,0,2,0,4,3,0,Matches
97,95,Matteo Darmian,DF,it Italy,34-223,1989,1.8,1,1,1,0,0,1,2,50.0,1,4,3,1,1,2,6,0,Matches
98,96,Zuriko Davitashvili,"FW,MF",ge Georgia,23-148,2001,1.3,4,3,2,0,2,2,3,66.7,1,3,0,3,0,4,1,0,Matches
99,97,Paweł Dawidowicz,DF,pl Poland,29-053,1995,2.0,1,0,1,0,0,0,1,0.0,1,4,3,1,0,1,7,0,Matches
100,98,Kevin De Bruyne,MF,be Belgium,33-014,1991,4.0,5,1,3,0,2,1,3,33.3,2,2,0,2,0,5,2,0,Matches
101,99,Charles De Ketelaere,FW,be Belgium,23-124,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
102,100,Zeno Debast,DF,be Belgium,20-262,2003,1.2,3,1,2,1,0,1,1,100.0,0,3,1,2,0,3,8,0,Matches
104,101,Thomas Delaney,MF,dk Denmark,32-313,1991,0.9,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Matches
105,102,Ousmane Dembélé,"FW,MF",fr France,27-058,1997,4.0,8,5,0,5,3,3,3,100.0,0,7,0,7,1,9,2,1,Matches
106,103,Merih Demiral,DF,tr Türkiye,26-129,1998,2.3,2,2,2,0,0,2,2,100.0,0,8,6,2,4,6,26,1,Matches
107,104,Giovanni Di Lorenzo,"DF,FW",it Italy,30-343,1993,4.0,13,9,9,3,1,7,12,58.3,5,4,1,3,6,19,6,1,Matches
108,105,Rúben Dias,DF,pt Portugal,27-059,1997,4.7,2,1,2,0,0,1,3,33.3,2,7,4,3,3,5,12,0,Matches
109,106,Federico Dimarco,"DF,FW",it Italy,26-245,1997,2.5,4,2,0,2,2,2,2,100.0,0,4,2,2,2,6,2,1,Matches
110,107,Berat Djimsiti,DF,al Albania,31-144,1993,3.0,1,0,1,0,0,0,1,0.0,1,8,5,3,2,3,16,0,Matches
111,108,Jeremy Doku,"FW,MF",be Belgium,22-046,2002,3.6,3,2,3,0,0,1,4,25.0,3,1,0,1,1,4,1,1,Matches
112,109,Kasper Dolberg,FW,dk Denmark,26-280,1997,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
113,110,Gianluigi Donnarumma,GK,it Italy,25-138,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
114,111,David Doudera,FW,cz Czechia,26-042,1998,1.0,3,2,3,0,0,3,4,75.0,1,1,0,1,0,3,2,0,Matches
115,112,Artem Dovbyk,FW,ua Ukraine,27-021,1997,2.7,2,2,0,0,2,0,0,,0,0,0,0,1,3,2,0,Matches
116,113,Denis Drăguș,FW,ro Romania,25-006,1999,3.2,2,1,1,0,1,0,5,0.0,5,4,1,3,1,3,8,0,Matches
117,114,Radu Drăgușin,DF,ro Romania,22-160,2002,4.0,1,1,1,0,0,1,3,33.3,2,6,4,2,6,7,33,0,Matches
118,115,Vanja Drkušič,DF,si Slovenia,24-256,1999,4.3,12,7,11,1,0,11,13,84.6,2,3,2,1,1,13,16,0,Matches
119,116,Kwadwo Duah,FW,ch Switzerland,27-139,1997,1.2,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0,Matches
120,117,Martin Dúbravka,GK,sk Slovakia,35-179,1989,4.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1,Matches
121,118,Ondrej Duda,MF,sk Slovakia,29-220,1994,3.5,7,3,2,4,1,4,6,66.7,2,8,3,5,3,10,5,0,Matches
122,119,Denzel Dumfries,DF,nl Netherlands,28-085,1996,5.0,7,5,4,0,3,4,7,57.1,3,5,2,3,3,10,6,0,Matches
123,120,Dávid Ďuriš,"FW,MF",sk Slovakia,25-112,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
124,121,Lasha Dvali,DF,ge Georgia,29-059,1995,4.0,8,3,7,1,0,4,7,57.1,3,6,5,1,1,9,24,0,Matches
125,122,Timi Elšnik,MF,si Slovenia,26-074,1998,4.0,13,7,7,4,2,5,7,71.4,2,6,3,3,4,17,5,0,Matches
126,123,Breel Embolo,FW,ch Switzerland,27-149,1997,3.3,3,3,0,2,1,0,0,,0,3,0,3,1,4,3,0,Matches
127,124,Christian Eriksen,"MF,FW",dk Denmark,32-149,1992,3.9,6,2,1,3,2,3,4,75.0,1,3,0,3,2,8,2,0,Matches
128,125,Eberechi Eze,"DF,MF",eng England,26-013,1998,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
130,126,Wout Faes,DF,be Belgium,26-100,1998,4.0,10,7,5,5,0,3,3,100.0,0,5,3,2,4,14,11,2,Matches
131,127,Nicolò Fagioli,MF,it Italy,23-151,2001,1.1,3,1,2,0,1,1,2,50.0,1,1,1,0,0,3,0,0,Matches
132,128,João Félix,"MF,FW",pt Portugal,24-245,1999,1.2,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,0,0,Matches
133,129,Bruno Fernandes,MF,pt Portugal,29-308,1994,4.2,8,5,5,3,0,2,3,66.7,1,6,1,5,2,10,2,0,Matches
134,130,Attila Fiola,DF,hu Hungary,34-146,1990,2.0,3,1,2,0,1,2,2,100.0,0,1,1,0,0,3,9,0,Matches
135,131,Phil Foden,"FW,MF",eng England,24-045,2000,5.9,5,3,2,2,1,1,4,25.0,3,5,0,5,1,6,2,0,Matches
136,132,Youssouf Fofana,MF,fr France,25-184,1999,0.5,1,1,1,0,0,0,3,0.0,3,0,0,0,1,2,1,0,Matches
137,133,Michael Folorunsho,FW,it Italy,26-156,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
138,134,Przemysław Frankowski,DF,pl Poland,29-091,1995,3.0,7,5,6,0,1,3,12,25.0,9,1,0,1,1,8,12,0,Matches
139,135,Davide Frattesi,MF,it Italy,24-264,1999,2.1,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0,Matches
140,136,Remo Freuler,MF,ch Switzerland,32-088,1992,5.1,8,5,3,3,2,1,7,14.3,6,8,0,8,4,12,10,0,Matches
141,137,Jeremie Frimpong,FW,nl Netherlands,23-215,2000,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
142,138,Chris Führich,FW,de Germany,26-185,1998,0.2,1,1,0,0,1,1,1,100.0,0,2,0,2,0,1,0,0,Matches
143,139,Niclas Füllkrug,FW,de Germany,31-154,1993,1.8,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,3,0,Matches
144,140,Mijat Gaćinović,DF,rs Serbia,29-155,1995,0.5,1,1,1,0,0,1,2,50.0,1,2,0,2,0,1,0,0,Matches
145,141,Cody Gakpo,FW,nl Netherlands,25-066,1999,5.8,9,8,3,4,2,2,12,16.7,10,5,0,5,4,13,5,0,Matches
146,142,Conor Gallagher,MF,eng England,24-157,2000,1.3,1,0,1,0,0,0,2,0.0,2,3,1,2,1,2,4,1,Matches
147,143,Dániel Gazdag,MF,hu Hungary,28-132,1996,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
148,144,Lutsharel Geertruida,DF,nl Netherlands,23-360,2000,1.2,4,3,3,1,0,0,0,,0,2,0,2,0,4,0,0,Matches
149,145,Billy Gilmour,MF,sct Scotland,23-031,2001,2.0,1,1,0,1,0,0,0,,0,2,0,2,0,1,2,0,Matches
150,146,Olivier Giroud,FW,fr France,37-286,1986,0.7,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches
151,147,Klaus Gjasula,MF,al Albania,34-211,1989,0.2,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Matches
152,148,Adam Gnezda Čerin,MF,si Slovenia,24-362,1999,4.3,9,5,8,1,0,4,9,44.4,5,7,0,7,5,14,10,0,Matches
153,149,Anthony Gordon,FW,eng England,23-139,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
154,150,Jon Gorenc Stanković,MF,si Slovenia,28-180,1996,1.0,1,1,1,0,0,0,1,0.0,1,3,3,0,0,1,2,0,Matches
156,151,Michael Gregoritsch,FW,at Austria,30-085,1994,1.4,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches
157,152,Antoine Griezmann,"MF,FW",fr France,33-113,1991,4.4,5,3,2,2,1,4,6,66.7,2,4,0,4,1,6,2,1,Matches
158,153,Florian Grillitsch,MF,at Austria,28-340,1995,2.2,2,1,1,0,1,1,3,33.3,2,0,0,0,6,8,0,0,Matches
159,154,Álex Grimaldo,DF,es Spain,28-296,1995,1.3,1,1,1,0,0,1,2,50.0,1,1,0,1,3,4,4,0,Matches
160,155,Pascal Groß,MF,de Germany,33-027,1991,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
161,156,Kamil Grosicki,MF,pl Poland,36-034,1988,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
162,157,Nemanja Gudelj,MF,rs Serbia,32-239,1991,1.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,Matches
163,158,Marc Guéhi,DF,eng England,23-365,2000,5.3,2,2,0,1,1,0,1,0.0,1,8,5,3,2,4,8,0,Matches
164,159,Péter Gulácsi,GK,hu Hungary,34-067,1990,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
165,160,Arda Güler,"FW,MF",tr Türkiye,19-138,2005,3.8,9,5,5,2,2,7,11,63.6,4,0,0,0,3,12,0,0,Matches
166,161,İlkay Gündoğan,MF,de Germany,33-262,1990,4.3,5,4,1,3,1,0,2,0.0,2,0,0,0,1,6,0,0,Matches
167,162,Angus Gunn,GK,sct Scotland,28-172,1996,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
168,163,Mert Günok,GK,tr Türkiye,35-133,1989,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,Matches
169,164,Joško Gvardiol,DF,hr Croatia,22-171,2002,3.0,5,3,3,1,1,2,4,50.0,2,2,1,1,5,10,4,0,Matches
170,165,Giorgi Gwelesiani,DF,ge Georgia,33-068,1991,1.8,3,3,3,0,0,3,5,60.0,2,3,3,0,2,5,15,1,Matches
171,166,Norbert Gyömbér,DF,sk Slovakia,32-009,1992,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
172,167,Ianis Hagi,MF,ro Romania,25-264,1998,2.1,5,3,2,1,2,2,4,50.0,2,1,0,1,0,5,4,0,Matches
173,168,Dávid Hancko,DF,sk Slovakia,26-212,1997,4.1,10,5,6,4,0,4,11,36.4,7,7,2,5,3,13,10,0,Matches
174,169,Grant Hanley,DF,sct Scotland,32-235,1991,2.5,2,0,1,1,0,0,0,,0,2,1,1,1,3,11,0,Matches
175,170,Lukáš Haraslín,FW,sk Slovakia,28-047,1996,2.9,4,4,2,1,1,4,6,66.7,2,1,0,1,3,7,5,0,Matches
176,171,Kai Havertz,"FW,MF",de Germany,25-031,1999,4.3,2,1,1,1,0,2,2,100.0,0,4,0,4,0,2,8,0,Matches
177,172,Jack Hendry,DF,sct Scotland,29-066,1995,2.9,2,1,1,1,0,2,2,100.0,0,2,2,0,1,3,10,0,Matches
178,173,Benjamin Henrichs,DF,de Germany,27-140,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
179,174,Theo Hernández,DF,fr France,26-280,1997,6.3,10,6,7,2,1,6,9,66.7,3,6,5,1,3,13,12,2,Matches
180,175,Morten Hjulmand,MF,dk Denmark,25-017,1999,2.7,3,1,1,2,0,2,5,40.0,3,3,1,2,1,4,3,1,Matches
182,176,Adam Hložek,MF,cz Czechia,21-353,2002,1.2,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,1,0,Matches
183,177,Tomáš Holeš,DF,cz Czechia,31-103,1993,3.0,10,5,5,3,2,7,10,70.0,3,4,2,2,2,12,12,0,Matches
184,178,Arbër Hoxha,"FW,MF",al Albania,25-280,1998,0.6,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
185,179,Robin Hranáč,DF,cz Czechia,24-165,2000,3.0,2,1,1,1,0,2,2,100.0,0,3,1,2,0,2,12,1,Matches
186,180,Elseid Hysaj,DF,al Albania,30-143,1994,2.0,1,1,0,1,0,1,5,20.0,4,3,2,1,0,1,2,0,Matches
187,181,Pierre Højbjerg,MF,dk Denmark,28-342,1995,3.9,10,7,5,5,0,7,13,53.8,6,5,0,5,3,13,5,0,Matches
188,182,Rasmus Højlund,FW,dk Denmark,21-159,2003,3.2,3,1,0,1,2,1,4,25.0,3,0,0,0,1,4,1,0,Matches
189,183,Ivan Ilić,MF,rs Serbia,23-117,2001,2.2,6,4,4,1,1,3,3,100.0,0,4,3,1,0,6,3,1,Matches
190,184,Josip Iličić,"FW,MF",si Slovenia,36-165,1988,0.3,2,1,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0,Matches
191,185,Gonçalo Inácio,DF,pt Portugal,22-322,2001,1.3,2,2,1,1,0,2,5,40.0,3,6,0,6,1,3,5,0,Matches
192,186,Luka Ivanušec,MF,hr Croatia,25-229,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
193,187,Erik Janža,DF,si Slovenia,31-021,1993,3.0,4,4,3,1,0,1,5,20.0,4,1,1,0,2,6,8,0,Matches
194,188,Jorginho,MF,it Italy,32-205,1991,2.4,6,2,6,0,0,3,8,37.5,5,3,0,3,4,10,1,0,Matches
195,189,Joselu,FW,es Spain,34-107,1990,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,Matches
196,190,Diogo Jota,"FW,MF",pt Portugal,27-221,1996,1.1,3,2,0,2,1,0,0,,0,1,0,1,0,3,0,0,Matches
197,191,Luka Jović,"MF,FW",rs Serbia,26-202,1997,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
198,192,Josip Juranović,DF,hr Croatia,28-331,1995,1.0,3,3,1,2,0,2,3,66.7,1,1,1,0,1,4,1,0,Matches
