,Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
72,71,Jacob Bruun Larsen,"FW,MF",dk Denmark,25-283,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
73,72,Ante Budimir,FW,hr Croatia,32-342,1991,3,122.0,41.0,45.2,1.4,1,55.0,0,2,34.0,0,0.67,3.0,5.0,-2.0,-1.48,-0.87,3.3,2.8,0.5,0.37,-0.13,Matches
74,73,Adam Buksa,FW,pl Poland,27-352,1996,2,149.0,75.0,55.2,1.7,2,75.0,1,0,,1,0.0,2.0,3.0,-1.0,-0.6,0.88,2.4,2.1,0.3,0.18,1.73,Matches
75,74,Alessandro Buongiorno,DF,it Italy,25-022,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
76,75,Andrei Burcă,DF,ro Romania,31-074,1993,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,4.0,3.0,1.0,0.33,,3.2,3.3,-0.1,-0.04,,Matches
78,76,Heorhiy Bushchan,GK,ua Ukraine,30-028,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
79,77,Marcin Bułka,GK,pl Poland,24-268,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
80,78,Uğurcan Çakır,GK,tr Türkiye,28-084,1996,0,,,0.0,0.0,0,,0,0,,2,3.0,2.0,1.0,1.0,,,,,,,,Matches
81,79,Riccardo Calafiori,DF,it Italy,22-040,2002,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,3.0,0.0,0.0,,2.6,3.5,-0.9,-0.29,,Matches
82,80,Hakan Çalhanoğlu,MF,tr Türkiye,30-141,1994,3,265.0,88.0,98.1,2.9,3,88.0,1,0,,0,2.0,3.0,5.0,-2.0,-0.68,-36.68,4.0,4.6,-0.6,-0.21,-16.01,Matches
83,81,Eduardo Camavinga,MF,fr France,21-231,2002,2,50.0,25.0,18.5,0.6,0,,0,2,25.0,1,2.0,0.0,1.0,-1.0,-1.8,-2.62,0.5,1.0,-0.5,-0.98,-2.56,Matches
84,82,Andrea Cambiaso,"FW,MF",it Italy,24-129,2000,2,59.0,30.0,21.9,0.7,0,,0,2,30.0,1,1.5,0.0,1.0,-1.0,-1.53,-1.95,0.2,1.3,-1.2,-1.79,-1.92,Matches
85,83,Emre Can,MF,de Germany,30-168,1994,2,30.0,15.0,11.1,0.3,0,,0,2,15.0,1,3.0,1.0,1.0,0.0,0.0,-2.25,0.6,0.3,0.3,0.77,-0.33,Matches
86,84,João Cancelo,"MF,DF",pt Portugal,30-032,1994,2,156.0,78.0,57.8,1.7,2,78.0,0,0,,1,3.0,4.0,1.0,3.0,1.73,2.52,2.8,1.1,1.7,0.96,-0.04,Matches
87,85,Yannick Carrasco,"DF,FW",be Belgium,30-298,1993,3,131.0,44.0,48.5,1.5,1,83.0,0,2,24.0,0,1.33,1.0,1.0,0.0,0.0,-0.65,2.4,1.5,1.0,0.66,0.04,Matches
88,86,Dani Carvajal,DF,es Spain,32-169,1992,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,3.0,4.0,0.0,4.0,2.0,1.0,4.0,2.3,1.7,0.87,-0.15,Matches
89,87,Timothy Castagne,DF,be Belgium,28-206,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,2.0,1.0,1.0,0.33,,4.2,2.3,1.9,0.64,,Matches
90,88,Koen Casteels,GK,be Belgium,32-003,1992,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,2.0,1.0,1.0,0.33,,4.2,2.3,1.9,0.64,,Matches
91,89,Žan Celar,"MF,FW",si Slovenia,25-106,1999,2,21.0,11.0,7.8,0.2,0,,0,2,11.0,1,1.0,1.0,0.0,1.0,4.29,4.65,0.4,0.1,0.3,1.31,1.96,Matches
92,90,Zeki Çelik,"DF,MF",tr Türkiye,27-132,1997,2,96.0,48.0,35.6,1.1,1,90.0,1,1,6.0,1,1.5,1.0,3.0,-2.0,-1.87,-2.91,1.6,2.1,-0.5,-0.43,-0.81,Matches
93,91,Václav Černý,MF,cz Czechia,26-255,1997,1,54.0,54.0,20.0,0.6,1,54.0,0,0,,2,1.0,0.0,1.0,-1.0,-1.67,-1.25,1.7,0.8,0.9,1.45,1.52,Matches
94,92,Lukáš Červ,MF,cz Czechia,23-079,2001,0,,,0.0,0.0,0,,0,0,,2,0.0,1.0,2.0,-1.0,,,,,,,,Matches
95,93,Giorgi Chakvetadze,"MF,FW",ge Georgia,24-304,1999,3,182.0,61.0,67.4,2.0,2,77.0,0,1,29.0,0,1.33,3.0,2.0,1.0,0.49,1.52,2.9,3.3,-0.4,-0.21,3.37,Matches
96,94,Federico Chiesa,FW,it Italy,26-247,1997,3,173.0,58.0,64.1,1.9,2,70.0,0,1,34.0,0,1.33,3.0,2.0,1.0,0.52,1.45,2.0,1.8,0.2,0.11,1.12,Matches
97,95,Tomáš Chorý,MF,cz Czechia,29-154,1995,2,36.0,18.0,13.3,0.4,0,,0,2,18.0,1,0.0,1.0,1.0,0.0,0.0,0.77,1.0,0.6,0.4,1.02,0.9,Matches
98,96,Andreas Christensen,DF,dk Denmark,28-079,1996,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,2.0,0.0,0.0,,3.2,2.2,0.9,0.31,,Matches
99,97,Ryan Christie,"MF,FW",sct Scotland,29-127,1995,3,99.0,33.0,36.7,1.1,1,90.0,1,2,5.0,0,0.33,0.0,5.0,-5.0,-4.55,-4.55,0.2,2.8,-2.6,-2.59,-2.14,Matches
100,98,Mojmir Chytil,FW,cz Czechia,25-060,1999,3,107.0,36.0,39.6,1.2,1,54.0,0,2,27.0,0,0.33,1.0,3.0,-2.0,-1.68,-1.68,1.2,1.8,-0.6,-0.5,-1.23,Matches
101,99,Alexandru Cicâldău,MF,ro Romania,26-356,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
102,100,Zander Clark,GK,sct Scotland,32-002,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
104,101,Jonathan Clauss,"DF,FW",fr France,31-277,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
105,102,Florinel Coman,MF,ro Romania,26-079,1998,2,118.0,59.0,43.7,1.3,2,59.0,0,0,,1,2.0,4.0,1.0,3.0,2.29,3.47,2.2,1.0,1.2,0.91,1.69,Matches
106,103,Kingsley Coman,MF,fr France,28-015,1996,1,16.0,16.0,5.9,0.2,0,,0,1,16.0,2,1.0,0.0,0.0,0.0,0.0,-0.35,0.0,0.0,0.0,0.08,-1.09,Matches
107,104,Francisco Conceição,"MF,DF",pt Portugal,21-197,2002,2,91.0,46.0,33.7,1.0,1,90.0,1,1,1.0,1,1.5,1.0,2.0,-1.0,-0.99,-2.5,2.7,1.6,1.1,1.06,0.12,Matches
108,105,Tommy Conway,FW,sct Scotland,21-327,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
109,106,Liam Cooper,DF,sct Scotland,32-303,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
110,107,Diogo Costa,GK,pt Portugal,24-283,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.0,5.0,3.0,2.0,0.67,,5.7,2.8,2.9,0.98,,Matches
111,108,Vladimír Coufal,"DF,FW",cz Czechia,31-311,1992,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,5.1,4.3,0.7,0.24,,Matches
112,109,Bryan Cristante,MF,it Italy,29-117,1995,2,59.0,30.0,21.9,0.7,0,,0,2,30.0,1,1.5,0.0,1.0,-1.0,-1.53,-1.95,0.2,1.3,-1.2,-1.79,-1.92,Matches
113,110,Kevin Csoboth,DF,hu Hungary,24-008,2000,2,9.0,5.0,3.3,0.1,0,,0,2,5.0,1,1.5,1.0,0.0,1.0,10.0,11.38,1.1,0.2,0.8,8.32,8.68,Matches
114,111,Marc Cucurella,DF,es Spain,25-342,1998,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,3.0,4.0,0.0,4.0,2.0,1.0,4.0,2.3,1.7,0.87,-0.15,Matches
115,112,Mirlind Daku,FW,al Albania,26-179,1998,1,6.0,6.0,2.2,0.1,0,,0,1,6.0,1,1.0,1.0,0.0,1.0,15.0,16.02,0.5,0.2,0.2,3.71,4.89,Matches
116,113,Diogo Dalot,"DF,MF",pt Portugal,25-102,1999,2,152.0,76.0,56.3,1.7,2,76.0,1,0,,1,1.5,0.0,3.0,-3.0,-1.78,-5.59,3.0,1.8,1.2,0.7,-0.64,Matches
117,114,Mikkel Damsgaard,FW,dk Denmark,23-361,2000,1,34.0,34.0,12.6,0.4,0,,0,1,34.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,0.85,0.62,Matches
118,115,Flavius Daniliuc,DF,at Austria,23-062,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
119,116,Kevin Danso,DF,at Austria,25-283,1998,2,122.0,61.0,45.2,1.4,1,90.0,1,1,32.0,1,1.5,2.0,1.0,1.0,0.74,0.13,2.2,2.5,-0.3,-0.21,0.54,Matches
120,117,Márton Dárdai,DF,hu Hungary,22-137,2002,3,175.0,58.0,64.8,1.9,2,82.0,1,1,12.0,0,1.0,0.0,3.0,-3.0,-1.54,-1.54,1.6,2.1,-0.5,-0.28,-0.59,Matches
121,118,Matteo Darmian,DF,it Italy,34-209,1989,2,88.0,44.0,32.6,1.0,1,80.0,0,1,8.0,1,2.0,0.0,1.0,-1.0,-1.02,-1.52,0.8,1.2,-0.4,-0.43,-0.22,Matches
122,119,Zuriko Davitashvili,FW,ge Georgia,23-134,2001,3,87.0,29.0,32.2,1.0,1,61.0,0,2,13.0,0,1.33,1.0,2.0,-1.0,-1.03,-1.53,1.2,4.7,-3.5,-3.62,-3.42,Matches
123,120,Paweł Dawidowicz,DF,pl Poland,29-039,1995,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.5,2.0,4.0,-2.0,-1.0,0.0,2.8,4.4,-1.7,-0.83,-0.71,Matches
124,121,Kevin De Bruyne,MF,be Belgium,33-000,1991,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,2.0,1.0,1.0,0.33,,4.2,2.3,1.9,0.64,,Matches
