,Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
292,282,Rasmus Kristensen,"DF,MF",dk Denmark,26-353,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
293,283,Toni Kroos,MF,de Germany,34-176,1990,3,259.0,86.0,95.9,2.9,3,86.0,2,0,,0,2.33,7.0,1.0,6.0,2.08,2.08,4.9,1.8,3.1,1.09,0.49,Matches
294,284,Jan Kuchta,FW,cz Czechia,27-172,1997,2,95.0,48.0,35.2,1.1,1,59.0,0,1,36.0,1,0.0,1.0,1.0,0.0,0.0,1.03,1.1,1.6,-0.5,-0.49,-1.13,Matches
295,285,Juraj Kucka,MF,sk Slovakia,37-123,1987,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,3.0,0.0,0.0,,2.3,4.3,-2.0,-0.67,,Matches
296,286,Marash Kumbulla,DF,al Albania,24-141,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
297,287,Jasmin Kurtić,FW,si Slovenia,35-170,1989,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,Matches
298,288,Khvicha Kvaratskhelia,FW,ge Georgia,23-137,2001,3,252.0,84.0,93.3,2.8,3,84.0,1,0,,0,1.33,4.0,4.0,0.0,0.0,0.0,3.9,6.9,-3.0,-1.07,3.57,Matches
299,289,Nika Kvekveskiri,"DF,MF",ge Georgia,32-030,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
300,290,Giorgi Kvilitaia,FW,ge Georgia,30-271,1993,1,3.0,3.0,1.1,0.0,0,,0,1,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,4.24,5.61,Matches
301,291,Solomon Kvirkvelia,DF,ge Georgia,32-143,1992,3,180.0,60.0,66.7,2.0,2,83.0,0,1,15.0,0,1.33,2.0,3.0,-1.0,-0.5,-1.5,2.1,6.2,-4.1,-2.06,-2.26,Matches
302,292,Nediljko Labrović,GK,hr Croatia,24-262,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
303,293,Qazim Laçi,"MF,FW",al Albania,28-161,1996,3,163.0,54.0,60.4,1.8,2,70.0,0,1,23.0,0,0.33,1.0,1.0,0.0,0.0,1.68,1.5,2.7,-1.2,-0.67,1.02,Matches
304,294,Konrad Laimer,"MF,FW",at Austria,27-032,1997,3,207.0,69.0,76.7,2.3,2,90.0,1,1,28.0,0,2.0,4.0,3.0,1.0,0.43,-0.99,3.0,3.8,-0.8,-0.34,0.72,Matches
305,295,Ádám Lang,DF,hu Hungary,31-163,1993,1,45.0,45.0,16.7,0.5,1,45.0,0,0,,2,0.0,0.0,2.0,-2.0,-4.0,-3.6,0.3,1.2,-0.8,-1.62,-1.85,Matches
306,296,Aymeric Laporte,DF,es Spain,30-032,1994,2,135.0,68.0,50.0,1.5,2,68.0,1,0,,1,3.0,2.0,0.0,2.0,1.33,-0.67,2.8,0.2,2.6,1.71,1.58,Matches
307,297,Robin Le Normand,DF,es Spain,27-230,1996,3,225.0,75.0,83.3,2.5,2,90.0,2,1,45.0,0,3.0,4.0,0.0,4.0,1.6,-0.4,4.7,2.7,2.0,0.81,-0.67,Matches
308,298,Rafael Leão,FW,pt Portugal,25-018,1999,2,107.0,54.0,39.6,1.2,2,54.0,0,0,,0,3.0,2.0,1.0,1.0,0.84,0.29,1.7,0.8,0.8,0.7,-0.45,Matches
309,299,Robert Lewandowski,FW,pl Poland,35-312,1988,2,121.0,61.0,44.8,1.3,1,90.0,1,1,31.0,1,0.5,1.0,3.0,-2.0,-1.49,-0.88,1.7,3.8,-2.1,-1.55,-1.73,Matches
310,300,Philipp Lienhart,DF,at Austria,27-353,1996,2,151.0,76.0,55.9,1.7,2,76.0,1,0,,1,3.0,5.0,2.0,3.0,1.79,2.54,2.9,3.1,-0.2,-0.12,0.87,Matches
312,301,Matthijs de Ligt,DF,nl Netherlands,24-321,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
313,302,Heinz Lindner,GK,at Austria,33-347,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
314,303,Ondřej Lingr,"MF,FW",cz Czechia,25-265,1998,3,83.0,28.0,30.7,0.9,0,,0,3,28.0,0,0.33,2.0,3.0,-1.0,-1.08,-0.6,1.9,1.6,0.4,0.41,0.25,Matches
315,304,Dominik Livaković,GK,hr Croatia,29-171,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,3.0,6.0,-3.0,-1.0,,5.7,4.4,1.3,0.44,,Matches
316,305,Stanislav Lobotka,MF,sk Slovakia,29-216,1994,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,3.0,0.0,0.0,,2.3,4.3,-2.0,-0.67,,Matches
317,306,Saba Lobzhanidze,FW,ge Georgia,29-193,1994,1,9.0,9.0,3.3,0.1,0,,0,1,9.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,1.41,2.81,Matches
318,307,Luka Lochoshvili,"DF,MF",ge Georgia,26-030,1998,3,108.0,36.0,40.0,1.2,1,62.0,0,2,23.0,0,1.33,2.0,1.0,1.0,0.83,1.39,2.1,2.0,0.0,0.03,2.23,Matches
319,308,Fermin López,MF,es Spain,21-048,2003,1,29.0,29.0,10.7,0.3,0,,0,1,29.0,2,3.0,0.0,0.0,0.0,0.0,-1.87,0.2,0.4,-0.2,-0.53,-1.63,Matches
320,309,Giorgi Loria,GK,ge Georgia,38-153,1986,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
321,310,Sandi Lovrić,MF,si Slovenia,26-092,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
322,311,Romelu Lukaku,FW,be Belgium,31-046,1993,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,1.33,2.0,1.0,1.0,0.33,0.33,4.2,2.1,2.1,0.71,17.51,Matches
323,312,Dodi Lukebakio,"FW,DF",be Belgium,26-278,1997,2,62.0,31.0,23.0,0.7,1,55.0,0,1,7.0,0,1.5,1.0,0.0,1.0,1.45,1.45,0.9,0.4,0.4,0.6,-0.05,Matches
324,313,Saša Lukić,MF,rs Serbia,27-320,1996,3,209.0,70.0,77.4,2.3,3,70.0,0,0,,0,0.67,0.0,1.0,-1.0,-0.43,-0.43,1.2,1.8,-0.7,-0.29,-0.62,Matches
325,314,Andriy Lunin,GK,ua Ukraine,25-138,1999,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,0.0,3.0,-3.0,-3.0,-3.5,0.7,1.1,-0.3,-0.34,-0.62,Matches
326,315,Ian Maatsen,"DF,MF",nl Netherlands,22-110,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
327,316,Mike Maignan,GK,fr France,28-361,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,2.0,1.0,1.0,0.33,,5.7,2.4,3.3,1.1,,Matches
328,317,Kobbie Mainoo,MF,eng England,19-070,2005,2,50.0,25.0,18.5,0.6,0,,0,2,25.0,1,2.0,0.0,0.0,0.0,0.0,-0.41,0.2,0.1,0.1,0.24,-0.13,Matches
329,318,Lovro Majer,"FW,MF",hr Croatia,26-163,1998,3,146.0,49.0,54.1,1.6,2,68.0,1,1,11.0,0,0.67,0.0,5.0,-5.0,-3.08,-4.53,2.4,3.0,-0.6,-0.4,-1.81,Matches
330,319,Nemanja Maksimović,MF,rs Serbia,29-154,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
331,320,Donyell Malen,FW,nl Netherlands,25-171,1999,2,100.0,50.0,37.0,1.1,1,71.0,0,1,29.0,1,1.5,2.0,2.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,-0.01,Matches
332,321,Ruslan Malinovskyi,MF,ua Ukraine,31-055,1993,3,35.0,12.0,13.0,0.4,0,,0,3,12.0,0,1.33,0.0,0.0,0.0,0.0,0.77,0.8,0.4,0.5,1.18,1.27,Matches
333,322,Giorgi Mamardashvili,GK,ge Georgia,23-273,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,4.0,4.0,0.0,0.0,,4.1,8.0,-3.9,-1.31,,Matches
334,323,Dennis Man,MF,ro Romania,25-307,1998,3,176.0,59.0,65.2,2.0,2,76.0,1,1,25.0,0,1.33,3.0,2.0,1.0,0.51,0.51,2.0,2.0,0.0,0.0,0.13,Matches
335,324,Rey Manaj,FW,al Albania,27-125,1997,3,156.0,52.0,57.8,1.7,2,71.0,0,1,14.0,0,0.33,1.0,3.0,-2.0,-1.15,-1.15,1.3,3.7,-2.4,-1.37,-0.69,Matches
336,325,Gianluca Mancini,DF,it Italy,28-072,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
338,326,Orel Mangala,MF,be Belgium,26-102,1998,3,105.0,35.0,38.9,1.2,1,56.0,0,2,25.0,0,1.33,1.0,1.0,0.0,0.0,-0.55,1.6,1.4,0.3,0.25,-0.63,Matches
339,327,Marius Marin,MF,ro Romania,25-303,1998,3,231.0,77.0,85.6,2.6,3,77.0,1,0,,0,1.33,4.0,2.0,2.0,0.78,3.09,2.7,2.4,0.3,0.12,1.14,Matches
340,328,Răzvan Marin,MF,ro Romania,28-036,1996,3,265.0,88.0,98.1,2.9,3,88.0,2,0,,0,1.33,4.0,3.0,1.0,0.34,0.34,3.2,3.3,-0.1,-0.04,-0.04,Matches
341,329,Ádám Martin,"FW,DF",hu Hungary,29-235,1994,3,45.0,15.0,16.7,0.5,0,,0,3,15.0,0,1.0,1.0,1.0,0.0,0.0,1.2,1.1,1.2,-0.1,-0.29,-0.26,Matches
342,330,Mykola Matviyenko,DF,ua Ukraine,28-057,1996,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,2.0,4.0,-2.0,-0.67,,3.0,2.8,0.2,0.07,,Matches
343,331,Kylian Mbappé,FW,fr France,25-191,1998,2,179.0,90.0,66.3,2.0,2,90.0,1,0,,1,2.0,2.0,1.0,1.0,0.5,0.5,4.3,1.9,2.4,1.2,0.27,Matches
344,332,Ross McCrorie,"DF,GK",sct Scotland,26-102,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
345,333,John McGinn,"MF,FW",sct Scotland,29-254,1994,3,230.0,77.0,85.2,2.6,3,77.0,0,0,,0,0.33,1.0,4.0,-3.0,-1.17,3.33,0.7,3.3,-2.6,-1.01,1.03,Matches
346,334,Callum McGregor,MF,sct Scotland,31-014,1993,3,246.0,82.0,91.1,2.7,3,82.0,2,0,,0,0.33,1.0,5.0,-4.0,-1.46,2.29,0.9,4.1,-3.2,-1.17,-0.1,Matches
347,335,Scott McKenna,DF,sct Scotland,27-229,1996,3,134.0,45.0,49.6,1.5,1,90.0,1,2,22.0,0,0.33,1.0,2.0,-1.0,-0.67,1.98,0.7,1.6,-0.9,-0.6,1.12,Matches
348,336,Kenny McLean,MF,sct Scotland,32-172,1992,3,44.0,15.0,16.3,0.5,0,,0,3,15.0,0,0.33,1.0,3.0,-2.0,-4.09,-2.9,0.4,1.3,-0.9,-1.8,-0.76,Matches
349,337,Scott McTominay,MF,sct Scotland,27-203,1996,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,7.0,-5.0,-1.67,,0.9,4.4,-3.5,-1.16,,Matches
350,338,Anzor Mekvabishvili,MF,ge Georgia,23-023,2001,3,188.0,63.0,69.6,2.1,2,89.0,1,1,10.0,0,1.33,2.0,3.0,-1.0,-0.48,-1.58,2.3,6.4,-4.1,-1.96,-2.15,Matches
351,339,Memphis,"FW,MF",nl Netherlands,30-136,1994,3,248.0,83.0,91.9,2.8,3,83.0,1,0,,0,1.33,3.0,4.0,-1.0,-0.36,-4.45,3.5,3.2,0.3,0.09,1.15,Matches
352,340,Nuno Mendes,"DF,MF",pt Portugal,22-009,2002,2,179.0,90.0,66.3,2.0,2,90.0,1,0,,1,3.0,4.0,1.0,3.0,1.51,2.5,3.0,1.1,1.9,0.94,-0.12,Matches
353,341,Ferland Mendy,DF,fr France,29-020,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
354,342,Alex Meret,GK,it Italy,27-098,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
355,343,Mikel Merino,MF,es Spain,28-006,1996,3,114.0,38.0,42.2,1.3,1,90.0,1,2,12.0,0,3.0,1.0,0.0,1.0,0.79,-1.52,1.6,1.4,0.2,0.15,-1.33,Matches
356,344,Valentin Mihaila,MF,ro Romania,24-147,2000,2,96.0,48.0,35.6,1.1,1,67.0,0,1,29.0,1,1.5,0.0,1.0,-1.0,-0.94,-1.97,0.5,1.7,-1.2,-1.14,-1.7,Matches
357,345,Enea Mihaj,DF,al Albania,25-359,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
358,346,Srđan Mijailović,DF,rs Serbia,30-231,1993,1,72.0,72.0,26.7,0.8,1,72.0,0,0,,2,1.0,0.0,0.0,0.0,0.0,0.45,0.1,0.7,-0.6,-0.76,-0.83,Matches
359,347,Georges Mikautadze,FW,ge Georgia,23-241,2000,3,267.0,89.0,98.9,3.0,3,89.0,2,0,,0,1.33,4.0,4.0,0.0,0.0,0.0,3.9,8.0,-4.1,-1.37,-5.61,Matches
360,348,Nikola Milenković,DF,rs Serbia,26-260,1997,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,1.0,2.0,-1.0,-0.33,,2.1,2.6,-0.5,-0.15,,Matches
361,349,Sergej Milinković-Savić,MF,rs Serbia,29-122,1995,3,121.0,40.0,44.8,1.3,1,90.0,1,2,16.0,0,0.67,1.0,2.0,-1.0,-0.74,-0.74,1.0,1.0,0.0,-0.02,0.25,Matches
362,350,Vanja Milinković-Savić,GK,rs Serbia,27-129,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
364,351,Mario Mitaj,DF,al Albania,20-327,2003,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,2.4,5.7,-3.2,-1.07,,Matches
365,352,Aleksandar Mitrović,FW,rs Serbia,29-286,1994,3,240.0,80.0,88.9,2.7,3,80.0,2,0,,0,0.67,1.0,2.0,-1.0,-0.37,-0.37,2.0,2.4,-0.4,-0.13,0.17,Matches
366,353,Maximilian Mittelstädt,DF,de Germany,27-102,1997,3,240.0,80.0,88.9,2.7,3,80.0,2,0,,0,2.33,7.0,2.0,5.0,1.87,-1.13,4.1,1.7,2.4,0.89,-1.55,Matches
367,354,Filip Mladenović,DF,rs Serbia,32-318,1991,3,111.0,37.0,41.1,1.2,1,45.0,0,2,33.0,0,0.67,0.0,0.0,0.0,0.0,0.57,0.9,1.0,-0.2,-0.13,0.03,Matches
368,355,Jan Mlakar,MF,si Slovenia,25-249,1998,3,222.0,74.0,82.2,2.5,3,74.0,0,0,,0,1.0,0.0,1.0,-1.0,-0.41,-2.28,1.7,3.3,-1.6,-0.65,-0.87,Matches
369,356,Jakub Moder,MF,pl Poland,25-082,1999,3,180.0,60.0,66.7,2.0,1,90.0,1,2,45.0,0,0.33,1.0,4.0,-3.0,-1.5,-1.5,2.8,4.3,-1.4,-0.71,-0.35,Matches
370,357,Luka Modrić,MF,hr Croatia,38-293,1985,3,233.0,78.0,86.3,2.6,3,78.0,1,0,,0,0.67,3.0,5.0,-2.0,-0.77,1.66,4.8,4.2,0.6,0.24,-1.51,Matches
371,358,Vasile Mogos,"DF,MF",ro Romania,31-241,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
372,359,Horaţiu Moldovan,GK,ro Romania,26-160,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
373,360,Álvaro Morata,FW,es Spain,31-249,1992,3,162.0,54.0,60.0,1.8,2,72.0,0,1,19.0,0,3.0,4.0,0.0,4.0,2.22,1.39,3.8,1.5,2.2,1.24,0.79,Matches
374,361,Lewis Morgan,DF,sct Scotland,27-272,1996,1,2.0,2.0,0.7,0.0,0,,0,1,2.0,2,0.0,0.0,1.0,-1.0,-45.0,-43.66,0.1,0.8,-0.7,-29.67,-28.73,Matches
375,362,Ernest Muçi,FW,al Albania,23-101,2001,2,14.0,7.0,5.2,0.2,0,,0,2,7.0,1,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.0,0.4,2.68,3.96,Matches
376,363,Mykhailo Mudryk,"FW,MF",ua Ukraine,23-175,2001,2,174.0,87.0,64.4,1.9,2,87.0,1,0,,0,1.5,2.0,4.0,-2.0,-1.03,-1.03,2.2,1.9,0.3,0.16,0.24,Matches
377,364,Mert Müldür,DF,tr Türkiye,25-086,1999,2,174.0,87.0,64.4,1.9,2,87.0,1,0,,1,3.0,4.0,2.0,2.0,1.03,2.91,3.5,2.7,0.7,0.38,0.81,Matches
378,365,Thomas Müller,FW,de Germany,34-289,1989,1,17.0,17.0,6.3,0.2,0,,0,1,17.0,2,3.0,1.0,1.0,0.0,0.0,-2.13,0.1,0.0,0.1,0.52,-0.58,Matches
379,366,Jamal Musiala,FW,de Germany,21-123,2003,3,219.0,73.0,81.1,2.4,3,73.0,0,0,,0,2.33,6.0,1.0,5.0,2.05,0.29,4.1,1.5,2.6,1.07,0.04,Matches
380,367,Yvon Mvogo,GK,ch Switzerland,30-022,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
381,368,Phillipp Mwene,DF,at Austria,30-151,1994,2,149.0,75.0,55.2,1.7,2,75.0,0,0,,1,1.5,1.0,2.0,-1.0,-0.6,-2.84,1.4,3.2,-1.8,-1.09,-1.3,Matches
382,369,Bohdan Mykhaylychenko,DF,ua Ukraine,27-099,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
383,370,Vitaliy Mykolenko,DF,ua Ukraine,25-030,1999,1,57.0,57.0,21.1,0.6,1,57.0,0,0,,2,1.0,0.0,0.0,0.0,0.0,0.85,0.3,0.5,-0.2,-0.36,-0.54,Matches
384,371,Joakim Mæhle,"DF,MF",dk Denmark,27-039,1997,3,193.0,64.0,71.5,2.1,2,90.0,2,1,13.0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,-1.08,Matches
385,372,Nacho,DF,es Spain,34-162,1990,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,1,3.0,3.0,0.0,3.0,3.0,2.0,2.0,2.1,-0.1,-0.09,-1.52,Matches
386,373,Ádám Nagy,MF,hu Hungary,29-011,1995,3,159.0,53.0,58.9,1.8,2,65.0,0,1,30.0,0,1.0,2.0,3.0,-1.0,-0.57,1.06,3.0,2.2,0.8,0.43,1.21,Matches
387,374,Zsolt Nagy,DF,hu Hungary,31-034,1993,2,21.0,11.0,7.8,0.2,0,,0,2,11.0,1,1.5,1.0,0.0,1.0,4.29,5.73,1.1,0.5,0.6,2.51,2.8,Matches
388,375,Jesús Navas,DF,es Spain,38-220,1985,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,3.0,1.0,0.0,1.0,1.0,-1.0,1.5,0.5,1.0,1.02,0.15,Matches
390,376,Dan Ndoye,"MF,FW",ch Switzerland,23-247,2000,3,234.0,78.0,86.7,2.6,3,78.0,0,0,,0,1.67,4.0,2.0,2.0,0.77,0.77,3.1,2.7,0.4,0.15,-0.09,Matches
391,377,Ionuț Nedelcearu,DF,ro Romania,28-064,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
392,378,Loïc Nego,"DF,MF",hu Hungary,33-165,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
393,379,Pedro Neto,"DF,FW",pt Portugal,24-111,2000,3,120.0,40.0,44.4,1.3,1,74.0,0,2,23.0,0,2.0,2.0,2.0,0.0,0.0,-1.2,2.8,1.7,1.1,0.84,-0.25,Matches
394,380,Manuel Neuer,GK,de Germany,38-093,1986,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.33,8.0,2.0,6.0,2.0,,5.0,1.8,3.2,1.07,,Matches
395,381,João Neves,MF,pt Portugal,19-275,2004,2,77.0,39.0,28.5,0.9,1,74.0,0,1,3.0,1,1.5,0.0,2.0,-2.0,-2.34,-4.2,1.1,1.6,-0.5,-0.62,-2.23,Matches
396,382,Rúben Neves,MF,pt Portugal,27-107,1997,2,90.0,45.0,33.3,1.0,0,,0,2,45.0,1,1.5,1.0,1.0,0.0,0.0,-1.0,2.7,1.4,1.3,1.31,0.5,Matches
397,383,Florin Niță,GK,ro Romania,36-361,1987,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,4.0,3.0,1.0,0.33,,3.2,3.3,-0.1,-0.04,,Matches
398,384,Matheus Nunes,MF,pt Portugal,25-306,1998,1,16.0,16.0,5.9,0.2,0,,0,1,16.0,2,0.0,0.0,0.0,0.0,0.0,-0.71,1.1,0.0,1.1,6.14,5.49,Matches
399,385,Christian Nørgaard,MF,dk Denmark,30-110,1994,2,16.0,8.0,5.9,0.2,0,,0,2,8.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.74,2.59,Matches
400,386,Adam Obert,DF,sk Slovakia,21-310,2002,2,25.0,13.0,9.3,0.3,0,,0,2,13.0,1,1.5,0.0,1.0,-1.0,-3.6,-3.97,0.2,0.4,-0.1,-0.51,0.17,Matches
401,387,Jan Oblak,GK,si Slovenia,31-173,1993,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,2.0,0.0,0.0,,2.6,4.1,-1.5,-0.5,,Matches
402,388,Noah Okafor,"FW,MF",ch Switzerland,24-035,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
403,389,Darius Olaru,MF,ro Romania,26-117,1998,1,23.0,23.0,8.5,0.3,0,,0,1,23.0,2,0.0,0.0,1.0,-1.0,-3.91,-4.64,0.5,0.5,-0.1,-0.23,-0.2,Matches
404,390,Dani Olmo,"MF,FW",es Spain,26-052,1998,2,115.0,58.0,42.6,1.3,1,83.0,0,1,32.0,1,3.0,1.0,0.0,1.0,0.78,-1.54,1.6,1.2,0.3,0.27,-1.13,Matches
405,391,Amadou Onana,MF,be Belgium,22-317,2001,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,2.0,1.0,1.0,0.33,,4.2,2.3,1.9,0.64,,Matches
406,392,Loïs Openda,FW,be Belgium,24-133,2000,2,8.0,4.0,3.0,0.1,0,,0,2,4.0,1,0.5,0.0,0.0,0.0,0.0,-0.34,0.1,0.2,-0.1,-1.09,-1.79,Matches
407,393,Willi Orban,DF,hu Hungary,31-238,1992,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,5.0,-3.0,-1.0,,3.7,3.9,-0.2,-0.07,,Matches
408,394,Mikel Oyarzabal,FW,es Spain,27-068,1997,3,98.0,33.0,36.3,1.1,1,61.0,0,2,19.0,0,3.0,1.0,0.0,1.0,0.92,-1.17,1.7,1.0,0.7,0.65,-0.42,Matches
409,395,Salih Özcan,MF,tr Türkiye,26-169,1998,2,46.0,23.0,17.0,0.5,1,45.0,0,1,1.0,1,3.0,1.0,0.0,1.0,1.96,2.36,1.1,0.8,0.3,0.53,0.53,Matches
410,396,João Palhinha,MF,pt Portugal,28-355,1995,2,90.0,45.0,33.3,1.0,2,45.0,0,0,,1,1.5,2.0,1.0,1.0,1.0,0.5,1.1,1.0,0.2,0.18,-1.2,Matches
411,397,Cole Palmer,FW,eng England,22-053,2002,1,20.0,20.0,7.4,0.2,0,,0,1,20.0,2,1.0,0.0,0.0,0.0,0.0,-0.36,0.1,0.0,0.1,0.63,0.31,Matches
412,398,Marco Pašalić,MF,hr Croatia,23-288,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
413,399,Mario Pašalić,"FW,MF",hr Croatia,29-140,1995,3,116.0,39.0,43.0,1.3,1,45.0,0,2,36.0,0,0.67,2.0,1.0,1.0,0.78,3.11,3.3,1.0,2.2,1.72,2.24,Matches
414,400,Rui Patrício,GK,pt Portugal,36-134,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
416,401,Benjamin Pavard,DF,fr France,28-092,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
417,402,Strahinja Pavlović,DF,rs Serbia,23-035,2001,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,1.0,2.0,-1.0,-0.33,,2.1,2.6,-0.5,-0.15,,Matches
418,403,Pedri,MF,es Spain,21-216,2002,2,128.0,64.0,47.4,1.4,2,64.0,0,0,,1,3.0,4.0,0.0,4.0,2.81,2.18,3.5,1.3,2.3,1.59,1.27,Matches
419,404,Peter Pekarík,DF,sk Slovakia,37-242,1986,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,1.33,3.0,3.0,0.0,0.0,0.0,2.3,4.3,-2.0,-0.67,-0.67,Matches
420,405,Lorenzo Pellegrini,"FW,MF",it Italy,28-009,1996,3,202.0,67.0,74.8,2.2,3,67.0,0,0,,0,1.33,2.0,2.0,0.0,0.0,0.0,2.0,2.1,-0.1,-0.03,1.03,Matches
421,406,Patrick Pentz,GK,at Austria,27-178,1997,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.0,6.0,4.0,2.0,0.67,,3.8,5.3,-1.5,-0.51,,Matches
422,407,Pepe,DF,pt Portugal,41-123,1983,2,172.0,86.0,63.7,1.9,2,86.0,1,0,,1,3.0,5.0,1.0,4.0,2.09,3.93,3.5,1.1,2.4,1.24,0.72,Matches
423,408,Danilo Pereira,DF,pt Portugal,32-293,1991,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,0.0,2.0,-2.0,-2.0,-4.0,2.0,1.6,0.3,0.35,-0.95,Matches
424,409,Ayoze Pérez,FW,es Spain,30-335,1993,1,13.0,13.0,4.8,0.1,0,,0,1,13.0,1,3.0,0.0,0.0,0.0,0.0,-1.75,0.4,0.1,0.3,2.15,1.3,Matches
425,410,Ivan Perišić,"DF,FW",hr Croatia,35-147,1989,3,139.0,46.0,51.5,1.5,1,83.0,0,2,28.0,0,0.67,2.0,2.0,0.0,0.0,2.06,3.3,1.4,1.9,1.2,1.56,Matches
426,411,Bruno Petković,FW,hr Croatia,29-286,1994,2,87.0,44.0,32.2,1.0,1,68.0,0,1,19.0,1,0.5,0.0,1.0,-1.0,-1.03,-0.05,2.3,1.0,1.3,1.31,1.28,Matches
427,412,Đorđe Petrović,GK,rs Serbia,24-264,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
428,413,Krzysztof Piątek,FW,pl Poland,28-363,1995,1,59.0,59.0,21.9,0.7,1,59.0,0,0,,2,0.0,1.0,1.0,0.0,0.0,1.28,1.1,0.7,0.4,0.64,1.58,Matches
429,414,Jordan Pickford,GK,eng England,30-113,1994,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,2.0,1.0,1.0,0.33,,2.2,1.1,1.0,0.34,,Matches
430,415,Jakub Piotrowski,MF,pl Poland,26-268,1997,2,58.0,29.0,21.5,0.6,1,45.0,0,1,13.0,1,0.0,1.0,2.0,-1.0,-1.55,-0.7,1.9,0.7,1.2,1.9,3.18,Matches
431,416,Marko Pjaca,"FW,MF",hr Croatia,29-053,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
432,417,Marin Pongračić,DF,hr Croatia,26-291,1997,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.5,1.0,4.0,-3.0,-1.5,-1.5,3.1,2.9,0.2,0.08,-1.08,Matches
