,Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
63,62,Riccardo Calafiori,DF,it Italy,22-053,2002,3.0,215,232,92.7,3358,1068,103,109,94.5,93,99,93.9,12,15,80.0,1,0.2,0.3,0.8,4,12,2,1,11,Matches
64,63,Hakan Çalhanoğlu,MF,tr Türkiye,30-154,1994,3.9,232,261,88.9,4021,918,108,112,96.4,93,101,92.1,24,40,60.0,0,0.2,0.4,-0.2,3,20,1,0,18,Matches
65,64,Eduardo Camavinga,MF,fr France,21-244,2002,1.9,74,86,86.0,1219,391,30,33,90.9,39,41,95.1,3,7,42.9,0,0.1,0.2,-0.1,2,15,2,0,12,Matches
66,65,Andrea Cambiaso,"FW,DF",it Italy,24-142,2000,0.8,38,48,79.2,556,91,24,25,96.0,13,17,76.5,1,3,33.3,0,0.0,0.1,0.0,0,0,1,1,1,Matches
67,66,Emre Can,MF,de Germany,30-181,1994,1.1,65,70,92.9,1086,221,33,35,94.3,23,24,95.8,8,8,100.0,0,0.0,0.1,0.0,1,4,0,0,4,Matches
68,67,João Cancelo,"DF,MF",pt Portugal,30-045,1994,3.8,224,259,86.5,3679,899,118,126,93.7,91,101,90.1,14,25,56.0,0,0.4,0.9,-0.4,4,19,9,1,36,Matches
69,68,Yannick Carrasco,"DF,FW",be Belgium,30-311,1993,2.4,84,98,85.7,1295,390,47,49,95.9,35,43,81.4,1,5,20.0,0,0.0,0.4,0.0,0,3,2,0,10,Matches
70,69,Dani Carvajal,DF,es Spain,32-182,1992,4.2,229,253,90.5,3544,867,126,129,97.7,89,99,89.9,11,17,64.7,0,0.4,0.2,-0.4,3,18,1,1,18,Matches
71,70,Timothy Castagne,DF,be Belgium,28-219,1995,4.0,187,221,84.6,2965,940,111,117,94.9,60,76,78.9,15,22,68.2,0,0.0,0.1,0.0,0,10,1,0,11,Matches
72,71,Koen Casteels,GK,be Belgium,32-016,1992,4.0,119,143,83.2,2621,1453,32,32,100.0,69,69,100.0,18,41,43.9,0,0.0,0.0,0.0,0,1,1,0,0,Matches
73,72,Žan Celar,"FW,MF",si Slovenia,25-119,1999,0.7,15,18,83.3,163,20,10,11,90.9,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
74,73,Zeki Çelik,"DF,MF",tr Türkiye,27-145,1997,1.2,44,55,80.0,633,255,27,28,96.4,15,20,75.0,2,2,100.0,0,0.5,0.3,-0.5,3,3,3,2,3,Matches
75,74,Václav Černý,MF,cz Czechia,26-268,1997,0.6,26,33,78.8,313,125,20,23,87.0,2,2,100.0,2,6,33.3,0,0.1,0.8,-0.1,1,4,2,1,1,Matches
76,75,Giorgi Chakvetadze,"MF,FW",ge Georgia,24-317,1999,2.7,79,93,84.9,992,305,55,59,93.2,15,18,83.3,4,8,50.0,0,0.3,0.1,-0.3,4,6,2,0,11,Matches
78,76,Federico Chiesa,"FW,MF",it Italy,26-260,1997,2.9,69,104,66.3,958,168,47,52,90.4,14,26,53.8,5,11,45.5,0,0.3,0.6,-0.3,2,1,7,3,5,Matches
79,77,Tomáš Chorý,MF,cz Czechia,29-167,1995,0.4,2,6,33.3,27,2,1,4,25.0,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,0,Matches
80,78,Andreas Christensen,DF,dk Denmark,28-092,1996,3.9,218,231,94.4,3357,1163,116,121,95.9,86,89,96.6,10,14,71.4,0,0.0,0.0,0.0,0,9,1,0,9,Matches
81,79,Ryan Christie,"MF,FW",sct Scotland,29-140,1995,1.1,15,20,75.0,211,64,9,10,90.0,3,4,75.0,1,1,100.0,0,0.0,0.1,0.0,0,0,1,1,0,Matches
82,80,Mojmir Chytil,FW,cz Czechia,25-073,1999,1.2,6,15,40.0,68,1,4,5,80.0,1,3,33.3,0,3,0.0,0,0.1,0.2,-0.1,1,0,0,0,1,Matches
83,81,Alexandru Cicâldău,MF,ro Romania,27-003,1997,0.2,2,5,40.0,39,0,1,1,100.0,0,1,0.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
84,82,Florinel Coman,MF,ro Romania,26-092,1998,1.3,20,28,71.4,197,46,15,18,83.3,3,4,75.0,0,1,0.0,0,0.1,0.0,-0.1,2,0,0,0,1,Matches
85,83,Kingsley Coman,MF,fr France,28-028,1996,0.2,9,10,90.0,130,9,6,6,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
86,84,Francisco Conceição,"FW,MF",pt Portugal,21-210,2002,2.0,101,129,78.3,1498,221,64,69,92.8,36,47,76.6,1,5,20.0,0,1.6,1.2,-1.6,6,1,5,2,9,Matches
87,85,Diogo Costa,GK,pt Portugal,24-296,1999,5.7,140,155,90.3,3306,2105,15,15,100.0,100,100,100.0,25,40,62.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches
88,86,Vladimír Coufal,"DF,FW",cz Czechia,31-324,1992,3.0,103,149,69.1,1765,840,58,62,93.5,28,42,66.7,16,38,42.1,1,0.6,0.6,0.4,8,12,3,3,11,Matches
89,87,Bryan Cristante,MF,it Italy,29-130,1995,1.5,101,114,88.6,1553,373,50,53,94.3,43,49,87.8,3,5,60.0,0,0.2,0.4,-0.2,2,8,1,0,5,Matches
90,88,Kevin Csoboth,DF,hu Hungary,24-021,2000,0.1,6,8,75.0,102,37,3,3,100.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
91,89,Marc Cucurella,DF,es Spain,25-355,1998,5.1,289,323,89.5,4138,1107,170,178,95.5,99,111,89.2,10,16,62.5,0,0.6,0.4,-0.6,6,18,2,0,25,Matches
92,90,Mirlind Daku,FW,al Albania,26-192,1998,0.1,4,5,80.0,62,22,3,3,100.0,0,0,,1,1,100.0,0,0.1,0.0,-0.1,2,1,0,0,1,Matches
93,91,Diogo Dalot,"DF,MF",pt Portugal,25-115,1999,1.7,91,100,91.0,1349,290,56,58,96.6,32,36,88.9,3,3,100.0,0,0.0,0.1,0.0,2,16,0,0,11,Matches
94,92,Mikkel Damsgaard,FW,dk Denmark,24-008,2000,0.4,10,14,71.4,133,31,5,7,71.4,4,4,100.0,0,1,0.0,0,0.0,0.1,0.0,0,0,1,1,0,Matches
95,93,Kevin Danso,DF,at Austria,25-296,1998,2.4,147,169,87.0,2882,921,47,54,87.0,83,87,95.4,16,25,64.0,0,0.0,0.1,0.0,0,19,0,0,22,Matches
96,94,Márton Dárdai,DF,hu Hungary,22-150,2002,1.9,66,95,69.5,1417,733,18,21,85.7,37,46,80.4,10,25,40.0,0,0.0,0.1,0.0,0,4,2,0,5,Matches
97,95,Matteo Darmian,DF,it Italy,34-222,1989,1.8,97,107,90.7,1513,403,50,53,94.3,39,43,90.7,5,5,100.0,0,0.0,0.0,0.0,0,2,1,0,6,Matches
98,96,Zuriko Davitashvili,"FW,MF",ge Georgia,23-147,2001,1.3,33,37,89.2,447,64,12,14,85.7,13,14,92.9,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,3,Matches
99,97,Paweł Dawidowicz,DF,pl Poland,29-052,1995,2.0,74,79,93.7,1240,443,29,29,100.0,43,45,95.6,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
100,98,Kevin De Bruyne,MF,be Belgium,33-013,1991,4.0,164,227,72.2,2849,940,75,96,78.1,62,76,81.6,18,34,52.9,0,1.6,0.9,-1.6,12,21,6,0,28,Matches
101,99,Charles De Ketelaere,FW,be Belgium,23-123,2001,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
102,100,Zeno Debast,DF,be Belgium,20-261,2003,1.2,97,109,89.0,1903,719,27,30,90.0,59,61,96.7,10,14,71.4,0,0.1,0.1,-0.1,1,7,0,0,3,Matches
104,101,Thomas Delaney,MF,dk Denmark,32-312,1991,0.9,22,35,62.9,299,116,16,20,80.0,5,9,55.6,1,4,25.0,0,0.2,0.2,-0.2,1,2,1,0,4,Matches
105,102,Ousmane Dembélé,"FW,MF",fr France,27-057,1997,4.0,119,176,67.6,2066,465,69,83,83.1,33,49,67.3,16,32,50.0,0,1.2,0.9,-1.2,14,6,8,2,14,Matches
106,103,Merih Demiral,DF,tr Türkiye,26-128,1998,2.3,82,94,87.2,1446,423,33,34,97.1,44,47,93.6,4,11,36.4,0,0.0,0.0,0.0,1,4,1,0,4,Matches
107,104,Giovanni Di Lorenzo,"DF,FW",it Italy,30-342,1993,4.0,285,323,88.2,4136,1190,162,170,95.3,108,123,87.8,7,18,38.9,0,0.0,0.2,0.0,0,20,1,0,23,Matches
108,105,Rúben Dias,DF,pt Portugal,27-058,1997,4.7,382,411,92.9,6567,2032,177,181,97.8,186,202,92.1,17,24,70.8,0,0.1,0.2,-0.1,1,28,1,1,22,Matches
109,106,Federico Dimarco,"DF,FW",it Italy,26-244,1997,2.5,99,125,79.2,1437,396,52,56,92.9,38,46,82.6,4,9,44.4,0,0.3,0.3,-0.3,3,3,2,2,5,Matches
110,107,Berat Djimsiti,DF,al Albania,31-143,1993,3.0,127,144,88.2,2147,696,64,67,95.5,56,62,90.3,6,10,60.0,0,0.0,0.0,0.0,1,3,0,0,6,Matches
111,108,Jeremy Doku,"FW,MF",be Belgium,22-045,2002,3.6,89,113,78.8,1212,292,61,68,89.7,25,34,73.5,2,5,40.0,0,0.6,1.2,-0.6,8,3,4,0,10,Matches
112,109,Kasper Dolberg,FW,dk Denmark,26-279,1997,0.4,7,10,70.0,122,11,5,8,62.5,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
113,110,Gianluigi Donnarumma,GK,it Italy,25-137,1999,4.0,87,102,85.3,1944,1212,23,23,100.0,44,44,100.0,19,34,55.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches
114,111,David Doudera,FW,cz Czechia,26-041,1998,1.0,18,24,75.0,268,126,10,10,100.0,7,9,77.8,0,4,0.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
115,112,Artem Dovbyk,FW,ua Ukraine,27-020,1997,2.7,27,34,79.4,345,32,20,23,87.0,6,7,85.7,1,1,100.0,0,0.6,0.3,-0.6,6,0,2,0,2,Matches
116,113,Denis Drăguș,FW,ro Romania,25-005,1999,3.2,35,54,64.8,428,57,21,33,63.6,9,13,69.2,1,1,100.0,0,0.1,0.0,-0.1,2,0,2,1,3,Matches
117,114,Radu Drăgușin,DF,ro Romania,22-159,2002,4.0,90,106,84.9,1718,407,33,35,94.3,44,49,89.8,13,22,59.1,0,0.0,0.0,0.0,0,2,0,0,3,Matches
118,115,Vanja Drkušič,DF,si Slovenia,24-255,1999,4.3,84,109,77.1,1790,677,20,24,83.3,50,59,84.7,13,24,54.2,0,0.1,0.1,-0.1,1,4,1,1,3,Matches
119,116,Kwadwo Duah,FW,ch Switzerland,27-138,1997,1.2,13,25,52.0,154,56,9,10,90.0,3,10,30.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
120,117,Martin Dúbravka,GK,sk Slovakia,35-178,1989,4.3,108,162,66.7,2735,1977,28,29,96.6,57,60,95.0,23,72,31.9,0,0.0,0.0,0.0,0,2,0,0,0,Matches
121,118,Ondrej Duda,MF,sk Slovakia,29-219,1994,3.5,138,170,81.2,2185,357,65,73,89.0,55,66,83.3,8,17,47.1,0,0.1,0.2,-0.1,3,10,0,0,9,Matches
122,119,Denzel Dumfries,DF,nl Netherlands,28-084,1996,5.0,220,271,81.2,3585,921,104,117,88.9,102,120,85.0,10,24,41.7,0,0.7,0.5,-0.7,5,14,4,3,19,Matches
123,120,Dávid Ďuriš,"FW,MF",sk Slovakia,25-111,1999,0.3,1,2,50.0,23,11,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
124,121,Lasha Dvali,DF,ge Georgia,29-058,1995,4.0,115,132,87.1,1896,787,53,57,93.0,51,57,89.5,7,11,63.6,0,0.0,0.0,0.0,0,6,0,0,8,Matches
125,122,Timi Elšnik,MF,si Slovenia,26-073,1998,4.0,87,117,74.4,1603,527,36,43,83.7,41,54,75.9,10,17,58.8,1,0.5,0.4,0.5,3,17,2,1,11,Matches
126,123,Breel Embolo,FW,ch Switzerland,27-148,1997,3.3,39,46,84.8,539,121,24,28,85.7,11,13,84.6,2,2,100.0,0,0.2,0.3,-0.2,2,2,2,0,6,Matches
127,124,Christian Eriksen,"MF,FW",dk Denmark,32-148,1992,3.9,159,215,74.0,2480,763,90,103,87.4,43,59,72.9,16,33,48.5,0,0.8,1.1,-0.8,16,10,2,0,17,Matches
128,125,Eberechi Eze,"DF,MF",eng England,26-012,1998,1.1,30,40,75.0,518,84,13,18,72.2,13,15,86.7,3,5,60.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
130,126,Wout Faes,DF,be Belgium,26-099,1998,4.0,255,290,87.9,4410,1350,108,116,93.1,129,137,94.2,15,29,51.7,0,0.0,0.1,0.0,0,14,2,0,9,Matches
131,127,Nicolò Fagioli,MF,it Italy,23-150,2001,1.1,87,104,83.7,1406,244,36,40,90.0,42,49,85.7,6,11,54.5,0,0.0,0.1,0.0,1,8,1,0,6,Matches
132,128,João Félix,"MF,FW",pt Portugal,24-244,1999,1.2,67,77,87.0,1020,232,42,45,93.3,20,22,90.9,4,8,50.0,0,0.4,0.3,-0.4,4,3,3,1,6,Matches
133,129,Bruno Fernandes,MF,pt Portugal,29-307,1994,4.2,221,297,74.4,4021,1096,94,111,84.7,102,123,82.9,24,53,45.3,0,0.8,1.1,-0.8,8,27,9,3,39,Matches
134,130,Attila Fiola,DF,hu Hungary,34-145,1990,2.0,57,73,78.1,1074,521,22,28,78.6,28,33,84.8,7,12,58.3,0,0.0,0.0,0.0,1,4,0,0,3,Matches
135,131,Phil Foden,"FW,MF",eng England,24-044,2000,5.9,294,348,84.5,4115,526,186,198,93.9,78,93,83.9,16,35,45.7,0,0.5,0.4,-0.5,6,21,5,1,21,Matches
136,132,Youssouf Fofana,MF,fr France,25-183,1999,0.5,25,29,86.2,448,111,11,13,84.6,12,13,92.3,2,2,100.0,0,0.0,0.1,0.0,0,0,1,0,2,Matches
137,133,Michael Folorunsho,FW,it Italy,26-155,1998,0.0,0,2,0.0,0,0,0,0,,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
138,134,Przemysław Frankowski,DF,pl Poland,29-090,1995,3.0,92,125,73.6,1415,695,60,65,92.3,25,34,73.5,7,17,41.2,0,0.4,0.3,-0.4,4,6,2,2,11,Matches
139,135,Davide Frattesi,MF,it Italy,24-263,1999,2.1,44,60,73.3,519,107,29,34,85.3,9,11,81.8,1,2,50.0,0,0.0,0.0,0.0,0,2,1,1,4,Matches
140,136,Remo Freuler,MF,ch Switzerland,32-087,1992,5.1,204,233,87.6,2692,691,135,147,91.8,63,73,86.3,2,2,100.0,2,0.6,0.8,1.4,3,23,2,0,22,Matches
141,137,Jeremie Frimpong,FW,nl Netherlands,23-214,2000,1.0,21,25,84.0,307,29,12,13,92.3,9,10,90.0,0,1,0.0,0,0.1,0.0,-0.1,1,0,2,0,2,Matches
142,138,Chris Führich,FW,de Germany,26-184,1998,0.2,13,14,92.9,200,48,7,8,87.5,6,6,100.0,0,0,,0,0.0,0.1,0.0,0,1,1,0,2,Matches
