,Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
26,26,Jure Balkovec,DF,si Slovenia,29-305,1994,1.3,1,0.99,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
27,27,Iván Balliu,DF,al Albania,32-191,1992,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
28,28,Nicușor Bancu,DF,ro Romania,31-296,1992,3.0,7,2.33,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
29,29,Antonín Barák,MF,cz Czechia,29-220,1994,0.5,4,8.78,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
30,30,Bradley Barcola,"FW,MF",fr France,21-312,2002,1.1,9,9.2,4,0,4,0,0,1,0,0.0,0,0,0,0,0,0,Matches
31,31,Abdülkerim Bardakcı,DF,tr Türkiye,29-307,1994,4.0,7,1.75,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
32,32,Nicolò Barella,MF,it Italy,27-154,1997,3.7,5,1.36,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
33,33,Alessandro Bastoni,DF,it Italy,25-088,1999,4.0,5,1.25,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
34,34,Martin Baturina,FW,hr Croatia,21-145,2003,0.1,2,25.71,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
35,35,Christoph Baumgartner,"MF,FW",at Austria,24-344,1999,3.2,10,3.11,6,0,3,0,1,0,1,0.31,1,0,0,0,0,0,Matches
36,36,Altay Bayındır,GK,tr Türkiye,26-087,1998,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
37,37,Jan Bednarek,DF,pl Poland,28-089,1996,3.0,1,0.33,0,0,0,1,0,0,1,0.33,0,0,0,1,0,0,Matches
38,38,Maximilian Beier,FW,de Germany,21-267,2002,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
39,39,Jude Bellingham,MF,eng England,21-011,2003,5.4,14,2.74,13,0,0,1,0,0,3,0.59,3,0,0,0,0,0,Matches
40,40,László Bénes,MF,sk Slovakia,26-305,1997,0.8,3,6.59,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
41,41,Bartosz Bereszyński,DF,pl Poland,31-364,1992,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
42,42,Steven Bergwijn,FW,nl Netherlands,26-276,1997,1.0,2,2.0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
43,43,Medon Berisha,MF,al Albania,20-263,2003,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
44,44,Victor Bernth Kristiansen,"DF,MF",dk Denmark,21-207,2002,1.7,3,1.73,2,1,0,0,0,0,1,0.58,1,0,0,0,0,0,Matches
45,45,Matúš Bero,"MF,DF",sk Slovakia,28-308,1995,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
46,46,Jaka Bijol,DF,si Slovenia,25-156,1999,4.3,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
47,47,Veljko Birmančević,DF,rs Serbia,26-127,1998,0.3,1,3.46,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
48,48,Daley Blind,FW,nl Netherlands,34-123,1990,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
49,49,Bendegúz Bolla,DF,hu Hungary,24-231,1999,2.3,3,1.32,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
50,50,Endre Botka,DF,hu Hungary,29-320,1994,1.0,2,2.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
52,51,Jarrod Bowen,FW,eng England,27-203,1996,0.4,1,2.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
53,52,Róbert Boženík,FW,sk Slovakia,24-235,1999,2.3,4,2.02,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
54,53,Volodymyr Brazhko,MF,ua Ukraine,22-169,2002,2.0,3,1.48,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
55,54,David Brekalo,MF,si Slovenia,25-220,1998,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
56,55,Armando Broja,FW,al Albania,22-304,2001,1.2,6,5.0,4,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
57,56,Marcelo Brozović,MF,hr Croatia,31-237,1992,2.5,6,2.4,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
58,57,Jacob Bruun Larsen,FW,dk Denmark,25-295,1998,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
59,58,Ante Budimir,FW,hr Croatia,32-354,1991,1.4,5,3.69,2,0,1,2,0,0,2,1.48,1,0,0,1,0,0,Matches
60,59,Adam Buksa,FW,pl Poland,27-364,1996,1.7,3,1.81,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
61,60,Andrei Burcă,DF,ro Romania,31-086,1993,4.0,3,0.75,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
62,61,Riccardo Calafiori,DF,it Italy,22-052,2002,3.0,8,2.67,7,0,0,1,0,0,1,0.33,1,0,0,0,0,0,Matches
63,62,Hakan Çalhanoğlu,MF,tr Türkiye,30-153,1994,3.9,11,2.79,8,2,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
64,63,Eduardo Camavinga,MF,fr France,21-243,2002,1.9,7,3.73,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
65,64,Andrea Cambiaso,"FW,DF",it Italy,24-141,2000,0.8,2,2.4,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
66,65,Emre Can,MF,de Germany,30-180,1994,1.1,2,1.75,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
67,66,João Cancelo,"DF,MF",pt Portugal,30-044,1994,3.8,14,3.65,8,0,3,0,3,0,0,0.0,0,0,0,0,0,0,Matches
68,67,Yannick Carrasco,"DF,FW",be Belgium,30-310,1993,2.4,5,2.06,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
69,68,Dani Carvajal,DF,es Spain,32-181,1992,4.2,10,2.37,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
70,69,Timothy Castagne,DF,be Belgium,28-218,1995,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
71,70,Koen Casteels,GK,be Belgium,32-015,1992,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
72,71,Žan Celar,"FW,MF",si Slovenia,25-118,1999,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
73,72,Zeki Çelik,"DF,MF",tr Türkiye,27-144,1997,1.2,6,5.14,4,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
74,73,Václav Černý,MF,cz Czechia,26-267,1997,0.6,5,8.33,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
75,74,Giorgi Chakvetadze,"MF,FW",ge Georgia,24-316,1999,2.7,5,1.84,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
76,75,Federico Chiesa,"FW,MF",it Italy,26-259,1997,2.9,6,2.05,4,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
78,76,Tomáš Chorý,MF,cz Czechia,29-166,1995,0.4,2,5.0,0,0,0,1,1,0,1,2.5,0,0,0,1,0,0,Matches
79,77,Andreas Christensen,DF,dk Denmark,28-091,1996,3.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
80,78,Ryan Christie,"MF,FW",sct Scotland,29-139,1995,1.1,2,2.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
81,79,Mojmir Chytil,FW,cz Czechia,25-072,1999,1.2,2,1.68,1,0,0,1,0,0,1,0.84,0,0,0,1,0,0,Matches
82,80,Alexandru Cicâldău,MF,ro Romania,27-002,1997,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
83,81,Florinel Coman,MF,ro Romania,26-091,1998,1.3,3,2.29,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
84,82,Kingsley Coman,MF,fr France,28-027,1996,0.2,1,5.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
85,83,Francisco Conceição,"FW,MF",pt Portugal,21-209,2002,2.0,14,10.33,9,0,1,1,3,0,0,0.0,0,0,0,0,0,0,Matches
86,84,Diogo Costa,GK,pt Portugal,24-295,1999,5.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
87,85,Vladimír Coufal,"DF,FW",cz Czechia,31-323,1992,3.0,14,4.67,7,7,0,0,0,0,1,0.33,1,0,0,0,0,0,Matches
88,86,Bryan Cristante,MF,it Italy,29-129,1995,1.5,2,1.35,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
89,87,Kevin Csoboth,DF,hu Hungary,24-020,2000,0.1,3,30.0,2,0,0,0,1,0,1,10.0,1,0,0,0,0,0,Matches
90,88,Marc Cucurella,DF,es Spain,25-354,1998,5.1,13,2.75,12,0,0,0,0,1,1,0.21,1,0,0,0,0,0,Matches
91,89,Mirlind Daku,FW,al Albania,26-191,1998,0.1,2,30.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
92,90,Diogo Dalot,"DF,MF",pt Portugal,25-114,1999,1.7,6,3.55,4,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
93,91,Mikkel Damsgaard,FW,dk Denmark,24-007,2000,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
94,92,Kevin Danso,DF,at Austria,25-295,1998,2.4,3,1.27,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
95,93,Márton Dárdai,DF,hu Hungary,22-149,2002,1.9,2,1.03,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
96,94,Matteo Darmian,DF,it Italy,34-221,1989,1.8,2,1.11,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
97,95,Zuriko Davitashvili,"FW,MF",ge Georgia,23-146,2001,1.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
98,96,Paweł Dawidowicz,DF,pl Poland,29-051,1995,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
99,97,Kevin De Bruyne,MF,be Belgium,33-012,1991,4.0,28,7.0,17,8,2,1,0,0,0,0.0,0,0,0,0,0,0,Matches
100,98,Charles De Ketelaere,FW,be Belgium,23-122,2001,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
101,99,Zeno Debast,DF,be Belgium,20-260,2003,1.2,1,0.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
102,100,Thomas Delaney,MF,dk Denmark,32-311,1991,0.9,1,1.07,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
104,101,Ousmane Dembélé,"FW,MF",fr France,27-056,1997,4.0,27,7.34,15,6,3,1,2,0,2,0.54,1,0,0,0,1,0,Matches
105,102,Merih Demiral,DF,tr Türkiye,26-127,1998,2.3,1,0.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
106,103,Giovanni Di Lorenzo,"DF,FW",it Italy,30-341,1993,4.0,4,1.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
107,104,Rúben Dias,DF,pt Portugal,27-057,1997,4.7,3,0.75,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
108,105,Federico Dimarco,"DF,FW",it Italy,26-243,1997,2.5,4,1.58,3,1,0,0,0,0,1,0.39,1,0,0,0,0,0,Matches
109,106,Berat Djimsiti,DF,al Albania,31-142,1993,3.0,3,1.0,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
110,107,Jeremy Doku,"FW,MF",be Belgium,22-044,2002,3.6,19,5.34,12,0,6,1,0,0,1,0.28,1,0,0,0,0,0,Matches
111,108,Kasper Dolberg,FW,dk Denmark,26-278,1997,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
112,109,Gianluigi Donnarumma,GK,it Italy,25-136,1999,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
113,110,David Doudera,FW,cz Czechia,26-040,1998,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
114,111,Artem Dovbyk,FW,ua Ukraine,27-019,1997,2.7,8,2.93,6,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
115,112,Denis Drăguș,FW,ro Romania,25-004,1999,3.2,4,1.24,3,0,1,0,0,0,1,0.31,1,0,0,0,0,0,Matches
116,113,Radu Drăgușin,DF,ro Romania,22-158,2002,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
117,114,Vanja Drkušič,DF,si Slovenia,24-254,1999,4.3,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
118,115,Kwadwo Duah,FW,ch Switzerland,27-137,1997,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
119,116,Martin Dúbravka,GK,sk Slovakia,35-177,1989,4.3,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
120,117,Ondrej Duda,MF,sk Slovakia,29-218,1994,3.5,9,2.56,7,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
121,118,Denzel Dumfries,DF,nl Netherlands,28-083,1996,4.0,9,2.25,6,1,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
122,119,Dávid Ďuriš,"FW,MF",sk Slovakia,25-110,1999,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
123,120,Lasha Dvali,DF,ge Georgia,29-057,1995,4.0,2,0.5,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
124,121,Timi Elšnik,MF,si Slovenia,26-072,1998,4.0,7,1.76,5,0,1,1,0,0,1,0.25,1,0,0,0,0,0,Matches
125,122,Breel Embolo,FW,ch Switzerland,27-147,1997,3.3,3,0.91,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
126,123,Christian Eriksen,"MF,FW",dk Denmark,32-147,1992,3.9,26,6.72,12,12,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
127,124,Eberechi Eze,"DF,MF",eng England,26-011,1998,1.1,2,4.29,1,0,0,1,0,0,1,2.14,0,0,0,1,0,0,Matches
128,125,Wout Faes,DF,be Belgium,26-098,1998,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
130,126,Nicolò Fagioli,MF,it Italy,23-149,2001,1.1,4,3.79,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
131,127,João Félix,"MF,FW",pt Portugal,24-243,1999,1.2,8,8.0,6,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
132,128,Bruno Fernandes,MF,pt Portugal,29-306,1994,4.2,19,4.97,14,5,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
133,129,Attila Fiola,DF,hu Hungary,34-144,1990,2.0,2,1.0,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
134,130,Phil Foden,"FW,MF",eng England,24-043,2000,5.0,15,3.01,6,3,3,2,1,0,0,0.0,0,0,0,0,0,0,Matches
135,131,Youssouf Fofana,MF,fr France,25-182,1999,0.5,1,8.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
136,132,Michael Folorunsho,FW,it Italy,26-154,1998,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
137,133,Przemysław Frankowski,DF,pl Poland,29-089,1995,3.0,9,3.0,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
138,134,Davide Frattesi,MF,it Italy,24-262,1999,2.1,4,1.95,3,0,0,0,1,0,1,0.49,1,0,0,0,0,0,Matches
139,135,Remo Freuler,MF,ch Switzerland,32-086,1992,5.1,7,1.38,7,0,0,0,0,0,2,0.39,2,0,0,0,0,0,Matches
140,136,Jeremie Frimpong,FW,nl Netherlands,23-213,2000,1.0,1,1.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
141,137,Chris Führich,FW,de Germany,26-183,1998,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
142,138,Niclas Füllkrug,FW,de Germany,31-152,1993,1.8,9,5.96,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
143,139,Mijat Gaćinović,DF,rs Serbia,29-153,1995,0.5,1,2.0,0,0,0,1,0,0,1,2.0,0,0,0,1,0,0,Matches
144,140,Cody Gakpo,FW,nl Netherlands,25-064,1999,4.8,19,3.95,16,0,2,1,0,0,3,0.62,2,0,1,0,0,0,Matches
145,141,Conor Gallagher,MF,eng England,24-155,2000,1.3,1,0.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
146,142,Dániel Gazdag,MF,hu Hungary,28-130,1996,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
147,143,Lutsharel Geertruida,DF,nl Netherlands,23-358,2000,1.2,3,2.5,1,0,0,0,1,1,1,0.83,0,0,0,0,0,1,Matches
148,144,Billy Gilmour,MF,sct Scotland,23-029,2001,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
149,145,Olivier Giroud,FW,fr France,37-284,1986,0.7,2,3.05,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
150,146,Klaus Gjasula,MF,al Albania,34-209,1989,0.2,1,5.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
151,147,Adam Gnezda Čerin,MF,si Slovenia,24-360,1999,4.3,6,1.5,2,4,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
152,148,Anthony Gordon,FW,eng England,23-137,2001,0.0,1,45.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
153,149,Jon Gorenc Stanković,MF,si Slovenia,28-178,1996,1.0,1,1.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
154,150,Michael Gregoritsch,FW,at Austria,30-083,1994,1.4,1,0.71,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
156,151,Antoine Griezmann,"MF,FW",fr France,33-111,1991,4.4,15,3.43,9,3,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches
157,152,Florian Grillitsch,MF,at Austria,28-338,1995,2.2,4,1.86,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
158,153,Álex Grimaldo,DF,es Spain,28-294,1995,1.3,8,6.26,6,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
159,154,Pascal Groß,MF,de Germany,33-025,1991,0.5,5,10.0,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
160,155,Kamil Grosicki,MF,pl Poland,36-032,1988,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
161,156,Nemanja Gudelj,MF,rs Serbia,32-237,1991,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
162,157,Marc Guéhi,DF,eng England,23-363,2000,4.3,1,0.25,1,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
163,158,Péter Gulácsi,GK,hu Hungary,34-065,1990,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
164,159,Arda Güler,"FW,MF",tr Türkiye,19-136,2005,3.8,17,4.5,10,3,2,1,1,0,2,0.53,1,1,0,0,0,0,Matches
165,160,İlkay Gündoğan,MF,de Germany,33-260,1990,4.3,16,3.76,12,1,0,1,2,0,4,0.94,2,0,0,1,1,0,Matches
166,161,Angus Gunn,GK,sct Scotland,28-170,1996,3.0,1,0.33,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
167,162,Mert Günok,GK,tr Türkiye,35-131,1989,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
168,163,Joško Gvardiol,DF,hr Croatia,22-169,2002,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
169,164,Giorgi Gwelesiani,DF,ge Georgia,33-066,1991,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
170,165,Norbert Gyömbér,DF,sk Slovakia,32-007,1992,0.4,4,180.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
171,166,Ianis Hagi,MF,ro Romania,25-262,1998,2.1,4,1.91,3,0,0,0,1,0,1,0.48,0,0,0,0,1,0,Matches
172,167,Dávid Hancko,DF,sk Slovakia,26-210,1997,4.1,5,1.34,3,2,0,0,0,0,1,0.27,0,1,0,0,0,0,Matches
173,168,Grant Hanley,DF,sct Scotland,32-233,1991,2.5,2,0.8,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
174,169,Lukáš Haraslín,FW,sk Slovakia,28-045,1996,2.9,11,3.75,4,4,2,1,0,0,1,0.34,1,0,0,0,0,0,Matches
175,170,Kai Havertz,"FW,MF",de Germany,25-029,1999,4.3,9,2.08,7,0,0,2,0,0,1,0.23,1,0,0,0,0,0,Matches
176,171,Jack Hendry,DF,sct Scotland,29-064,1995,2.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
177,172,Benjamin Henrichs,DF,de Germany,27-138,1997,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
178,173,Theo Hernández,DF,fr France,26-278,1997,6.3,11,1.83,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
179,174,Morten Hjulmand,MF,dk Denmark,25-015,1999,2.7,8,2.93,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
180,175,Adam Hložek,MF,cz Czechia,21-351,2002,1.2,3,2.5,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
182,176,Tomáš Holeš,DF,cz Czechia,31-101,1993,3.0,5,1.67,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
183,177,Arbër Hoxha,"FW,MF",al Albania,25-278,1998,0.6,4,7.2,4,0,0,0,0,0,1,1.8,1,0,0,0,0,0,Matches
184,178,Robin Hranáč,DF,cz Czechia,24-163,2000,3.0,3,1.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
185,179,Elseid Hysaj,DF,al Albania,30-141,1994,2.0,2,1.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
186,180,Pierre Højbjerg,MF,dk Denmark,28-340,1995,3.9,10,2.56,9,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
187,181,Rasmus Højlund,FW,dk Denmark,21-157,2003,3.2,6,1.89,4,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
188,182,Ivan Ilić,MF,rs Serbia,23-115,2001,2.2,5,2.24,4,1,0,0,0,0,1,0.45,0,1,0,0,0,0,Matches
189,183,Josip Iličić,"FW,MF",si Slovenia,36-163,1988,0.3,1,5.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
190,184,Gonçalo Inácio,DF,pt Portugal,22-320,2001,1.3,4,3.05,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0,Matches
