,Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
17,18,Alex Baena,MF,es Spain,22-338,2001,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches
18,19,Alexander Bah,"DF,MF",dk Denmark,26-196,1997,2,1,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,12,3,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.08,0.06,0.08,Matches
19,20,Nedim Bajrami,"MF,FW",al Albania,25-115,1999,2,2,176,2.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,4,4,7,0.51,0.0,0.51,0.51,0.51,0.07,0.0,0.07,0.07,0.07,Matches
20,21,Johan Bakayoko,"FW,DF",be Belgium,21-063,2003,1,0,34,0.4,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,1,1,0.0,0.0,0.0,0.0,0.0,1.27,0.27,1.53,1.27,1.53,Matches
21,22,Nicușor Bancu,DF,ro Romania,31-278,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
22,23,Antonín Barák,MF,cz Czechia,29-202,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
23,24,Abdülkerim Bardakcı,DF,tr Türkiye,29-289,1994,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,7,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
24,25,Nicolò Barella,MF,it Italy,27-136,1997,2,2,179,2.0,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.1,7,12,3,0.5,0.0,0.5,0.5,0.5,0.04,0.03,0.07,0.04,0.07,Matches
26,26,Alessandro Bastoni,DF,it Italy,25-070,1999,2,2,180,2.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,2,5,0,0.5,0.0,0.5,0.5,0.5,0.1,0.0,0.1,0.1,0.1,Matches
27,27,Martin Baturina,FW,hr Croatia,21-127,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.95,0.95,Matches
28,28,Christoph Baumgartner,"MF,FW",at Austria,24-326,1999,2,2,170,1.9,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.1,14,6,10,0.53,0.0,0.53,0.53,0.53,0.4,0.17,0.57,0.4,0.57,Matches
29,29,Jan Bednarek,DF,pl Poland,28-071,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
30,30,Jude Bellingham,MF,eng England,20-359,2003,2,2,175,1.9,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,2,11,10,0.51,0.0,0.51,0.51,0.51,0.12,0.09,0.21,0.12,0.21,Matches
31,31,László Bénes,MF,sk Slovakia,26-287,1997,1,0,31,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0,0,3,0.0,0.0,0.0,0.0,0.0,0.3,0.14,0.44,0.3,0.44,Matches
32,32,Bartosz Bereszyński,DF,pl Poland,31-346,1992,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
33,33,Victor Bernth Kristiansen,DF,dk Denmark,21-189,2002,2,2,133,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,3,0,17,0.0,0.68,0.68,0.0,0.68,0.02,0.2,0.22,0.02,0.22,Matches
34,34,Jaka Bijol,DF,si Slovenia,25-138,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
35,35,Veljko Birmančević,DF,rs Serbia,26-109,1998,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,7,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
36,36,Bendegúz Bolla,DF,hu Hungary,24-213,1999,2,1,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,2,2,8,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.15,0.04,0.15,Matches
37,37,Jarrod Bowen,FW,eng England,27-185,1996,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.49,0.0,0.49,Matches
38,38,Róbert Boženík,FW,sk Slovakia,24-217,1999,2,2,128,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,5,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
39,39,Volodymyr Brazhko,MF,ua Ukraine,22-151,2002,2,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
40,40,David Brekalo,MF,si Slovenia,25-202,1998,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
41,41,Armando Broja,FW,al Albania,22-286,2001,1,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
42,42,Marcelo Brozović,MF,hr Croatia,31-219,1992,2,2,135,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,11,3,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.1,0.11,Matches
43,43,Ante Budimir,FW,hr Croatia,32-336,1991,2,1,77,0.9,0,1,1,0,0,0,0,0,0.5,0.5,1.2,1.7,1,1,4,0.0,1.17,1.17,0.0,1.17,0.6,1.39,1.98,0.6,1.98,Matches
44,44,Adam Buksa,FW,pl Poland,27-346,1996,2,2,149,1.7,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,1,1,6,0.6,0.0,0.6,0.6,0.6,0.1,0.07,0.16,0.1,0.16,Matches
45,45,Andrei Burcă,DF,ro Romania,31-068,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
46,46,Riccardo Calafiori,DF,it Italy,22-034,2002,2,2,180,2.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,4,7,0,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.15,0.14,0.15,Matches
47,47,Hakan Çalhanoğlu,MF,tr Türkiye,30-135,1994,1,1,89,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,2,10,3,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.16,0.15,0.16,Matches
48,48,Eduardo Camavinga,MF,fr France,21-225,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches
49,49,Andrea Cambiaso,"FW,MF",it Italy,24-123,2000,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
50,50,Emre Can,MF,de Germany,30-162,1994,2,0,30,0.3,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.1,1,3,0,3.0,0.0,3.0,3.0,3.0,0.1,0.1,0.21,0.1,0.21,Matches
52,51,João Cancelo,MF,pt Portugal,30-026,1994,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,7,16,5,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.05,0.04,0.05,Matches
53,52,Yannick Carrasco,DF,be Belgium,30-292,1993,1,1,83,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,4,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
54,53,Dani Carvajal,DF,es Spain,32-163,1992,2,2,180,2.0,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,2,8,5,0.5,0.0,0.5,0.5,0.5,0.25,0.06,0.31,0.25,0.31,Matches
55,54,Timothy Castagne,DF,be Belgium,28-200,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
56,55,Koen Casteels,GK,be Belgium,31-363,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
57,56,Žan Celar,MF,si Slovenia,25-100,1999,1,0,16,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
58,57,Zeki Çelik,MF,tr Türkiye,27-126,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.06,2.06,0.0,2.06,Matches
59,58,Giorgi Chakvetadze,MF,ge Georgia,24-298,1999,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
60,59,Federico Chiesa,FW,it Italy,26-241,1997,2,2,139,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,3,14,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.23,0.06,0.23,Matches
61,60,Tomáš Chorý,DF,cz Czechia,29-148,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
62,61,Andreas Christensen,DF,dk Denmark,28-073,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,7,0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches
63,62,Ryan Christie,"MF,FW",sct Scotland,29-121,1995,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
64,63,Mojmir Chytil,FW,cz Czechia,25-054,1999,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.07,0.37,0.44,0.07,0.44,Matches
65,64,Florinel Coman,MF,ro Romania,26-073,1998,1,1,61,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
66,65,Kingsley Coman,MF,fr France,28-009,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
67,66,Francisco Conceição,FW,pt Portugal,21-191,2002,1,0,1,0.0,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,0,0,0,90.0,0.0,90.0,90.0,90.0,64.89,0.0,64.89,64.89,64.89,Matches
68,67,Diogo Costa,GK,pt Portugal,24-277,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
69,68,Vladimír Coufal,FW,cz Czechia,31-305,1992,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,2,0.0,1.0,1.0,0.0,1.0,0.0,0.09,0.09,0.0,0.09,Matches
70,69,Bryan Cristante,MF,it Italy,29-111,1995,2,0,59,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,2,1,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
71,70,Kevin Csoboth,DF,hu Hungary,24-002,2000,1,0,4,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
72,71,Marc Cucurella,DF,es Spain,25-336,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,3,10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches
73,72,Mirlind Daku,FW,al Albania,26-173,1998,1,0,6,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,1,2,0.0,0.0,0.0,0.0,0.0,1.71,1.99,3.7,1.71,3.7,Matches
74,73,Diogo Dalot,MF,pt Portugal,25-096,1999,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,8,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,Matches
75,74,Mikkel Damsgaard,FW,dk Denmark,23-355,2000,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
76,75,Kevin Danso,DF,at Austria,25-277,1998,2,1,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,10,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
78,76,Márton Dárdai,DF,hu Hungary,22-131,2002,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
79,77,Matteo Darmian,DF,it Italy,34-203,1989,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
80,78,Zuriko Davitashvili,FW,ge Georgia,23-128,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches
81,79,Paweł Dawidowicz,DF,pl Poland,29-033,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
82,80,Kevin De Bruyne,MF,be Belgium,32-360,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,2,7,4,0.0,0.0,0.0,0.0,0.0,0.25,0.52,0.78,0.25,0.78,Matches
83,81,Zeno Debast,DF,be Belgium,20-242,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
84,82,Thomas Delaney,MF,dk Denmark,32-293,1991,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
85,83,Ousmane Dembélé,"MF,FW",fr France,27-038,1997,2,2,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,9,4,11,0.0,0.0,0.0,0.0,0.0,0.06,0.25,0.31,0.06,0.31,Matches
86,84,Merih Demiral,DF,tr Türkiye,26-109,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
87,85,Giovanni Di Lorenzo,DF,it Italy,30-323,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,11,3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
88,86,Rúben Dias,DF,pt Portugal,27-039,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,6,1,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches
89,87,Federico Dimarco,DF,it Italy,26-225,1997,2,2,172,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,5,3,10,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.15,0.02,0.15,Matches
90,88,Berat Djimsiti,DF,al Albania,31-124,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
91,89,Jeremy Doku,FW,be Belgium,22-026,2002,1,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,8,2,9,0.0,0.0,0.0,0.0,0.0,0.03,0.17,0.2,0.03,0.2,Matches
92,90,Kasper Dolberg,FW,dk Denmark,26-260,1997,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
93,91,Gianluigi Donnarumma,GK,it Italy,25-118,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
94,92,David Doudera,FW,cz Czechia,26-022,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
95,93,Artem Dovbyk,FW,ua Ukraine,27-001,1997,2,2,156,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.9,1,1,8,0.0,0.0,0.0,0.0,0.0,0.24,0.25,0.49,0.24,0.49,Matches
96,94,Denis Drăguș,FW,ro Romania,24-352,1999,1,1,74,0.8,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,1,3,1,1.22,0.0,1.22,1.22,1.22,1.06,0.05,1.11,1.06,1.11,Matches
97,95,Radu Drăgușin,DF,ro Romania,22-140,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
98,96,Vanja Drkušič,DF,si Slovenia,24-236,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
99,97,Kwadwo Duah,FW,ch Switzerland,27-119,1997,1,1,67,0.7,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,0,4,1.34,0.0,1.34,1.34,1.34,0.94,0.0,0.94,0.94,0.94,Matches
100,98,Martin Dúbravka,GK,sk Slovakia,35-159,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
101,99,Ondrej Duda,MF,sk Slovakia,29-200,1994,2,2,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,6,5,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
102,100,Denzel Dumfries,"DF,FW",nl Netherlands,28-065,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,13,9,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,0.14,Matches
104,101,Dávid Ďuriš,"FW,MF",sk Slovakia,25-092,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
105,102,Lasha Dvali,DF,ge Georgia,29-039,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
106,103,Timi Elšnik,MF,si Slovenia,26-054,1998,2,2,164,1.8,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.8,7,5,2,0.0,0.55,0.55,0.0,0.55,0.13,0.3,0.44,0.13,0.44,Matches
107,104,Breel Embolo,"FW,MF",ch Switzerland,27-129,1997,2,0,48,0.5,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,2,2,0,1.87,0.0,1.87,1.87,1.87,1.14,0.0,1.14,1.14,1.14,Matches
108,105,Christian Eriksen,"MF,FW",dk Denmark,32-129,1992,2,2,171,1.9,1,0,1,1,0,0,0,0,0.9,0.9,0.5,1.4,3,7,10,0.53,0.0,0.53,0.53,0.53,0.46,0.28,0.74,0.46,0.74,Matches
109,106,Eberechi Eze,FW,eng England,25-359,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
110,107,Wout Faes,DF,be Belgium,26-080,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
111,108,Bruno Fernandes,MF,pt Portugal,29-288,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,9,12,7,0.0,0.0,0.0,0.0,0.0,0.02,0.58,0.6,0.02,0.6,Matches
112,109,Attila Fiola,DF,hu Hungary,34-126,1990,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
113,110,Phil Foden,FW,eng England,24-025,2000,2,2,158,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,6,5,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches
114,111,Youssouf Fofana,MF,fr France,25-164,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
