,Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
40,40,László Bénes,MF,sk Slovakia,26-299,1997,0.8,0,0,0,0,0,0,6,0,1,0,0,0,5,0,0,,Matches
41,41,Bartosz Bereszyński,DF,pl Poland,31-358,1992,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
42,42,Steven Bergwijn,FW,nl Netherlands,26-270,1997,0.5,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,,Matches
43,43,Medon Berisha,MF,al Albania,20-257,2003,0.2,1,0,0,1,0,0,0,1,0,0,0,0,3,0,2,0.0,Matches
44,44,Victor Bernth Kristiansen,"DF,MF",dk Denmark,21-201,2002,1.7,0,0,0,0,0,1,4,0,3,0,0,0,6,2,5,28.6,Matches
45,45,Matúš Bero,"MF,DF",sk Slovakia,28-302,1995,0.5,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,,Matches
46,46,Jaka Bijol,DF,si Slovenia,25-150,1999,4.3,2,0,0,6,0,1,1,6,6,0,0,0,9,9,8,52.9,Matches
47,47,Veljko Birmančević,DF,rs Serbia,26-121,1998,0.3,0,0,0,0,1,0,5,2,0,0,0,0,0,0,1,0.0,Matches
48,48,Daley Blind,FW,nl Netherlands,34-117,1990,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
49,49,Bendegúz Bolla,DF,hu Hungary,24-225,1999,2.3,1,0,0,3,1,1,8,1,3,0,0,0,3,0,1,0.0,Matches
50,50,Endre Botka,DF,hu Hungary,29-314,1994,1.0,0,0,0,2,0,0,0,1,1,0,0,0,2,6,6,50.0,Matches
52,51,Jarrod Bowen,FW,eng England,27-197,1996,0.4,0,0,0,1,1,0,3,1,1,0,0,0,1,2,1,66.7,Matches
53,52,Róbert Boženík,FW,sk Slovakia,24-229,1999,2.3,0,0,0,5,1,0,2,0,3,0,0,0,6,3,10,23.1,Matches
54,53,Volodymyr Brazhko,MF,ua Ukraine,22-163,2002,2.0,0,0,0,2,3,0,0,5,5,0,0,0,9,0,3,0.0,Matches
55,54,David Brekalo,MF,si Slovenia,25-214,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
56,55,Armando Broja,FW,al Albania,22-298,2001,1.2,1,0,0,2,5,0,0,0,1,0,0,0,1,2,1,66.7,Matches
57,56,Marcelo Brozović,MF,hr Croatia,31-231,1992,2.5,1,0,0,2,0,0,4,4,0,0,0,0,2,1,1,50.0,Matches
58,57,Jacob Bruun Larsen,FW,dk Denmark,25-289,1998,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
59,58,Ante Budimir,FW,hr Croatia,32-348,1991,1.4,0,0,0,5,1,0,1,0,2,0,0,0,1,7,11,38.9,Matches
60,59,Adam Buksa,FW,pl Poland,27-358,1996,1.7,0,0,0,2,4,0,0,0,0,0,0,0,0,3,7,30.0,Matches
61,60,Andrei Burcă,DF,ro Romania,31-080,1993,4.0,1,0,0,1,1,0,1,1,2,0,0,0,8,6,8,42.9,Matches
62,61,Riccardo Calafiori,DF,it Italy,22-046,2002,3.0,2,0,0,4,2,0,1,6,1,0,0,1,13,7,2,77.8,Matches
63,62,Hakan Çalhanoğlu,MF,tr Türkiye,30-147,1994,2.9,2,0,0,5,1,1,11,0,4,0,0,0,15,2,2,50.0,Matches
64,63,Eduardo Camavinga,MF,fr France,21-237,2002,0.6,0,0,0,4,4,0,0,1,0,0,0,0,3,2,0,100.0,Matches
65,64,Andrea Cambiaso,"FW,DF",it Italy,24-135,2000,0.8,0,0,0,2,1,0,5,0,4,0,0,0,4,0,0,,Matches
66,65,Emre Can,MF,de Germany,30-174,1994,0.6,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,,Matches
67,66,João Cancelo,"DF,MF",pt Portugal,30-038,1994,3.0,1,0,0,1,4,0,7,2,4,0,0,0,18,4,4,50.0,Matches
68,67,Yannick Carrasco,"DF,FW",be Belgium,30-304,1993,2.4,0,0,0,2,1,1,3,0,2,0,0,0,11,0,0,,Matches
69,68,Dani Carvajal,DF,es Spain,32-175,1992,2.9,1,0,0,0,2,0,5,2,1,0,0,0,12,4,5,44.4,Matches
70,69,Timothy Castagne,DF,be Belgium,28-212,1995,4.0,0,0,0,2,0,0,5,2,1,0,0,0,14,3,5,37.5,Matches
71,70,Koen Casteels,GK,be Belgium,32-009,1992,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches
72,71,Žan Celar,"FW,MF",si Slovenia,25-112,1999,0.7,1,0,0,1,0,2,0,1,1,0,0,0,1,2,0,100.0,Matches
73,72,Zeki Çelik,"DF,MF",tr Türkiye,27-138,1997,1.1,1,0,0,3,0,0,3,0,0,0,0,0,4,2,2,50.0,Matches
74,73,Václav Černý,MF,cz Czechia,26-261,1997,0.6,0,0,0,1,0,1,5,0,1,0,0,0,2,0,0,,Matches
75,74,Giorgi Chakvetadze,"MF,FW",ge Georgia,24-310,1999,2.7,0,0,0,4,1,0,4,1,5,0,0,0,10,3,3,50.0,Matches
76,75,Federico Chiesa,"FW,MF",it Italy,26-253,1997,2.9,0,0,0,3,1,0,17,3,4,0,0,0,9,0,1,0.0,Matches
78,76,Tomáš Chorý,MF,cz Czechia,29-160,1995,0.4,0,1,0,2,1,0,0,0,0,0,0,0,0,2,6,25.0,Matches
79,77,Andreas Christensen,DF,dk Denmark,28-085,1996,3.9,0,0,0,2,3,0,0,6,2,0,0,0,10,9,3,75.0,Matches
80,78,Ryan Christie,"MF,FW",sct Scotland,29-133,1995,1.1,0,0,0,3,4,0,1,0,0,0,0,0,4,4,2,66.7,Matches
81,79,Mojmir Chytil,FW,cz Czechia,25-066,1999,1.2,0,0,0,2,3,0,2,0,0,0,0,0,3,3,5,37.5,Matches
82,80,Alexandru Cicâldău,MF,ro Romania,26-362,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
83,81,Florinel Coman,MF,ro Romania,26-085,1998,1.3,0,0,0,0,1,0,1,1,1,0,0,0,2,1,0,100.0,Matches
84,82,Kingsley Coman,MF,fr France,28-021,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
85,83,Francisco Conceição,"MF,FW",pt Portugal,21-203,2002,1.5,1,0,0,1,2,0,13,0,1,0,0,0,6,0,1,0.0,Matches
86,84,Diogo Costa,GK,pt Portugal,24-289,1999,4.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
87,85,Vladimír Coufal,"DF,FW",cz Czechia,31-317,1992,3.0,1,0,0,1,1,0,22,2,4,0,0,0,12,3,5,37.5,Matches
88,86,Bryan Cristante,MF,it Italy,29-123,1995,1.5,1,0,0,3,1,0,3,2,0,0,0,0,4,3,1,75.0,Matches
89,87,Kevin Csoboth,DF,hu Hungary,24-014,2000,0.1,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,,Matches
90,88,Marc Cucurella,DF,es Spain,25-348,1998,2.7,0,0,0,4,6,0,3,4,7,0,0,0,14,8,2,80.0,Matches
91,89,Mirlind Daku,FW,al Albania,26-185,1998,0.1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,100.0,Matches
92,90,Diogo Dalot,"DF,MF",pt Portugal,25-108,1999,1.7,0,0,0,2,0,0,3,1,1,0,0,0,10,2,0,100.0,Matches
93,91,Mikkel Damsgaard,FW,dk Denmark,24-001,2000,0.4,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,50.0,Matches
94,92,Kevin Danso,DF,at Austria,25-289,1998,2.4,1,0,0,4,5,0,0,0,0,0,0,0,11,6,8,42.9,Matches
95,93,Márton Dárdai,DF,hu Hungary,22-143,2002,1.9,0,0,0,3,3,0,0,0,1,0,0,0,0,4,0,100.0,Matches
96,94,Matteo Darmian,DF,it Italy,34-215,1989,1.8,0,0,0,4,1,1,1,1,1,0,0,0,8,1,0,100.0,Matches
97,95,Zuriko Davitashvili,"FW,MF",ge Georgia,23-140,2001,1.3,1,0,0,1,4,0,1,0,3,0,0,0,1,1,2,33.3,Matches
98,96,Paweł Dawidowicz,DF,pl Poland,29-045,1995,2.0,1,0,0,5,0,0,0,0,0,0,0,0,5,2,1,66.7,Matches
99,97,Kevin De Bruyne,MF,be Belgium,33-006,1991,4.0,0,0,0,5,6,2,21,0,1,0,0,0,16,7,1,87.5,Matches
100,98,Charles De Ketelaere,FW,be Belgium,23-116,2001,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
101,99,Zeno Debast,DF,be Belgium,20-254,2003,1.2,0,0,0,3,0,0,0,0,1,0,0,0,7,1,1,50.0,Matches
102,100,Thomas Delaney,MF,dk Denmark,32-305,1991,0.9,0,0,0,3,1,1,1,2,0,0,0,0,4,2,3,40.0,Matches
104,101,Ousmane Dembélé,"FW,MF",fr France,27-050,1997,2.5,1,0,0,4,6,1,14,1,4,1,0,0,11,2,2,50.0,Matches
105,102,Merih Demiral,DF,tr Türkiye,26-121,1998,2.3,0,0,0,2,2,0,2,4,2,0,0,0,5,14,4,77.8,Matches
106,103,Giovanni Di Lorenzo,"DF,FW",it Italy,30-335,1993,4.0,0,0,0,4,6,1,2,6,9,0,0,0,11,6,3,66.7,Matches
107,104,Rúben Dias,DF,pt Portugal,27-051,1997,3.3,0,0,0,2,0,1,3,2,1,0,0,0,6,11,6,64.7,Matches
108,105,Federico Dimarco,"DF,FW",it Italy,26-237,1997,2.5,0,0,0,0,2,0,12,2,2,0,0,0,7,1,1,50.0,Matches
109,106,Berat Djimsiti,DF,al Albania,31-136,1993,3.0,0,0,0,1,2,0,0,2,0,0,0,0,5,6,2,75.0,Matches
110,107,Jeremy Doku,"FW,MF",be Belgium,22-038,2002,3.6,0,0,0,5,8,0,8,1,2,0,0,0,12,1,2,33.3,Matches
111,108,Kasper Dolberg,FW,dk Denmark,26-272,1997,0.4,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,100.0,Matches
112,109,Gianluigi Donnarumma,GK,it Italy,25-130,1999,4.0,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100.0,Matches
113,110,David Doudera,FW,cz Czechia,26-034,1998,1.0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,,Matches
114,111,Artem Dovbyk,FW,ua Ukraine,27-013,1997,2.7,1,0,0,3,2,3,0,1,2,0,0,0,6,7,2,77.8,Matches
115,112,Denis Drăguș,FW,ro Romania,24-364,1999,3.2,0,0,0,8,3,1,1,1,1,0,0,0,8,2,12,14.3,Matches
116,113,Radu Drăgușin,DF,ro Romania,22-152,2002,4.0,0,0,0,1,5,0,0,6,1,0,0,0,13,5,3,62.5,Matches
117,114,Vanja Drkušič,DF,si Slovenia,24-248,1999,4.3,1,0,0,7,1,0,1,1,7,0,1,0,13,6,4,60.0,Matches
118,115,Kwadwo Duah,FW,ch Switzerland,27-131,1997,1.2,0,0,0,1,1,1,1,1,1,0,0,0,2,5,2,71.4,Matches
119,116,Martin Dúbravka,GK,sk Slovakia,35-171,1989,4.3,0,0,0,0,1,0,0,1,0,0,0,0,1,5,0,100.0,Matches
120,117,Ondrej Duda,MF,sk Slovakia,29-212,1994,3.5,1,0,0,9,6,0,9,3,3,0,0,0,11,3,3,50.0,Matches
121,118,Denzel Dumfries,DF,nl Netherlands,28-077,1996,3.0,1,0,0,7,1,1,14,2,3,0,0,0,11,4,1,80.0,Matches
122,119,Dávid Ďuriš,"FW,MF",sk Slovakia,25-104,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
123,120,Lasha Dvali,DF,ge Georgia,29-051,1995,4.0,0,0,0,2,0,0,0,1,3,0,0,0,7,6,9,40.0,Matches
124,121,Timi Elšnik,MF,si Slovenia,26-066,1998,4.0,0,0,0,4,3,0,4,4,7,0,0,0,22,4,2,66.7,Matches
125,122,Breel Embolo,"FW,MF",ch Switzerland,27-141,1997,2.1,0,0,0,1,7,1,1,1,3,0,0,0,6,1,6,14.3,Matches
126,123,Christian Eriksen,"MF,FW",dk Denmark,32-141,1992,3.9,0,0,0,0,4,1,32,2,2,0,0,0,22,0,2,0.0,Matches
127,124,Eberechi Eze,"MF,FW",eng England,26-005,1998,0.7,0,0,0,1,4,0,2,0,0,0,0,0,1,1,4,20.0,Matches
128,125,Wout Faes,DF,be Belgium,26-092,1998,4.0,1,0,0,4,2,0,0,4,7,0,0,0,14,3,9,25.0,Matches
130,126,Nicolò Fagioli,MF,it Italy,23-143,2001,1.1,1,0,0,1,0,0,4,0,1,0,0,0,5,0,0,,Matches
131,127,João Félix,MF,pt Portugal,24-237,1999,1.0,0,0,0,0,1,0,7,0,0,0,0,0,3,0,0,,Matches
132,128,Bruno Fernandes,MF,pt Portugal,29-300,1994,3.3,0,0,0,4,5,2,23,2,4,0,0,0,20,2,5,28.6,Matches
133,129,Attila Fiola,DF,hu Hungary,34-138,1990,2.0,0,0,0,5,3,0,1,0,1,0,0,0,2,1,2,33.3,Matches
134,130,Phil Foden,FW,eng England,24-037,2000,3.7,1,0,0,0,4,3,18,1,1,0,0,0,13,2,2,50.0,Matches
135,131,Youssouf Fofana,MF,fr France,25-176,1999,0.1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,100.0,Matches
136,132,Michael Folorunsho,FW,it Italy,26-148,1998,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches
137,133,Przemysław Frankowski,DF,pl Poland,29-083,1995,3.0,0,0,0,5,1,0,7,1,5,0,0,0,13,1,3,25.0,Matches
138,134,Davide Frattesi,MF,it Italy,24-256,1999,2.1,0,0,0,4,6,1,2,0,1,0,1,0,4,1,2,33.3,Matches
139,135,Remo Freuler,MF,ch Switzerland,32-080,1992,3.8,1,0,0,9,1,0,0,3,3,0,0,0,11,6,0,100.0,Matches
140,136,Jeremie Frimpong,FW,nl Netherlands,23-207,2000,0.9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0,Matches
141,137,Chris Führich,FW,de Germany,26-177,1998,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
142,138,Niclas Füllkrug,FW,de Germany,31-146,1993,1.1,0,0,0,1,1,3,0,0,0,0,0,0,1,4,1,80.0,Matches
143,139,Mijat Gaćinović,DF,rs Serbia,29-147,1995,0.5,1,0,0,1,0,0,3,0,1,0,0,0,2,2,2,50.0,Matches
144,140,Cody Gakpo,FW,nl Netherlands,25-058,1999,3.8,0,0,0,2,6,3,13,2,6,0,0,0,14,6,2,75.0,Matches
145,141,Conor Gallagher,MF,eng England,24-149,2000,1.3,1,0,0,5,5,0,0,0,0,0,0,0,2,2,2,50.0,Matches
146,142,Dániel Gazdag,MF,hu Hungary,28-124,1996,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
147,143,Lutsharel Geertruida,DF,nl Netherlands,23-352,2000,1.2,0,0,0,2,2,0,1,0,3,0,0,0,1,0,1,0.0,Matches
148,144,Billy Gilmour,MF,sct Scotland,23-023,2001,2.0,0,0,0,0,1,0,4,0,1,0,0,0,8,4,1,80.0,Matches
149,145,Olivier Giroud,FW,fr France,37-278,1986,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,75.0,Matches
150,146,Klaus Gjasula,MF,al Albania,34-203,1989,0.2,1,0,0,1,0,0,0,0,0,0,0,1,2,1,1,50.0,Matches
151,147,Adam Gnezda Čerin,MF,si Slovenia,24-354,1999,4.3,0,0,0,10,4,0,10,5,5,0,0,0,16,5,2,71.4,Matches
152,148,Anthony Gordon,FW,eng England,23-131,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
153,149,Jon Gorenc Stanković,MF,si Slovenia,28-172,1996,1.0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.0,Matches
154,150,Michael Gregoritsch,FW,at Austria,30-077,1994,1.4,0,0,0,4,0,0,1,0,1,0,0,0,3,3,4,42.9,Matches
156,151,Antoine Griezmann,"FW,MF",fr France,33-105,1991,3.3,1,0,0,2,5,0,21,1,1,0,0,0,8,0,3,0.0,Matches
157,152,Florian Grillitsch,MF,at Austria,28-332,1995,2.2,0,0,0,2,3,0,2,6,1,0,0,0,11,1,1,50.0,Matches
158,153,Álex Grimaldo,DF,es Spain,28-288,1995,1.3,0,0,0,0,0,0,16,3,1,0,0,0,3,1,0,100.0,Matches
159,154,Pascal Groß,MF,de Germany,33-019,1991,0.5,0,0,0,1,0,0,1,0,1,0,0,0,4,1,1,50.0,Matches
160,155,Kamil Grosicki,MF,pl Poland,36-026,1988,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,Matches
161,156,Nemanja Gudelj,MF,rs Serbia,32-231,1991,1.0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0.0,Matches
162,157,Marc Guéhi,DF,eng England,23-357,2000,4.3,2,0,0,3,5,0,0,2,2,0,0,0,20,9,11,45.0,Matches
163,158,Péter Gulácsi,GK,hu Hungary,34-059,1990,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
164,159,Arda Güler,FW,tr Türkiye,19-130,2005,2.8,1,0,0,2,4,1,18,1,5,0,0,0,9,0,5,0.0,Matches
165,160,İlkay Gündoğan,MF,de Germany,33-254,1990,3.6,0,0,0,3,4,1,3,0,2,1,0,0,8,3,4,42.9,Matches
166,161,Angus Gunn,GK,sct Scotland,28-164,1996,3.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
167,162,Mert Günok,GK,tr Türkiye,35-125,1989,3.0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches
168,163,Joško Gvardiol,DF,hr Croatia,22-163,2002,3.0,0,0,0,6,3,0,0,5,3,0,0,0,16,0,5,0.0,Matches
169,164,Giorgi Gwelesiani,DF,ge Georgia,33-060,1991,1.8,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,,Matches
170,165,Norbert Gyömbér,DF,sk Slovakia,32-001,1992,0.4,1,0,0,3,1,0,1,1,0,0,0,0,1,0,2,0.0,Matches
171,166,Ianis Hagi,MF,ro Romania,25-256,1998,2.1,0,0,0,3,4,1,8,0,3,1,0,0,6,2,3,40.0,Matches
172,167,Dávid Hancko,DF,sk Slovakia,26-204,1997,4.1,0,0,0,5,3,1,11,3,5,0,1,0,17,6,6,50.0,Matches
173,168,Grant Hanley,DF,sct Scotland,32-227,1991,2.5,0,0,0,4,1,0,0,1,0,0,0,0,8,10,4,71.4,Matches
174,169,Lukáš Haraslín,FW,sk Slovakia,28-039,1996,2.9,0,0,0,2,6,1,14,3,4,0,0,0,6,2,1,66.7,Matches
175,170,Kai Havertz,"FW,MF",de Germany,25-023,1999,3.3,0,0,0,5,2,3,0,0,1,0,0,0,6,8,8,50.0,Matches
176,171,Jack Hendry,DF,sct Scotland,29-058,1995,2.9,0,0,0,4,4,0,1,1,1,0,0,0,5,10,3,76.9,Matches
177,172,Benjamin Henrichs,DF,de Germany,27-132,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
178,173,Theo Hernández,DF,fr France,26-272,1997,4.0,0,0,0,1,8,0,7,3,2,0,0,0,17,1,1,50.0,Matches
179,174,Morten Hjulmand,MF,dk Denmark,25-009,1999,2.7,2,0,0,4,1,0,2,1,1,0,0,0,17,0,2,0.0,Matches
180,175,Adam Hložek,MF,cz Czechia,21-345,2002,1.2,0,0,0,2,1,0,0,1,0,0,0,0,3,0,1,0.0,Matches
182,176,Tomáš Holeš,DF,cz Czechia,31-095,1993,3.0,1,0,0,3,2,0,5,2,5,0,0,0,8,6,2,75.0,Matches
183,177,Arbër Hoxha,"FW,MF",al Albania,25-272,1998,0.6,1,0,0,1,3,0,1,0,2,0,0,0,6,0,1,0.0,Matches
184,178,Robin Hranáč,DF,cz Czechia,24-157,2000,3.0,0,0,0,6,0,0,0,0,1,0,1,1,12,3,1,75.0,Matches
185,179,Elseid Hysaj,DF,al Albania,30-135,1994,2.0,1,0,0,0,0,0,3,0,1,0,0,0,6,0,2,0.0,Matches
186,180,Pierre Højbjerg,MF,dk Denmark,28-334,1995,3.9,0,0,0,5,4,0,6,3,7,0,0,0,28,2,1,66.7,Matches
187,181,Rasmus Højlund,FW,dk Denmark,21-151,2003,3.2,0,0,0,5,4,3,1,1,1,0,0,0,6,4,7,36.4,Matches
188,182,Ivan Ilić,MF,rs Serbia,23-109,2001,2.2,0,0,0,2,3,0,4,0,4,0,0,0,13,3,2,60.0,Matches
189,183,Josip Iličić,"FW,MF",si Slovenia,36-157,1988,0.3,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,,Matches
190,184,Gonçalo Inácio,DF,pt Portugal,22-314,2001,1.3,0,0,0,0,0,0,1,1,2,0,0,0,6,4,0,100.0,Matches
191,185,Luka Ivanušec,MF,hr Croatia,25-221,1998,0.2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches
192,186,Erik Janža,DF,si Slovenia,31-013,1993,3.0,2,0,0,3,4,0,12,2,4,0,0,0,4,4,1,80.0,Matches
193,187,Jorginho,MF,it Italy,32-197,1991,2.4,0,0,0,0,1,0,0,4,2,0,0,0,10,0,1,0.0,Matches
194,188,Joselu,FW,es Spain,34-099,1990,0.8,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3,40.0,Matches
195,189,Diogo Jota,"FW,MF",pt Portugal,27-213,1996,1.1,0,0,0,2,2,0,1,0,2,1,0,0,5,2,6,25.0,Matches
196,190,Luka Jović,"MF,FW",rs Serbia,26-194,1997,1.1,1,0,0,4,1,1,1,0,0,0,0,0,2,1,3,25.0,Matches
197,191,Josip Juranović,DF,hr Croatia,28-323,1995,1.0,0,0,0,0,1,0,8,1,3,0,0,0,5,2,0,100.0,Matches
