,Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
124,121,Timi Elšnik,MF,si Slovenia,26-070,1998,4.0,0,3,0,0.0,0.75,0.0,0.0,,19.2,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
125,122,Breel Embolo,FW,ch Switzerland,27-145,1997,3.3,2,8,4,50.0,2.43,1.22,0.25,0.5,13.6,0,0,0,2.1,2.1,0.27,-0.1,-0.1,Matches
126,123,Christian Eriksen,"MF,FW",dk Denmark,32-145,1992,3.9,1,12,2,16.7,3.1,0.52,0.08,0.5,19.1,1,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
127,124,Eberechi Eze,"DF,MF",eng England,26-009,1998,1.1,0,2,0,0.0,1.76,0.0,0.0,,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
128,125,Wout Faes,DF,be Belgium,26-096,1998,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
130,126,Nicolò Fagioli,MF,it Italy,23-147,2001,1.1,0,1,0,0.0,0.95,0.0,0.0,,28.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
131,127,João Félix,"MF,FW",pt Portugal,24-241,1999,1.2,0,4,1,25.0,3.43,0.86,0.0,0.0,20.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
132,128,Bruno Fernandes,MF,pt Portugal,29-304,1994,4.2,1,10,2,20.0,2.41,0.48,0.1,0.5,22.7,1,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
133,129,Attila Fiola,DF,hu Hungary,34-142,1990,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
134,130,Phil Foden,"FW,MF",eng England,24-041,2000,5.0,0,9,2,22.2,1.8,0.4,0.0,0.0,26.3,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
135,131,Youssouf Fofana,MF,fr France,25-180,1999,0.5,0,1,0,0.0,2.2,0.0,0.0,,26.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
136,132,Michael Folorunsho,FW,it Italy,26-152,1998,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
137,133,Przemysław Frankowski,DF,pl Poland,29-087,1995,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
138,134,Davide Frattesi,MF,it Italy,24-260,1999,2.1,0,2,1,50.0,0.97,0.49,0.0,0.0,11.3,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
139,135,Remo Freuler,MF,ch Switzerland,32-084,1992,5.1,1,3,1,33.3,0.59,0.2,0.33,1.0,20.8,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
140,136,Jeremie Frimpong,FW,nl Netherlands,23-211,2000,1.0,0,2,1,50.0,2.09,1.05,0.0,0.0,15.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
141,137,Chris Führich,FW,de Germany,26-181,1998,0.2,0,1,0,0.0,4.74,0.0,0.0,,13.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
142,138,Niclas Füllkrug,FW,de Germany,31-150,1993,1.8,2,9,3,33.3,4.88,1.63,0.22,0.67,11.2,0,0,0,1.0,1.0,0.12,1.0,1.0,Matches
143,139,Mijat Gaćinović,DF,rs Serbia,29-151,1995,0.5,0,1,0,0.0,2.0,0.0,0.0,,16.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
144,140,Cody Gakpo,FW,nl Netherlands,25-062,1999,4.8,3,13,8,61.5,2.7,1.66,0.23,0.38,15.9,0,0,0,1.1,1.1,0.08,1.9,1.9,Matches
145,141,Conor Gallagher,MF,eng England,24-153,2000,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
146,142,Dániel Gazdag,MF,hu Hungary,28-128,1996,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
147,143,Lutsharel Geertruida,DF,nl Netherlands,23-356,2000,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
148,144,Billy Gilmour,MF,sct Scotland,23-027,2001,2.0,0,2,0,0.0,0.98,0.0,0.0,,20.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
149,145,Olivier Giroud,FW,fr France,37-282,1986,0.5,0,2,0,0.0,3.83,0.0,0.0,,12.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
150,146,Klaus Gjasula,MF,al Albania,34-207,1989,0.2,1,2,1,50.0,9.47,4.74,0.5,1.0,18.0,0,0,0,0.3,0.3,0.15,0.7,0.7,Matches
151,147,Adam Gnezda Čerin,MF,si Slovenia,24-358,1999,4.3,0,4,1,25.0,0.92,0.23,0.0,0.0,22.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
152,148,Anthony Gordon,FW,eng England,23-135,2001,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
153,149,Jon Gorenc Stanković,MF,si Slovenia,28-176,1996,1.0,0,1,0,0.0,0.96,0.0,0.0,,21.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
154,150,Michael Gregoritsch,FW,at Austria,30-081,1994,1.4,1,4,2,50.0,2.86,1.43,0.25,0.5,8.7,0,0,0,0.9,0.9,0.24,0.1,0.1,Matches
156,151,Antoine Griezmann,"MF,FW",fr France,33-109,1991,4.1,0,11,4,36.4,2.71,0.99,0.0,0.0,19.1,1,0,0,1.9,1.9,0.18,-1.9,-1.9,Matches
157,152,Florian Grillitsch,MF,at Austria,28-336,1995,2.2,0,5,2,40.0,2.32,0.93,0.0,0.0,21.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
158,153,Álex Grimaldo,DF,es Spain,28-292,1995,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
159,154,Pascal Groß,MF,de Germany,33-023,1991,0.5,0,1,0,0.0,2.0,0.0,0.0,,23.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
