Player,Position
Jonas Wind,FW
Yussuf Poulsen,FW
Jacob Bruun Larsen,FW
Jan Oblak,GK
Žan Karničnik,DF
Jure Balkovec,DF
David Brekalo,DF
Jaka Bijol,DF
Erik Janža,DF
Petar Stojanović,DF
Vanja Drkušič,DF
Jon Gorenc Stanković,MF
Benjamin Verbič,MF
Timi Elšnik,MF
Jasmin Kurtić,MF
Adam Gnezda Čerin,MF
Andraž Šporar,FW
Benjamin Šeško,FW
Jan Mlakar,FW
Žan Vipotnik,FW
Žan Celar,FW
Josip Iličić,FW
Mike Maignan,GK
Dayot Upamecano,DF
Jules Koundé,DF
William Saliba,DF
Theo Hernández,DF
Eduardo Camavinga,MF
Aurélien Tchouaméni,MF
N'Golo Kanté,MF
Adrien Rabiot,MF
Youssouf Fofana,MF
Antoine Griezmann,FW
Olivier Giroud,FW
Kylian Mbappé,FW
Ousmane Dembélé,FW
Randal Kolo Muani,FW
Marcus Thuram,FW
Kingsley Coman,FW
Bradley Barcola,FW
Giorgi Mamardashvili,GK
Otar Kakabadze,DF
Lasha Dvali,DF
Guram Kashia,DF
Solomon Kvirkvelia,DF
Luka Lochoshvili,DF
Giorgi Kochorashvili,MF
Zuriko Davitashvili,MF
Giorgi Chakvetadze,MF
Otar Kiteishvili,MF
Saba Lobzhanidze,MF
Heorhii Tsitaishvili,MF
Sandro Altunashvili,MF
Anzor Mekvabishvili,MF
Khvicha Kvaratskhelia,FW
Budu Zivzivadze,FW
Giorgi Kvilitaia,FW
Georges Mikautadze,FW
Angus Gunn,GK
Anthony Ralston,DF
Andrew Robertson,DF
Grant Hanley,DF
Kieran Tierney,DF
Jack Hendry,DF
Ryan Porteous,DF
Scott McKenna,DF
Scott McTominay,MF
John McGinn,MF
Callum McGregor,MF
Ryan Christie,MF
Billy Gilmour,MF
Stuart Armstrong,MF
Kenny McLean,MF
Lawrence Shankland,FW
Che Adams,FW
Lewis Morgan,FW
Thomas Strakosha,GK
Iván Balliu,DF
Mario Mitaj,DF
Elseid Hysaj,DF
Arlind Ajeti,DF
Berat Djimsiti,DF
Klaus Gjasula,MF
Nedim Bajrami,MF
Qazim Laçi,MF
Medon Berisha,MF
Ernest Muçi,MF
Ylber Ramadani,MF
Kristjan Asllani,MF
Rey Manaj,FW
Jasir Asani,FW
Armando Broja,FW
Taulant Seferi,FW
Mirlind Daku,FW
Arbër Hoxha,FW
Florin Niță,GK
Andrei Ratiu,DF
Radu Drăgușin,DF
Adrian Rus,DF
Nicușor Bancu,DF
Andrei Burcă,DF
Bogdan Racovitan,DF
Marius Marin,MF
Nicolae Stanciu,MF
Valentin Mihaila,MF
Ianis Hagi,MF
Florinel Coman,MF
Răzvan Marin,MF
Dennis Man,MF
Darius Olaru,MF
Deian Sorescu,MF
Denis Alibec,FW
George Pușcaș,FW
Denis Drăguș,FW
Diogo Costa,GK
Nélson Semedo,DF
Pepe,DF
Rúben Dias,DF
Diogo Dalot,DF
Danilo Pereira,DF
Gonçalo Inácio,DF
Nuno Mendes,DF
João Cancelo,DF
António Silva,DF
João Palhinha,MF
Bruno Fernandes,MF
João Neves,MF
Matheus Nunes,MF
Rúben Neves,MF
Vitinha,MF
Cristiano Ronaldo,FW
Gonçalo Ramos,FW
Bernardo Silva,FW
João Félix,FW
Rafael Leão,FW
Diogo Jota,FW
Pedro Neto,FW
Francisco Conceição,FW
Patrick Pentz,GK
Maximilian Wöber,DF
Gernot Trauner,DF
Kevin Danso,DF
Stefan Posch,DF
Leopold Querfeld,DF
Philipp Lienhart,DF
Phillipp Mwene,DF
Nicolas Seiwald,MF
Alexander Prass,MF
Marcel Sabitzer,MF
Florian Grillitsch,MF
Romano Schmid,MF
Christoph Baumgartner,MF
Konrad Laimer,MF
Patrick Wimmer,MF
Marko Arnautović,FW
Michael Gregoritsch,FW
Andreas Weimann,FW
David Raya,GK
Unai Simón,GK
Dani Carvajal,DF
Robin Le Normand,DF
Nacho,DF
Daniel Vivian,DF
Álex Grimaldo,DF
Aymeric Laporte,DF
Jesús Navas,DF
Marc Cucurella,DF
Mikel Merino,MF
Fabián Ruiz Peña,MF
Alex Baena,MF
Rodri,MF
Martín Zubimendi,MF
Pedri,MF
Fermin López,MF
Álvaro Morata,FW
Joselu,FW
Dani Olmo,FW
Ferrán Torres,FW
Nico Williams,FW
Lamine Yamal,FW
Mikel Oyarzabal,FW
Ayoze Pérez,FW
Jindřich Staněk,GK
Matej Kovar,GK
Tomáš Holeš,DF
Robin Hranáč,DF
Vladimír Coufal,DF
David Doudera,DF
David Jurásek,DF
Ladislav Krejčí,DF
Antonín Barák,MF
Petr Ševčík,MF
Lukáš Provod,MF
Ondřej Lingr,MF
Tomáš Souček,MF
Pavel Šulc,MF
Matěj Jurásek,MF
Adam Hložek,FW
Patrik Schick,FW
Jan Kuchta,FW
Mojmir Chytil,FW
Václav Černý,FW
Tomáš Chorý,FW
Manuel Neuer,GK
Antonio Rüdiger,DF
David Raum,DF
Jonathan Tah,DF
Joshua Kimmich,DF
Nico Schlotterbeck,DF
Waldemar Anton,DF
Maximilian Mittelstädt,DF
Benjamin Henrichs,DF
Pascal Groß,MF
Toni Kroos,MF
Jamal Musiala,MF
Chris Führich,MF
Florian Wirtz,MF
Leroy Sané,MF
İlkay Gündoğan,MF
Robert Andrich,MF
Emre Can,MF
Kai Havertz,FW
Niclas Füllkrug,FW
Thomas Müller,FW
Maximilian Beier,FW
Deniz Undav,FW
Jordan Pickford,GK
Kyle Walker,DF
John Stones,DF
Marc Guéhi,DF
Kieran Trippier,DF
Declan Rice,MF
Conor Gallagher,MF
Jude Bellingham,MF
Trent Alexander-Arnold,MF
Kobbie Mainoo,MF
Eberechi Eze,MF
Cole Palmer,MF
Bukayo Saka,FW
Harry Kane,FW
Phil Foden,FW
Jarrod Bowen,FW
Ollie Watkins,FW
Anthony Gordon,FW
