,Player,Position,BTklInt,CTkl,BClr,BSh,BPass,TCmp,LCmp,LAtt,LPrgP,LFTP,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,PrgC,PrgP,90s,ADWonp,ADWon
141,Flavius Daniliuc,centre-back,0.049493813273340834,0.06377952755905512,0.060629921259842526,0.05511811023622048,0.07874015748031497,0.03666354879220686,0.031496062992125984,0.037843483850233006,0.054625984251968504,0.056102362204724414,0.06299212598425197,0.048487360132615,0.030811365970558027,0.11515748031496063,0.04095756826715806,0.06299212598425197,0.21850393700787402,0.0,0.004631773969430293,0.047244094488188976
142,Kevin Danso,centre-back,0.027855153203342618,0.03175487465181059,0.0690807799442897,0.09470752089136492,0.03899721448467967,0.05319698636390546,0.04006856653096208,0.04382923085668808,0.08513231197771587,0.10933147632311979,0.09470752089136492,0.04556516639788887,0.05689717815187113,0.10967966573816157,0.053888190062954644,0.09470752089136492,0.3405292479108635,0.0,0.004007232566094903,0.06852367688022284
143,Dante,centre-back,0.04554301284546516,0.058855585831062665,0.06811989100817438,0.08446866485013624,0.057220708446866476,0.058798921106264716,0.0538671138126179,0.06472779847633875,0.08174386920980925,0.10490463215258855,0.03269754768392371,0.06139394808547253,0.053488923113375185,0.07663487738419618,0.05870562370551167,0.03269754768392371,0.326975476839237,0.0,0.003953625046748945,0.060490463215258854
144,Márton Dárdai,centre-back,0.03809523809523809,0.05142857142857142,0.08571428571428572,0.08571428571428572,0.047619047619047616,0.019421484049095585,0.02783882783882784,0.06705539358600583,0.0375,0.045238095238095244,0.01904761904761905,0.03864661654135338,0.026956521739130435,0.06428571428571428,0.03324118308635475,0.01904761904761905,0.15,0.0,0.009523809523809525,0.04857142857142857
145,Achraf Dari,centre-back,0.03913894324853229,0.057534246575342465,0.08904109589041097,0.0684931506849315,0.04109589041095891,0.03400161820171767,0.05584826132771339,0.07674028515515796,0.04238013698630137,0.042808219178082196,0.020547945205479454,0.05191059841384283,0.03180464562239428,0.0410958904109589,0.0417187586384528,0.020547945205479454,0.1695205479452055,0.0,0.008126306013466448,0.07191780821917809
146,Paweł Dawidowicz,centre-back,0.05603788476716653,0.07292817679558011,0.07845303867403314,0.049723756906077346,0.027624309392265192,0.03073019387411937,0.029324266893327667,0.04938550005637613,0.06215469613259667,0.0649171270718232,0.11049723756906077,0.04222157603954638,0.03242853711265913,0.19889502762430938,0.04053103201049285,0.11049723756906077,0.2486187845303867,0.0,0.006787687450670876,0.0712707182320442
147,Craig Dawson,centre-back,0.02230259192284509,0.010126582278481011,0.08438818565400844,0.12236286919831224,0.046413502109704644,0.03925938176470334,0.0551768906199286,0.0702660811159907,0.0490506329113924,0.08016877637130802,0.021097046413502112,0.0552964690206529,0.03186571271326362,0.0949367088607595,0.04447877348913269,0.021097046413502112,0.1962025316455696,0.0,0.004451244957574071,0.06075949367088608
148,Koni De Winter,centre-back,0.02506265664160401,0.02631578947368421,0.11403508771929824,0.10526315789473684,0.017543859649122806,0.03375362966390025,0.020917678812415654,0.031149301825993552,0.03618421052631579,0.03289473684210526,0.017543859649122806,0.05609418282548476,0.02368421052631579,0.019736842105263157,0.03877223287555874,0.017543859649122806,0.14473684210526316,0.0,0.010396361273554254,0.042105263157894736
149,Merih Demiral,centre-back,0.05430242272347535,0.09122807017543859,0.06666666666666667,0.04093567251461988,0.09941520467836257,0.029712982357553624,0.0242914979757085,0.03043322592194772,0.02850877192982456,0.02046783625730994,0.017543859649122806,0.04570637119113573,0.024332570556826843,0.06140350877192982,0.03501859015369154,0.017543859649122806,0.11403508771929824,0.0,0.007508483142011407,0.09122807017543859
150,Sepp van den Berg,centre-back,0.03339517625231911,0.007792207792207791,0.08571428571428572,0.06493506493506494,0.03896103896103897,0.03264542068804817,0.03496503496503496,0.04850251789027299,0.02922077922077922,0.051948051948051945,0.012987012987012986,0.05126452494873547,0.025748164878599662,0.09253246753246754,0.03917317647287477,0.012987012987012986,0.11688311688311688,0.0,0.012539184952978058,0.05454545454545454
151,Kastriot Dermaku,centre-back,0.0,0.0,0.0,0.0,0.0,0.0022126557890300436,0.0,0.0,0.0,0.0,0.0,0.0,0.006521739130434782,0.0,0.0035343846270189374,0.0,0.0,0.0,0.0,0.0
152,Mouctar Diakhaby,centre-back,0.026260504201680673,0.028676470588235293,0.08161764705882353,0.0625,0.04779411764705883,0.03239495418855121,0.037047511312217195,0.04974489795918367,0.059283088235294115,0.0698529411764706,0.0698529411764706,0.04127321981424149,0.031601662404092075,0.12408088235294118,0.038428004238639325,0.0698529411764706,0.23713235294117646,0.0,0.004010695187165776,0.052941176470588235
153,Bafodé Diakité,centre-back,0.03438256658595641,0.06508474576271187,0.03932203389830509,0.027118644067796613,0.09830508474576272,0.053194153465907286,0.020860495436766623,0.024489795918367346,0.11377118644067796,0.11779661016949153,0.14576271186440679,0.029170383586083853,0.055357406042741336,0.5224576271186441,0.05344425080314964,0.14576271186440679,0.45508474576271185,0.0,0.003389830508474576,0.04169491525423729
154,Abdou Diallo,centre-back,0.03773584905660378,0.011320754716981133,0.0830188679245283,0.09433962264150944,0.05660377358490566,0.0553462148846329,0.05224963715529754,0.0693107431651906,0.08490566037735849,0.11792452830188681,0.20754716981132076,0.06047666335650447,0.05315832649712879,0.19103773584905662,0.06021025172802901,0.20754716981132076,0.33962264150943394,0.0,0.01968826907301066,0.06792452830188679
155,Rúben Dias,centre-back,0.025096525096525095,0.029729729729729728,0.05045045045045045,0.058558558558558564,0.03603603603603604,0.07889622417890224,0.04954954954954956,0.055984555984555984,0.08277027027027027,0.15202702702702706,0.06306306306306307,0.06266002844950214,0.07520564042303172,0.1402027027027027,0.0726011827322893,0.06306306306306307,0.3310810810810811,0.0,0.005505505505505506,0.059459459459459456
156,Eric Dier,centre-back,0.029666818804198997,0.017252396166134186,0.07156549520766774,0.07667731629392971,0.054313099041533544,0.049550678574705534,0.043991152617350704,0.06200691139075438,0.05211661341853035,0.06070287539936103,0.028753993610223644,0.06724398856566335,0.036088345603556046,0.10063897763578274,0.052325204789552514,0.028753993610223644,0.2084664536741214,0.0,0.004445061814140852,0.07667731629392971
157,Federico Dimarco,centre-back,0.030434782608695653,0.02347826086956522,0.017391304347826087,0.017391304347826087,0.04782608695652174,0.03650325779370535,0.0431438127090301,0.07133984028393967,0.07173913043478261,0.07282608695652175,0.1956521739130435,0.021418764302059495,0.03130434782608695,0.9782608695652173,0.04542701783009134,0.1956521739130435,0.28695652173913044,0.0,0.0025575447570332483,0.006521739130434782
158,Sinaly Diomande,centre-back,0.059907834101382486,0.08571428571428572,0.06912442396313365,0.0599078341013825,0.0599078341013825,0.05260320524683607,0.03580290677064871,0.04542462146148782,0.09331797235023041,0.11059907834101385,0.04608294930875576,0.05042444821731749,0.05421759166499699,0.2073732718894009,0.056793916080778745,0.04608294930875576,0.37327188940092165,0.0,0.006371963361210673,0.07741935483870967
159,Issa Diop,centre-back,0.040178571428571425,0.04553571428571429,0.07678571428571429,0.07589285714285715,0.03125,0.049293412349586715,0.038461538461538464,0.05165816326530612,0.05859375,0.07700892857142859,0.058035714285714295,0.05836466165413534,0.04437111801242236,0.046875,0.051636216525408785,0.058035714285714295,0.234375,0.0,0.0051691729323308285,0.044196428571428574
160,Axel Disasi,centre-back,0.033204633204633204,0.02108108108108108,0.06054054054054055,0.08378378378378379,0.05405405405405406,0.03999134301982155,0.042203742203742206,0.05460562603419746,0.1043918918918919,0.14256756756756758,0.17297297297297298,0.0355049786628734,0.04674500587544066,0.16317567567567567,0.0446041147138876,0.17297297297297298,0.4175675675675676,0.0,0.003799451625538582,0.07864864864864864
161,Tiago Djaló,centre-back,0.034438775510204085,0.03482142857142857,0.053571428571428575,0.04910714285714286,0.026785714285714288,0.06004893001212767,0.040865384615384616,0.04154518950437318,0.05859375,0.08035714285714286,0.04017857142857143,0.053782894736842106,0.05683229813664596,0.09542410714285714,0.05723843791116504,0.04017857142857143,0.234375,0.0,0.00423728813559322,0.0375
162,Djené,centre-back,0.03752260397830018,0.04177215189873417,0.05126582278481012,0.03164556962025316,0.04746835443037975,0.02537285336377791,0.023369036027263874,0.03991216739860501,0.04568829113924051,0.056962025316455694,0.03481012658227848,0.02993004663557628,0.029554210236653822,0.14240506329113922,0.032291313259272744,0.03481012658227848,0.18275316455696203,0.0,0.00404148238523715,0.05031645569620252
