,Player,Position,90s,xAG,NPxG,LPPA,LPrgP,LKP,LxA,LFTP,CaCPA,Att_Pen,Mid_3rd,Att_3rd,Live,npxG/Sh,SSh,SSoT,ADWon,Off
34,Yanis Begraoui,centre-forward,0.7,0.2571428571428572,0.0,0.28571428571428575,0.4285714285714286,0.28571428571428575,0.0,0.14285714285714288,0.0,0.12244897959183672,0.5238095238095238,0.31428571428571433,0.5028571428571429,0.0,0.0,0.0,0.0,0.28571428571428575
35,Kevin Behrens,centre-forward,17.1,0.045614035087719294,0.1816305469556244,0.30409356725146197,0.41520467836257313,0.12280701754385964,0.0935672514619883,0.18128654970760233,0.03508771929824561,0.20802005012531322,0.6081871345029239,0.3824561403508772,0.4828070175438596,0.1816305469556244,0.20467836257309943,0.08187134502923976,0.4116959064327485,0.14035087719298245
36,Andrea Belotti,centre-forward,12.7,0.07559055118110238,0.13756368689207973,0.07874015748031497,0.10236220472440945,0.11023622047244096,0.05511811023622047,0.04724409448818898,0.08661417322834647,0.17547806524184473,0.4304461942257218,0.3307086614173229,0.3477165354330709,0.13756368689207973,0.14960629921259844,0.07086614173228348,0.11338582677165356,0.11023622047244096
37,Wissam Ben Yedder,centre-forward,23.5,0.09702127659574467,0.3496871088861077,0.25531914893617025,0.3191489361702128,0.10638297872340426,0.1574468085106383,0.13617021276595745,0.11063829787234043,0.2753799392097264,0.46099290780141844,0.3897872340425532,0.37991489361702124,0.3496871088861077,0.28085106382978725,0.15319148936170213,0.025531914893617023,0.1872340425531915
38,Karim Benzema,centre-forward,22.6,0.1539823008849557,0.42660072878709016,0.45132743362831856,0.6106194690265486,0.21238938053097345,0.24336283185840707,0.3141592920353982,0.13716814159292035,0.3318584070796459,0.6740412979351031,0.6867256637168141,0.743362831858407,0.42660072878709016,0.4380530973451327,0.1592920353982301,0.024778761061946902,0.19469026548672566
39,Mergim Berisha,centre-forward,18.7,0.08663101604278076,0.1730103806228374,0.10695187165775402,0.14973262032085563,0.10695187165775402,0.1497326203208556,0.10695187165775402,0.05882352941176471,0.18563789152024446,0.32798573975044565,0.3443850267379679,0.3080213903743316,0.1730103806228374,0.27272727272727276,0.06951871657754011,0.08342245989304813,0.17112299465240643
40,Beto,centre-forward,23.7,0.06582278481012659,0.2757508066517747,0.03375527426160337,0.05485232067510548,0.09704641350210971,0.08016877637130801,0.037974683544303806,0.05907172995780591,0.23508137432188064,0.3853727144866385,0.28354430379746837,0.279493670886076,0.2757508066517747,0.25316455696202533,0.08438818565400845,0.11814345991561181,0.07594936708860761
41,El Bilal Touré,centre-forward,15.0,0.055999999999999994,0.27176470588235296,0.05333333333333334,0.1,0.10666666666666667,0.04666666666666666,0.05333333333333334,0.06,0.15999999999999998,0.46444444444444444,0.24666666666666667,0.3050666666666667,0.27176470588235296,0.2,0.1,0.12533333333333332,0.17333333333333334
42,Myron Boadu,centre-forward,3.3,0.05454545454545454,0.5098039215686276,0.18181818181818185,0.09090909090909093,0.12121212121212122,0.15151515151515152,0.09090909090909093,0.09090909090909093,0.29870129870129863,0.3939393939393939,0.3212121212121212,0.3151515151515152,0.5098039215686276,0.21212121212121213,0.15151515151515152,0.13333333333333333,0.30303030303030304
43,Federico Bonazzoli,centre-forward,12.4,0.05322580645161291,0.12523719165085392,0.0967741935483871,0.3467741935483871,0.06451612903225806,0.0564516129032258,0.24193548387096775,0.024193548387096774,0.10714285714285712,0.7231182795698924,0.30806451612903224,0.46838709677419355,0.12523719165085392,0.25806451612903225,0.056451612903225805,0.019354838709677417,0.11290322580645161
44,Rafael Borré,centre-forward,12.0,0.09499999999999999,0.17794117647058824,0.13333333333333333,0.2833333333333334,0.125,0.15,0.13333333333333333,0.125,0.23928571428571424,0.7222222222222222,0.43333333333333335,0.6,0.17794117647058824,0.2,0.05833333333333334,0.08333333333333334,0.31666666666666665
45,Erik Botheim,centre-forward,9.6,0.11249999999999999,0.040441176470588244,0.08333333333333334,0.21875,0.09375,0.07291666666666667,0.10416666666666669,0.03125,0.10267857142857142,0.5069444444444444,0.24583333333333338,0.33999999999999997,0.040441176470588244,0.07291666666666667,0.010416666666666668,0.08333333333333334,0.0625
