,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,BTklInt,CTkl%,BClr,ADWon,ADWonp
175,Douglas Luiz,defensive midfield,32.5,0.2704072398190045,0.24083916083916085,0.25973789173789175,0.20494544657053562,0.26757557617479794,0.34076923076923077,0.31018315018315024,0.07384615384615385,0.1476923076923077,0.08076923076923076,0.17384615384615387,0.0014652014652014652,0.08307692307692309,0.07692307692307693,0.0016366612111292963
176,Soungoutou Magassa,defensive midfield,0.9,0.1764705882352941,0.21212121212121213,0.19012345679012344,0.16631028747921117,0.257998270644185,0.1388888888888889,0.2486772486772487,0.11111111111111112,0.0,0.08333333333333333,0.2777777777777778,0.05555555555555556,0.11111111111111112,0.22222222222222224,0.07407407407407407
177,Yohann Magnin,defensive midfield,26.7,0.24697069839171623,0.20973782771535585,0.2584824524899431,0.2008804034159012,0.2802540112796747,0.21161048689138579,0.2930265739254504,0.02621722846441948,0.05243445692883896,0.15730337078651688,0.21348314606741572,0.001907992368030528,0.17228464419475656,0.10112359550561799,0.0013665350744002428
178,Mickael Malsa,defensive midfield,0.8,0.09558823529411764,0.23863636363636367,0.3564814814814815,0.1870990734141126,0.16853112840466924,0.03125,0.18452380952380953,0.125,0.0,0.0,0.25,0.03125,0.375,0.125,0.0625
179,Rolando Mandragora,defensive midfield,21.7,0.21415017619951207,0.3372434017595309,0.3732377538829152,0.10059089968500677,0.23126647420610014,0.41013824884792627,0.26113671274961603,0.02304147465437788,0.08294930875576038,0.20391705069124424,0.1336405529953917,0.0020382842963488123,0.09677419354838711,0.16129032258064518,0.002780867630700779
180,Vincent Marchetti,defensive midfield,27.2,0.1810121107266436,0.2503342245989305,0.29986383442265796,0.11647834472349167,0.2313172350652323,0.2830882352941177,0.23967086834733897,0.16544117647058826,0.24264705882352944,0.15992647058823528,0.1360294117647059,0.001351643598615917,0.11397058823529412,0.01838235294117647,0.0010212418300653598
181,José Mari,defensive midfield,4.4,0.2245989304812834,0.4628099173553719,0.2722222222222222,0.23245642454480653,0.26045719844357973,0.16477272727272727,0.2813852813852814,0.06818181818181818,0.11363636363636363,0.06818181818181818,0.23863636363636365,0.014204545454545454,0.20454545454545456,0.11363636363636363,0.00946969696969697
182,Eric Martel,defensive midfield,22.4,0.18251050420168066,0.14204545454545456,0.18333333333333335,0.18542854597291517,0.22102991245136186,0.2377232142857143,0.25425170068027214,0.03125,0.07589285714285715,0.15401785714285715,0.2209821428571429,0.0022321428571428575,0.21875,0.25446428571428575,0.002356150793650794
183,Jonas Martin,defensive midfield,3.1,0.36622390891840606,0.3900293255131965,0.36798088410991636,0.22532361529441516,0.4300866072549265,0.2338709677419355,0.402457757296467,0.0,0.12903225806451613,0.0967741935483871,0.25806451612903225,0.01152073732718894,0.0967741935483871,0.25806451612903225,0.02346041055718475
184,Omar Mascarell,defensive midfield,27.2,0.23594290657439446,0.2362967914438503,0.24324618736383444,0.23800102721059913,0.24288309681849393,0.13786764705882354,0.26943277310924374,0.07720588235294118,0.09926470588235295,0.016544117647058824,0.18014705882352944,0.0017807904411764705,0.1985294117647059,0.09926470588235295,0.002068014705882353
185,Pape Matar Sarr,defensive midfield,2.4,0.34558823529411764,0.23863636363636367,0.3089506172839506,0.33781777144214775,0.3245784695201038,0.21875,0.37698412698412703,0.04166666666666667,0.04166666666666667,0.0,0.27083333333333337,0.020833333333333336,0.25,0.125,0.015625
186,Nemanja Matić,defensive midfield,20.6,0.31667618503712164,0.4201235657546337,0.37101761956130885,0.1961815527060598,0.3425163386347323,0.2803398058252427,0.34096162736939434,0.11650485436893204,0.24271844660194175,0.06189320388349514,0.17475728155339806,0.002794939688143572,0.10194174757281554,0.09223300970873786,0.002794939688143572
187,Azor Matusiwa,defensive midfield,27.6,0.2932651321398124,0.34123847167325433,0.4401771336553945,0.24449419979960121,0.30883804206845994,0.23550724637681159,0.33040027605245,0.05797101449275363,0.05434782608695652,0.04891304347826087,0.20289855072463767,0.0021382751247327153,0.18840579710144928,0.11594202898550726,0.0017304780445598093
188,Scott McTominay,defensive midfield,12.9,0.16187870497036022,0.15785764622973927,0.1459086993970715,0.19821865658859475,0.16664404427955237,0.2558139534883721,0.22812846068660025,0.10077519379844962,0.15503875968992248,0.11046511627906976,0.17829457364341086,0.0045806906272022555,0.3488372093023256,0.2635658914728682,0.004623963008295933
189,Bamo Meïté,defensive midfield,16.7,0.29517435716801693,0.09526401741970605,0.10929252605899313,0.4585981280489626,0.21170111139588527,0.03293413173652695,0.31565440547476475,0.04790419161676647,0.05988023952095809,0.004491017964071856,0.10179640718562875,0.0026197604790419164,0.41916167664670667,0.17964071856287428,0.0027637033625057578
190,Thiago Mendes,defensive midfield,22.9,0.3711790393013101,0.4335053592695515,0.423419052240013,0.27343154251494767,0.40068050906495845,0.20524017467248912,0.39779579954252453,0.026200873362445417,0.04366812227074236,0.06550218340611354,0.2074235807860262,0.003275109170305677,0.22270742358078605,0.14847161572052403,0.002749474365194889
192,Batista Mendy,defensive midfield,31.8,0.2282648908620052,0.31818181818181823,0.3497554157931516,0.16238787503866375,0.24331608056187745,0.21776729559748428,0.25456723569931117,0.11949685534591195,0.0849056603773585,0.11556603773584904,0.1430817610062893,0.002195324552035125,0.09119496855345913,0.0849056603773585,0.0021226415094339622
193,Nampalys Mendy,defensive midfield,8.4,0.2535014005602241,0.15151515151515152,0.19012345679012344,0.20640294606794962,0.2764267185473411,0.13392857142857142,0.2777777777777778,0.08333333333333333,0.023809523809523808,0.03571428571428571,0.15476190476190477,0.006349206349206349,0.023809523809523808,0.047619047619047616,0.004761904761904762
194,Luka Milivojević,defensive midfield,5.7,0.21362229102167182,0.189792663476874,0.20012995451591942,0.25603031098773305,0.20105467950030717,0.24122807017543857,0.2681704260651629,0.017543859649122806,0.03508771929824561,0.02631578947368421,0.21929824561403508,0.012280701754385965,0.17543859649122806,0.10526315789473684,0.007017543859649123
195,Clinton Mola,defensive midfield,0.2,0.08823529411764705,0.0,0.0,0.5612972202423377,0.14980544747081712,0.25,0.33333333333333337,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.25
196,Diego Moreno,defensive midfield,7.1,0.17895608947804476,0.15236875800256083,0.11246739697443923,0.23541104072761587,0.1856743574286184,0.2852112676056338,0.26089872568745814,0.04225352112676057,0.12676056338028172,0.20070422535211266,0.06338028169014086,0.005281690140845071,0.29577464788732394,0.07042253521126761,0.005417118093174432
197,Nikola Moro,defensive midfield,13.6,0.2781141868512111,0.39772727272727276,0.4277777777777778,0.19260198733805708,0.30236467154955365,0.33272058823529416,0.32598039215686275,0.1323529411764706,0.17647058823529413,0.19301470588235295,0.14705882352941177,0.0028594771241830072,0.1323529411764706,0.14705882352941177,0.0047438330170777995
198,Marshall Munetsi,defensive midfield,30.0,0.12764705882352942,0.15060606060606063,0.18061728395061727,0.10643858398669516,0.1602918287937743,0.30333333333333334,0.1973015873015873,0.06666666666666667,0.11000000000000001,0.2175,0.13999999999999999,0.0013888888888888892,0.1366666666666667,0.19333333333333336,0.001806853582554517
199,Wilfred Ndidi,defensive midfield,18.7,0.23718150361748977,0.16674769081186197,0.15555555555555559,0.2708100670450257,0.2611581597619592,0.12299465240641712,0.28749681690858164,0.05347593582887701,0.05882352941176471,0.028074866310160426,0.2647058823529412,0.0021141649048625794,0.25668449197860965,0.13368983957219252,0.002844464671748777
200,Rúben Neves,defensive midfield,33.5,0.3037752414398595,0.3837177747625509,0.3711663902708679,0.30159253624961435,0.2922324176781462,0.29402985074626864,0.35294953802416495,0.056716417910447764,0.08358208955223881,0.04029850746268657,0.19253731343283584,0.001290843081887858,0.2537313432835821,0.0746268656716418,0.0014925373134328358
201,Christian Nørgaard,defensive midfield,19.6,0.18247298919567825,0.2207792207792208,0.21243386243386242,0.21510029528561242,0.21171484157865478,0.21045918367346939,0.25510204081632654,0.04081632653061224,0.02040816326530612,0.03061224489795918,0.2193877551020408,0.001913265306122449,0.20918367346938777,0.09183673469387754,0.002416756176154672
202,Amadou Onana,defensive midfield,27.6,0.17391304347826086,0.17753623188405798,0.16325818572195383,0.12970394702862392,0.20218307674956293,0.26721014492753625,0.22601794340924775,0.06521739130434782,0.09782608695652173,0.13315217391304346,0.19746376811594202,0.002587991718426501,0.14130434782608695,0.21739130434782608,0.0018903591682419658
203,Jean Onana,defensive midfield,9.0,0.269281045751634,0.26868686868686875,0.18378600823045269,0.1912568306010929,0.310430177258971,0.21111111111111114,0.30846560846560844,0.07777777777777778,0.13333333333333333,0.15,0.25555555555555554,0.00505050505050505,0.22222222222222224,0.1,0.00625
204,Zinédine Ould Khaled,defensive midfield,0.6,0.33333333333333337,0.31818181818181823,0.4753086419753087,0.0831551437396056,0.3869974059662776,0.33333333333333337,0.34126984126984133,0.0,0.0,0.25,0.25,0.0,0.0,0.16666666666666669,0.05555555555555555
205,Salih Özcan,defensive midfield,17.5,0.2964705882352941,0.27272727272727276,0.264,0.20384889522451885,0.3308560311284046,0.16428571428571428,0.31863945578231295,0.03428571428571429,0.03428571428571429,0.09857142857142857,0.1685714285714286,0.002344322344322344,0.10857142857142857,0.11428571428571428,0.0029304029304029304
207,João Palhinha,defensive midfield,34.5,0.17919863597612956,0.21765480895915681,0.16697799248523887,0.15654859669238794,0.22926746743359835,0.17898550724637682,0.23657694962042788,0.04057971014492754,0.02318840579710145,0.03913043478260869,0.27971014492753626,0.001535799264546831,0.17681159420289858,0.20579710144927535,0.0018708827404479579
208,Flavio Paoletti,defensive midfield,3.2,0.2536764705882353,0.13920454545454547,0.1425925925925926,0.20658856022808267,0.2621595330739299,0.2109375,0.2842261904761905,0.0625,0.21875,0.1875,0.109375,0.00625,0.28125,0.03125,0.004464285714285714
209,Antonios Papadopoulos,defensive midfield,0.1,1.0,0.6363636363636365,0.5703703703703704,0.9978617248752673,0.8988326848249026,0.25,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0
210,Leandro Paredes,defensive midfield,11.5,0.3831202046035806,0.3984189723320159,0.3868599033816425,0.24512690198022866,0.35888174589747923,0.3673913043478261,0.39047619047619053,0.034782608695652174,0.10434782608695653,0.07173913043478261,0.16521739130434784,0.004158790170132326,0.19130434782608696,0.034782608695652174,0.004968944099378881
211,Thomas Partey,defensive midfield,27.6,0.368925831202046,0.532608695652174,0.4773752012882448,0.18890679393019097,0.3815696723622624,0.4221014492753623,0.3911318150448585,0.12681159420289853,0.12318840579710144,0.0951086956521739,0.17753623188405798,0.0017419175027870682,0.14855072463768115,0.13405797101449277,0.0021622253389434313
212,Danilo Pereira,defensive midfield,26.8,0.4280070237050044,0.474898236092266,0.3277501381978994,0.323467303539324,0.40302137174051916,0.15111940298507465,0.4045842217484009,0.03731343283582089,0.09701492537313433,0.030783582089552234,0.12686567164179105,0.002726750861079219,0.2201492537313433,0.12686567164179105,0.00226545842217484
213,Máximo Perrone,defensive midfield,0.2,0.5294117647058824,0.0,0.5703703703703704,0.2494654312188168,0.4494163424124513,0.75,0.5238095238095238,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0
214,Kalvin Phillips,defensive midfield,3.3,0.5151515151515151,0.6170798898071627,0.31111111111111117,0.24190587269703448,0.5515564202334631,0.37121212121212127,0.510822510822511,0.030303030303030304,0.030303030303030304,0.045454545454545456,0.16666666666666669,0.006734006734006735,0.30303030303030304,0.15151515151515152,0.021645021645021648
215,Charles Pickel,defensive midfield,27.6,0.16112531969309463,0.18445322793148883,0.21492216854535695,0.12202113483529083,0.19404147634354027,0.2608695652173913,0.21756383712905453,0.014492753623188408,0.06521739130434782,0.16576086956521738,0.1431159420289855,0.0020340706839562673,0.13043478260869565,0.17028985507246377,0.0013844703664427948
216,Łukasz Poręba,defensive midfield,2.9,0.23529411764705882,0.2633228840125392,0.39335887611749687,0.08602256248924718,0.24020528646182746,0.4913793103448276,0.2791461412151068,0.03448275862068966,0.10344827586206898,0.46551724137931033,0.15517241379310345,0.022988505747126436,0.06896551724137932,0.10344827586206898,0.02586206896551724
217,Mehdi Puch Herrantz,defensive midfield,0.5,0.2588235294117647,0.2545454545454546,0.4562962962962963,0.17462580185317175,0.2546692607003891,0.65,0.3523809523809524,0.2,0.6000000000000001,0.15,0.5,0.1,0.0,0.0,0.0
218,Ivan Radovanović,defensive midfield,7.5,0.16784313725490196,0.16121212121212122,0.12167901234567902,0.21620337372297455,0.18176394293125808,0.04666666666666667,0.2050793650793651,0.0,0.02666666666666667,0.02,0.12666666666666668,0.005333333333333333,0.12,0.10666666666666667,0.005333333333333333
219,Rayan Raveloson,defensive midfield,27.0,0.19978213507625273,0.1932659932659933,0.2112482853223594,0.22313296903460836,0.1905858192823173,0.24722222222222223,0.2504409171075838,0.02962962962962963,0.13333333333333333,0.16944444444444443,0.14259259259259258,0.002581369248035915,0.25925925925925924,0.10740740740740742,0.0021060275962236745
220,Samuele Ricci,defensive midfield,23.0,0.2644501278772379,0.2656126482213439,0.25790660225442835,0.12635966407387894,0.2930976146168161,0.28043478260869564,0.28488612836438926,0.034782608695652174,0.18695652173913047,0.10108695652173913,0.10652173913043479,0.003402646502835539,0.12608695652173915,0.04782608695652174,0.0018394648829431438
221,Declan Rice,defensive midfield,36.4,0.29831932773109243,0.4073426573426574,0.3760683760683761,0.22959043807226273,0.29199715653995806,0.2973901098901099,0.3236525379382522,0.09615384615384616,0.2417582417582418,0.07623626373626373,0.19505494505494508,0.0017032967032967034,0.15934065934065936,0.10164835164835165,0.001613465899180185
222,Jaïro Riedewald,defensive midfield,0.7,0.28571428571428575,0.18181818181818185,0.08148148148148149,0.33856022808268,0.24610894941634243,0.5,0.3673469387755103,0.0,0.14285714285714288,0.10714285714285714,0.14285714285714288,0.0,0.5714285714285715,0.28571428571428575,0.09523809523809523
223,Tomás Rincón,defensive midfield,28.4,0.21085335542667774,0.2599231754161332,0.24501825769431404,0.14537510164335982,0.24475256206499696,0.2279929577464789,0.2510060362173039,0.09507042253521128,0.09507042253521128,0.09242957746478873,0.15140845070422537,0.0016739782960055415,0.06338028169014086,0.12323943661971833,0.0024164595415631044
224,Marc Roca,defensive midfield,25.7,0.2238498512245365,0.3887513264945172,0.38172647355526734,0.16161865485577043,0.2663855622340989,0.3239299610894942,0.29108764128219383,0.06614785992217899,0.09727626459143969,0.08171206225680934,0.17315175097276267,0.001197246333433104,0.0933852140077821,0.07003891050583659,0.002259319693736664
225,Rodri,defensive midfield,32.3,0.4959023857220907,0.5220940050661413,0.4591216603600505,0.27263559510910945,0.4621706761754466,0.45820433436532515,0.4823824266548725,0.07739938080495357,0.23529411764705885,0.08591331269349846,0.15479876160990713,0.0015479876160990713,0.13312693498452013,0.22291021671826627,0.0021433674684448677
226,Rodri,defensive midfield,32.3,0.4959023857220907,0.5220940050661413,0.4591216603600505,0.27263559510910945,0.4621706761754466,0.45820433436532515,0.4823824266548725,0.07739938080495357,0.23529411764705885,0.08591331269349846,0.15479876160990713,0.0015479876160990713,0.13312693498452013,0.006191950464396286,0.0004422821760283061
227,Rodri,defensive midfield,32.3,0.4959023857220907,0.5220940050661413,0.4591216603600505,0.27263559510910945,0.4621706761754466,0.45820433436532515,0.4823824266548725,0.07739938080495357,0.23529411764705885,0.08591331269349846,0.04489164086687307,0.00145692952103442,0.006191950464396286,0.22291021671826627,0.0021433674684448677
