,Player,Position,90s,PSxG,PSxG/SoT,PSxG-GA,LCmp,LAtt,PaAtt,PaThr,PaAvgLen,GKAtt,GKAvgLen,COpp,CStp,SwOPA,SoTA,Saves,Savep,CS,PKsv
80,Tomáš Koubek,goalkeeper,11.0,0.6896551724137931,0.01309090909090909,0.8463949843260189,0.35000000000000003,0.5918762088974854,0.5376623376623376,0.14545454545454545,0.01291121330031836,0.5236363636363636,0.017676767676767676,0.5333333333333333,0.36363636363636365,0.1,0.19696969696969696,0.13636363636363635,0.006293706293636365,0.02727272727272727,0.0
81,Alban Lafont,goalkeeper,37.0,0.51071761416589,0.0028108108108108112,0.8410065237651445,0.2554054054054054,0.4035422656699252,0.3637065637065637,0.18198198198198198,0.0037333052897255232,0.4005405405405405,0.004934934934934935,0.44414414414414416,0.4540540540540541,0.0527027027027027,0.16126126126126125,0.11621621621621621,0.0019477578137837837,0.0891891891891892,0.0
82,Jean-Louis Leca,goalkeeper,1.0,0.5517241379310346,0.16000000000000003,0.8896551724137932,0.45,0.40510638297872337,0.41428571428571426,0.16666666666666666,0.1431906614785992,0.6,0.07555555555555556,0.6666666666666666,0.4,0.0,0.13333333333333333,0.1,0.075,0.0,0.0
83,Benjamin Lecomte,goalkeeper,29.0,0.47443519619500596,0.007586206896551726,0.8450653983353152,0.32413793103448274,0.48093910491562725,0.32857142857142857,0.11149425287356321,0.005434053401314907,0.506896551724138,0.005810983397190293,0.48160919540229885,0.2620689655172414,0.041379310344827586,0.15632183908045977,0.11379310344827585,0.0025101419879310347,0.09310344827586207,0.20689655172413793
84,Jeremías Ledesma,goalkeeper,34.0,0.4776876267748479,0.0025882352941176473,0.8248478701825559,0.3470588235294118,0.6255319148936169,0.346218487394958,0.1323529411764706,0.00513847562371252,0.5029411764705882,0.006982570806100217,0.5833333333333334,0.49411764705882355,0.03823529411764706,0.17549019607843136,0.12745098039215685,0.002136049950588235,0.10588235294117647,0.08823529411764705
85,Bernd Leno,goalkeeper,36.0,0.5555555555555556,0.0030000000000000005,0.8534482758620691,0.17222222222222225,0.31427895981087467,0.4575396825396825,0.17592592592592593,0.00324254215304799,0.4033333333333333,0.003703703703703704,0.42962962962962964,0.3888888888888889,0.06388888888888888,0.17777777777777776,0.13148148148148148,0.002054398148055556,0.06666666666666667,0.08333333333333333
86,Donovan Léon,goalkeeper,2.0,0.3275862068965517,0.026000000000000002,0.8224137931034484,0.47500000000000003,0.8246808510638297,0.39285714285714285,0.13333333333333333,0.09027237354085603,0.72,0.1224074074074074,0.6833333333333333,0.0,0.05,0.18333333333333332,0.15,0.04090909091,0.0,0.0
87,Benjamin Leroy,goalkeeper,31.1,0.5288834682337288,0.0038585209003215433,0.7899988912296264,0.342443729903537,0.48568105630430314,0.30179145613229214,0.082529474812433,0.004816895417068074,0.4090032154340835,0.006204596879838037,0.41693461950696675,0.23151125401929262,0.08681672025723473,0.142550911039657,0.07931404072883172,0.0017890385125401928,0.03858520900321543,0.0
88,Alexandre Letellier,goalkeeper,0.1,0.0,0.0,0.8275862068965518,0.0,0.0,0.42857142857142855,0.0,0.7392996108949417,0.6,0.40740740740740744,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Mateusz Lis,goalkeeper,8.3,0.6813460739509762,0.01349397590361446,0.8325716659742419,0.23493975903614459,0.4427582671109971,0.40447504302925985,0.16465863453815258,0.01650180488490929,0.563855421686747,0.016688978134761265,0.6184738955823293,0.5783132530120482,0.0783132530120482,0.2048192771084337,0.1365461847389558,0.008032128514457832,0.036144578313253004,0.36144578313253006
90,Hugo Lloris,goalkeeper,24.5,0.4771287825475018,0.0047346938775510205,0.81027445460943,0.15714285714285714,0.2574728614850195,0.3142857142857143,0.14829931972789115,0.0049868974827285,0.4555102040816327,0.0039002267573696146,0.4380952380952381,0.326530612244898,0.05918367346938776,0.15918367346938778,0.10748299319727891,0.0027559741844897963,0.0857142857142857,0.0
91,Anthony Lopes,goalkeeper,31.3,0.4560978296794095,0.0034504792332268374,0.842128456538504,0.18210862619808307,0.29305961525389157,0.38247375627567315,0.14270500532481364,0.003965639412737286,0.3507987220447284,0.0037628682996095142,0.3812566560170394,0.2428115015974441,0.039936102236421724,0.13951011714589986,0.10010649627263045,0.0022925151817891373,0.0670926517571885,0.0
92,Diego López,goalkeeper,1.1,0.5329153605015673,0.12,0.6112852664576804,0.09090909090909091,0.2104448742746615,0.2727272727272727,0.1515151515151515,0.10718075698620445,0.43636363636363634,0.11885521885521884,0.3636363636363636,0.0,0.09090909090909091,0.1515151515151515,0.0303030303030303,0.01818181818181818,0.0,0.0
93,Pau López,goalkeeper,32.5,0.35862068965517235,0.002953846153846154,0.8301326259946951,0.17230769230769233,0.2884713584288052,0.4136263736263736,0.13538461538461538,0.0037114636336426222,0.3175384615384615,0.004603988603988604,0.37948717948717947,0.2707692307692308,0.05692307692307692,0.12615384615384614,0.0923076923076923,0.0022514071295384615,0.09230769230769231,0.0
94,Andriy Lunin,goalkeeper,7.0,0.22167487684729067,0.014285714285714285,0.8054187192118227,0.1,0.11161094224924012,0.3877551020408163,0.17142857142857143,0.012951639799888828,0.3171428571428571,0.018835978835978838,0.2571428571428571,0.05714285714285714,0.07857142857142857,0.08571428571428572,0.05714285714285714,0.009523809524285713,0.12857142857142856,0.0
95,Andrey Lunyov,goalkeeper,1.0,0.4827586206896552,0.13999999999999999,0.7655172413793104,0.2,0.28936170212765955,0.5857142857142857,0.23333333333333334,0.1178988326848249,0.18,0.05666666666666667,0.2,0.4,0.05,0.13333333333333333,0.06666666666666667,0.05,0.0,0.0
96,Mike Maignan,goalkeeper,22.0,0.3181818181818182,0.005090909090909091,0.8242946708463951,0.17272727272727273,0.25384912959381045,0.47077922077922074,0.1803030303030303,0.005270604881499823,0.2318181818181818,0.005909090909090909,0.33484848484848484,0.2727272727272727,0.07272727272727274,0.09393939393939395,0.0606060606060606,0.0029325513195454546,0.10909090909090909,0.13636363636363635
97,Giorgi Mamardashvili,goalkeeper,38.0,0.38929219600725956,0.002947368421052632,0.8273139745916517,0.23289473684210527,0.397491601343785,0.3169172932330827,0.12456140350877193,0.003594101986483719,0.3773684210526316,0.005282651072124757,0.40087719298245617,0.368421052631579,0.0618421052631579,0.1298245614035088,0.09210526315789473,0.0018669985776315788,0.05526315789473684,0.0
98,Steve Mandanda,goalkeeper,33.5,0.3335048893463716,0.0033432835820895526,0.8349974266598045,0.24328358208955225,0.36278183550333437,0.435820895522388,0.16517412935323383,0.003658749056275045,0.34388059701492535,0.004588170259812051,0.3800995024875622,0.417910447761194,0.07611940298507464,0.10945273631840796,0.07860696517412935,0.002143826322985075,0.10746268656716416,0.08955223880597014
99,Vito Mannone,goalkeeper,17.9,0.4854555962242343,0.006480446927374302,0.8345212868426123,0.15642458100558662,0.2845120646618329,0.3758978451715882,0.18808193668528866,0.006412625263569768,0.3754189944134078,0.007759155803848542,0.6405959031657356,0.26815642458100564,0.025139664804469275,0.1564245810055866,0.111731843575419,0.003990422984916202,0.08379888268156425,0.0
100,Agustín Marchesín,goalkeeper,19.0,0.37568058076225047,0.0050526315789473685,0.7878402903811254,0.2710526315789474,0.40662933930571105,0.37593984962406013,0.13157894736842105,0.0072291624001638325,0.41368421052631577,0.008362573099415205,0.443859649122807,0.29473684210526313,0.06578947368421054,0.12631578947368421,0.0736842105263158,0.0030701754384210526,0.09473684210526315,0.3157894736842105
101,Federico Marchetti,goalkeeper,0.7,0.7389162561576355,0.2742857142857143,0.7536945812807883,0.14285714285714288,0.16534954407294833,0.20408163265306123,0.09523809523809523,0.13507504168982767,0.6857142857142857,0.17142857142857143,0.38095238095238093,0.0,0.07142857142857144,0.14285714285714285,0.047619047619047616,0.04761904761428572,0.0,0.0
102,Diego Mariño,goalkeeper,0.5,0.9655172413793104,0.22400000000000003,0.703448275862069,0.2,0.17361702127659573,0.08571428571428572,0.06666666666666667,0.27782101167315176,0.6,0.3377777777777778,0.8,0.0,0.0,0.3333333333333333,0.2,0.12,0.0,0.0
103,Emiliano Martínez,goalkeeper,34.9,0.36162434542041305,0.0027507163323782237,0.835292955241577,0.28510028653295133,0.4336279948789855,0.4793286942284077,0.12893982808022925,0.003679216884260756,0.36446991404011464,0.004319218932399449,0.46131805157593125,0.6876790830945559,0.10458452722063039,0.12607449856733524,0.09264565425023878,0.0021055830510028654,0.09455587392550144,0.08595988538681949
104,Jordi Masip,goalkeeper,27.9,0.5660610554937585,0.0038709677419354843,0.8453837597330368,0.23835125448028674,0.4034469610310379,0.36968766001024067,0.14456391875746716,0.005006764012663347,0.513978494623656,0.00556219301739015,0.4731182795698925,0.21505376344086025,0.02508960573476703,0.17323775388291518,0.12066905615292713,0.0024966011616487462,0.08602150537634409,0.3225806451612903
105,Luís Maximiano,goalkeeper,0.1,0.0,0.0,0.8275862068965518,1.0,0.8680851063829786,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Alex McCarthy,goalkeeper,6.0,0.6264367816091955,0.02266666666666667,0.7396551724137932,0.18333333333333335,0.5449645390070921,0.46190476190476193,0.1611111111111111,0.023670557717250323,0.5199999999999999,0.019135802469135803,0.5111111111111111,0.4,0.05833333333333334,0.16666666666666666,0.07777777777777778,0.007777777778333333,0.0,0.0
107,Edouard Mendy,goalkeeper,9.5,0.4319419237749547,0.013894736842105264,0.8047186932849366,0.14210526315789473,0.234535274356103,0.3398496240601504,0.1649122807017544,0.011304525906205202,0.39789473684210525,0.01341130604288499,0.4491228070175438,0.37894736842105264,0.05789473684210527,0.1368421052631579,0.08771929824561404,0.006747638326315789,0.03157894736842105,0.0
108,Alex Meret,goalkeeper,34.0,0.2535496957403651,0.0029411764705882353,0.8306288032454362,0.08235294117647059,0.12340425531914892,0.3079831932773109,0.11862745098039215,0.002986953536278325,0.3494117647058823,0.0029302832244008713,0.3284313725490196,0.12941176470588237,0.057352941176470586,0.08921568627450979,0.06470588235294117,0.002133160956764706,0.1411764705882353,0.08823529411764705
109,Illan Meslier,goalkeeper,34.0,0.5436105476673428,0.0037647058823529417,0.7898580121703855,0.15588235294117647,0.38212765957446804,0.33361344537815124,0.19019607843137254,0.0038567177843900208,0.4270588235294117,0.004738562091503268,0.4235294117647059,0.4,0.09705882352941177,0.15490196078431373,0.09019607843137255,0.001712583767647059,0.04411764705882353,0.0
110,Alexander Meyer,goalkeeper,7.0,0.3891625615763547,0.014285714285714285,0.7669950738916257,0.17142857142857143,0.24802431610942247,0.5673469387755102,0.16666666666666666,0.015175097276264591,0.3771428571428571,0.018518518518518517,0.43333333333333335,0.45714285714285713,0.1285714285714286,0.15238095238095237,0.09523809523809523,0.00892857142857143,0.04285714285714285,0.0
111,Vanja Milinković-Savić,goalkeeper,38.0,0.3248638838475499,0.0024210526315789475,0.8134301270417423,0.375,0.7150279955207166,0.5661654135338345,0.16228070175438597,0.0040651238992422695,0.451578947368421,0.006822612085769981,0.4114035087719298,0.37894736842105264,0.09210526315789475,0.11929824561403508,0.08333333333333333,0.0018382352942105265,0.0868421052631579,0.0
113,Lorenzo Montipò,goalkeeper,37.0,0.462255358807083,0.002918918918918919,0.8096924510717615,0.4864864864864865,0.6060954571592869,0.3494208494208494,0.11171171171171171,0.0046587443474603,0.4605405405405405,0.005215215215215216,0.44684684684684683,0.2810810810810811,0.07432432432432433,0.16306306306306306,0.11171171171171171,0.0018515753321621622,0.04054054054054054,0.08108108108108109
114,Florian Müller,goalkeeper,19.0,0.49364791288566245,0.006315789473684211,0.7905626134301271,0.2578947368421053,0.32286674132138854,0.45037593984962404,0.17192982456140352,0.005979930370673766,0.42,0.007134502923976609,0.45614035087719296,0.12631578947368421,0.07368421052631578,0.1526315789473684,0.09298245614035087,0.0032062915910526318,0.015789473684210523,0.0
115,Juan Musso,goalkeeper,23.1,0.3239289446185998,0.003982683982683983,0.8128078817733991,0.23593073593073594,0.345730864879801,0.3382807668521954,0.2193362193362193,0.0054070443175501534,0.40779220779220776,0.007792207792207792,0.36507936507936506,0.24242424242424243,0.051948051948051945,0.12842712842712842,0.09235209235209235,0.0031129918770562773,0.09090909090909091,0.0
116,Yvon Mvogo,goalkeeper,20.1,0.46491679533367647,0.0053731343283582094,0.8229541945445189,0.21393034825870647,0.32823118450301675,0.33617626154939584,0.14096185737976782,0.006214065857483013,0.43283582089552236,0.006744057490326147,0.6318407960199005,0.417910447761194,0.017412935323383085,0.16252072968490877,0.11608623548922055,0.003553660270149254,0.04477611940298507,0.0
117,Keylor Navas,goalkeeper,17.0,0.5943204868154159,0.007529411764705883,0.8111561866125762,0.31176470588235294,0.5446808510638298,0.3176470588235294,0.12745098039215685,0.009452964065003433,0.5329411764705883,0.01047930283224401,0.5784313725490196,0.32941176470588235,0.02647058823529412,0.1627450980392157,0.1,0.0036144578311764707,0.01764705882352941,0.0
118,Neto,goalkeeper,26.5,0.516590761223162,0.0039245283018867925,0.8342225113858166,0.30188679245283023,0.477173825772782,0.323989218328841,0.1710691823899371,0.005550253285368181,0.5230188679245282,0.006233403214535291,0.6415094339622641,0.5283018867924528,0.04716981132075472,0.17358490566037735,0.12578616352201258,0.0027344818158490567,0.06792452830188679,0.0
119,Manuel Neuer,goalkeeper,12.0,0.42241379310344823,0.009666666666666667,0.8594827586206898,0.1625,0.19049645390070918,0.5178571428571428,0.225,0.008690012970168613,0.345,0.007345679012345679,0.28611111111111115,0.13333333333333333,0.09583333333333334,0.12222222222222222,0.09166666666666666,0.00625,0.09999999999999999,0.0
120,Alexander Nübel,goalkeeper,38.0,0.44918330308529947,0.0025263157894736842,0.8126134301270418,0.2486842105263158,0.33885778275475925,0.32894736842105265,0.1780701754385965,0.003358591030104444,0.42,0.0044444444444444444,0.39824561403508774,0.37894736842105264,0.04342105263157895,0.17105263157894737,0.12280701754385964,0.0018893387313157896,0.07105263157894737,0.0
121,Ørjan Nyland,goalkeeper,2.0,0.3103448275862069,0.072,0.8689655172413794,0.275,0.47744680851063825,0.5928571428571429,0.15,0.06536964980544747,0.44999999999999996,0.06796296296296298,0.4666666666666667,0.0,0.0,0.08333333333333333,0.06666666666666667,0.04,0.15,0.0
