,Player,Position,PTCrs,PTTB,LxA,LKP,LFTP,LPPA,LPrgP,Att_Pen,TOAtt,TOSucc,CaPrgC,CaCPA,PrgR,90s,npxG,npxG/Sh,SSh,SSoT,Off
333,Diego López,left winger,0.105,0.04000000000000001,0.06666666666666668,0.22000000000000003,0.13999999999999999,0.11000000000000001,0.17,0.22000000000000003,0.12666666666666665,0.135,0.22,0.15,0.30666666666666664,5.0,0.0,0.0,0.0,0.0,0.0
334,Diego López,left winger,0.105,0.04000000000000001,0.06666666666666668,0.22000000000000003,0.13999999999999999,0.11000000000000001,0.17,0.22000000000000003,0.12666666666666665,0.135,0.22,0.15,0.30666666666666664,5.0,0.0,0.0,0.0,0.0,0.020000000000000004
335,Diego López,left winger,0.105,0.04000000000000001,0.06666666666666668,0.22000000000000003,0.13999999999999999,0.11000000000000001,0.17,0.22000000000000003,0.12666666666666665,0.135,0.22,0.15,0.30666666666666664,5.0,0.175,0.175,0.22,0.16000000000000003,0.0
336,Diego López,left winger,0.105,0.04000000000000001,0.06666666666666668,0.22000000000000003,0.13999999999999999,0.11000000000000001,0.17,0.22000000000000003,0.12666666666666665,0.135,0.22,0.15,0.30666666666666664,5.0,0.175,0.175,0.22,0.16000000000000003,0.020000000000000004
337,Jamal Lowe,right winger,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
338,Hirving Lozano,right winger,0.17942415730337075,0.0,0.06179775280898876,0.1853932584269663,0.14044943820224717,0.11235955056179775,0.13764044943820225,0.17623803578859762,0.14606741573033707,0.16011235955056177,0.2530765115034778,0.18539325842696627,0.35580524344569286,17.8,0.07584269662921349,0.0646067415730337,0.2111423220973783,0.07303370786516854,0.02247191011235955
339,Dodi Lukebakio,right winger,0.10690789473684209,0.015037593984962405,0.06015037593984963,0.1199248120300752,0.06766917293233082,0.04887218045112782,0.07894736842105264,0.157755499860763,0.17669172932330826,0.18890977443609022,0.18904403866809882,0.2706766917293233,0.22305764411027568,26.6,0.08082706766917293,0.044172932330827065,0.20332080200501254,0.08270676691729323,0.06390977443609024
340,Awer Mabil,left winger,0.21875,0.0,0.0,0.06111111111111112,0.22222222222222224,0.0,0.11111111111111112,0.045267489711934165,0.07407407407407407,0.08333333333333333,0.1455026455026455,0.0,0.25925925925925924,1.8,0.02777777777777778,0.02777777777777778,0.1527777777777778,0.05555555555555556,0.0
341,Darwin Machís,left winger,0.24160447761194026,0.014925373134328358,0.08955223880597016,0.14776119402985075,0.1044776119402985,0.08208955223880597,0.07462686567164178,0.19458264234383638,0.14925373134328357,0.12313432835820894,0.2267235252309879,0.24626865671641787,0.263681592039801,6.7,0.041044776119402986,0.041044776119402986,0.2599502487562189,0.08955223880597016,0.029850746268656716
342,Noni Madueke,right winger,0.11707746478873239,0.0,0.03286384976525822,0.2014084507042254,0.15492957746478875,0.09154929577464789,0.25352112676056343,0.35576421491914456,0.29577464788732394,0.3485915492957746,0.3541247484909457,0.5492957746478873,0.4694835680751174,7.1,0.03169014084507042,0.03169014084507042,0.15492957746478878,0.08450704225352114,0.028169014084507046
343,Riyad Mahrez,right winger,0.19718309859154928,0.04694835680751174,0.08294209702660407,0.26854460093896715,0.16901408450704225,0.08685446009389672,0.17840375586854462,0.2103981916188489,0.11424100156494521,0.08802816901408451,0.19181757209926226,0.3169014084507042,0.378716744913928,21.3,0.06455399061032864,0.05516431924882629,0.18075117370892022,0.05633802816901409,0.03286384976525821
344,Linton Maina,right winger,0.15286144578313254,0.004016064257028113,0.06425702811244981,0.15461847389558236,0.12851405622489961,0.05020080321285141,0.12248995983935745,0.16198125836680055,0.09103078982597056,0.06626506024096385,0.18932874354561102,0.22289156626506024,0.23159303882195448,24.9,0.04618473895582329,0.04618473895582329,0.12884872824631863,0.05220883534136547,0.07228915662650602
345,Sadio Mané,left winger,0.06091772151898733,0.0189873417721519,0.0759493670886076,0.1670886075949367,0.10759493670886076,0.0949367088607595,0.1360759493670886,0.33520862634786686,0.11181434599156116,0.11392405063291138,0.19559975889089815,0.31329113924050633,0.3459915611814346,15.8,0.14082278481012658,0.11392405063291139,0.30748945147679324,0.12658227848101264,0.1329113924050633
346,Myziane Maolida,left winger,0.047297297297297286,0.0,0.07207207207207209,0.0891891891891892,0.1891891891891892,0.08108108108108109,0.1081081081081081,0.12112112112112113,0.13513513513513511,0.2027027027027027,0.1981981981981982,0.1216216216216216,0.3153153153153153,3.7,0.03378378378378378,0.03378378378378378,0.14864864864864866,0.05405405405405405,0.027027027027027025
347,Myziane Maolida,left winger,0.011824324324324322,0.0,0.07207207207207209,0.0891891891891892,0.1891891891891892,0.08108108108108109,0.1081081081081081,0.12112112112112113,0.13513513513513511,0.2027027027027027,0.1981981981981982,0.1216216216216216,0.3153153153153153,3.7,0.03378378378378378,0.03378378378378378,0.14864864864864866,0.05405405405405405,0.027027027027027025
348,Omar Marmoush,left winger,0.0666920731707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.26829268292682934,0.10365853658536586,0.07926829268292684
353,Marquinhos,right winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
354,Marquinhos,right winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
355,Marquinhos,right winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
356,Marquinhos,right winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
361,Marquinhos,right winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
362,Marquinhos,right winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
363,Marquinhos,right winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
364,Marquinhos,right winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
369,Marquinhos,right winger,0.0,0.0,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
370,Marquinhos,right winger,0.0,0.0,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
371,Marquinhos,right winger,0.0,0.0,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
372,Marquinhos,right winger,0.0,0.0,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
377,Marquinhos,right winger,0.0,0.0,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
378,Marquinhos,right winger,0.0,0.0,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
379,Marquinhos,right winger,0.0,0.0,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
380,Marquinhos,right winger,0.0,0.0,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
385,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
386,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
387,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
388,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
393,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.0,0.0,0.0,0.0,0.0,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
394,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.0,0.0,0.0,0.0,0.0,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
395,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.0,0.0,0.0,0.0,0.0,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
396,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.0,0.0,0.0,0.0,0.0,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
401,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
402,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
403,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
404,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.0,0.0,0.0,0.0,0.0,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
409,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
410,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.0,0.0,0.0,0.0,0.0
