,Player,Position,BTklInt,CTkl%,PTCrs,PTTB,SCA,LPrgP,LFTP,LxA,CaFTC,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,90s,PrgR
179,Danilo,right-back,0.03414394497666421,0.0020122281557155017,0.005170927894283251,0.009685230024213074,0.015921931176168466,0.022598870056497175,0.030185633575464083,0.011596788581623552,0.006632277081798084,0.009579955784819454,0.00823045267489712,0.004688063469166967,0.004797913950456323,0.004065972622451009,35.4,0.04048964218455744
180,Danilo,right-back,0.11191626409017713,0.006595636732623034,0.016949152542372878,0.03174603174603174,0.05218855218855219,0.07407407407407406,0.09894179894179893,0.03801169590643275,0.06280193236714976,0.09420289855072463,0.24096936442615452,0.11009793988517391,0.04393162393162392,0.11733469513157128,10.8,0.06790123456790123
181,Danilo,right-back,0.03414394497666421,0.0020122281557155017,0.005170927894283251,0.009685230024213074,0.015921931176168466,0.022598870056497175,0.030185633575464083,0.011596788581623552,0.019159911569638907,0.02873986735445836,0.07351607728255563,0.03358920199886662,0.013402868318122554,0.0349141649112896,35.4,0.04048964218455744
182,Matteo Darmian,right-back,0.029758454106280193,0.0029314420803782507,0.012655367231638417,0.007619047619047618,0.01575757575757576,0.017777777777777778,0.01726984126984127,0.028070175438596495,0.020869565217391306,0.025507246376811593,0.06364883401920439,0.03055724417426545,0.01977435897435897,0.03301497147696983,22.5,0.14222222222222222
183,Alphonso Davies,left-back,0.02643171806167401,0.0020332090816672314,0.011199880534607631,0.007551919446192573,0.035242290748898675,0.02663195835002002,0.027690371302706105,0.05981915140273592,0.07584753878567324,0.13445700057460258,0.04851253603089139,0.036634843270891636,0.044323957980345635,0.039122801184005074,22.7,0.23201174743024963
184,Ben Davies,left-back,0.015748031496062992,0.0021199273167777106,0.014013078873615373,0.0033745781777277835,0.013242662848962061,0.019148174659985685,0.017772778402699665,0.01864898466639039,0.033892502567613836,0.04005477576172544,0.04996597647516283,0.02688892611827777,0.016208358570563294,0.0275081544109729,25.4,0.09055118110236221
185,Mattia De Sciglio,right-back,0.013493253373313344,0.005541871921182267,0.022793687901811806,0.0,0.011755485893416927,0.019592476489028215,0.02512315270935961,0.01088929219600726,0.026986506746626688,0.035982008995502246,0.04044274159216688,0.026569541976731996,0.020212201591511936,0.026452844872683606,11.6,0.1149425287356322
186,Lorenzo De Silvestri,right-back,0.006956521739130435,0.0057142857142857125,0.009491525423728813,0.011428571428571427,0.013333333333333332,0.018787878787878787,0.022095238095238095,0.008421052631578949,0.04173913043478261,0.0626086956521739,0.05662551440329218,0.028814589665653496,0.019938461538461537,0.030559748897690753,7.5,0.07555555555555556
187,Thibault De Smet,left-back,0.019620958751393535,0.0015246015246015245,0.025032594524119947,0.0,0.013519813519813519,0.020745920745920743,0.025201465201465205,0.02914979757085021,0.04280936454849498,0.05217391304347826,0.04533080088635644,0.030862754267009584,0.026130177514792893,0.03110610337275011,19.5,0.15213675213675212
188,Thomas Delaine,left-back,0.032151991231275115,0.004201680672268908,0.05640222190571143,0.007202881152460983,0.01757066462948816,0.00802139037433155,0.0067226890756302525,0.06634232640424592,0.059188892948483736,0.08330288637194007,0.030708579728187572,0.02045924752879875,0.03707821590174531,0.025339453470649153,11.9,0.25770308123249297
189,Fran Delgado,right-back,0.0,0.0,0.10169491525423728,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.024691358024691357,0.027355623100303948,0.07384615384615384,0.03818847619759361,0.1,1.0
190,Fabio Depaoli,right-back,0.024456521739130436,0.0022786458333333335,0.023834745762711863,0.003348214285714285,0.01740056818181818,0.013494318181818182,0.010267857142857143,0.01973684210526316,0.017323369565217392,0.03057065217391304,0.025655864197530864,0.016634213525835866,0.025312499999999995,0.019345293700022418,25.6,0.10677083333333333
191,Fabio Depaoli,right-back,0.024456521739130436,0.0022786458333333335,0.003177966101694915,0.003348214285714285,0.01740056818181818,0.013494318181818182,0.010267857142857143,0.01973684210526316,0.017323369565217392,0.03057065217391304,0.025655864197530864,0.016634213525835866,0.025312499999999995,0.019345293700022418,25.6,0.10677083333333333
192,Mikkel Desler,right-back,0.03706911484496795,0.0025569364333709937,0.01701667904652576,0.0034149117814456452,0.017747193045997825,0.024628757696486776,0.023676721684689813,0.03271126022226882,0.05820197470985622,0.06131993764074137,0.044955978554916134,0.03400380241950132,0.03508427827152926,0.035181894051475135,25.1,0.16865869853917662
193,Sergiño Dest,right-back,0.037602820211515856,0.02027027027027027,0.010994044892349975,0.0,0.027027027027027025,0.0171990171990172,0.02316602316602316,0.017069701280227598,0.02115158636897767,0.07755581668625146,0.050050050050050046,0.028587858375092416,0.030436590436590426,0.0315231156722824,3.7,0.1081081081081081
194,Giovanni Di Lorenzo,right-back,0.02161902474177276,0.0014094035404216936,0.024721415862908512,0.011838989739542222,0.02787543947764942,0.03214465092918131,0.02794001578531965,0.03838325094504216,0.0446793177996637,0.052606293538313705,0.04876884250733237,0.037179465650136856,0.04018699532511687,0.03901962087746252,36.2,0.16758747697974216
195,Ibrahim Diakité,right-back,0.0463768115942029,0.04444444444444444,0.04745762711864407,0.0,0.0,0.00606060606060606,0.0038095238095238095,0.0,0.017391304347826084,0.0,0.04938271604938271,0.01945288753799392,0.028307692307692305,0.02602197145205889,1.5,0.13333333333333333
196,Baila Diallo,left-back,0.008695652173913044,0.0,0.05084745762711864,0.0,0.01818181818181818,0.004545454545454545,0.0,0.06315789473684212,0.05217391304347826,0.07826086956521738,0.03209876543209877,0.01641337386018237,0.0443076923076923,0.02585755922576788,1.0,0.3
197,Ismael Diallo,left-back,0.027308659719726916,0.0022956841138659324,0.01470794228883597,0.014167650531286893,0.006386175807663411,0.01314800901577761,0.017237308146399056,0.009134406263592867,0.03557312252964427,0.03880704275961193,0.05274971941638608,0.02385139038910799,0.013502860775588047,0.025409162244974217,24.2,0.049586776859504134
198,Moussa Diarra,left-back,0.024936061381074168,0.004411764705882354,0.009720837487537388,0.0,0.0106951871657754,0.016711229946524065,0.012605042016806723,0.013931888544891644,0.04219948849104859,0.04028132992327366,0.05374001452432825,0.023064544966922937,0.020769230769230766,0.027344522742958628,13.6,0.1053921568627451
199,Lucas Digne,left-back,0.02499349127831294,0.0036291054255126113,0.04688927230285193,0.0,0.01578660860097986,0.015514425694066412,0.013686911890504706,0.035928143712574856,0.02186930486852382,0.0453007029419422,0.05396614179049309,0.02162240867808456,0.037807461999078765,0.03110004488444828,16.7,0.17764471057884232
200,Dodô,left-back,0.021823065301326175,0.0018465670639583685,0.023951312086905308,0.006618863761720903,0.022815022815022817,0.024745524745524744,0.020518477661334807,0.024385287543182282,0.058418667114319284,0.07251972469363774,0.044234710901377566,0.02862306509722923,0.032931392931392925,0.03146598401063688,25.9,0.13384813384813385
201,Matt Doherty,right-back,0.027459954233409613,0.010526315789473686,0.02408563782337199,0.0,0.0215311004784689,0.011961722488038277,0.010526315789473686,0.012465373961218837,0.017162471395881007,0.05491990846681922,0.04873294346978557,0.0224364101743721,0.042267206477732785,0.03189321858566153,7.6,0.2543859649122807
202,Matt Doherty,right-back,0.027459954233409613,0.010526315789473686,0.0,0.0,0.0215311004784689,0.011961722488038277,0.010526315789473686,0.012465373961218837,0.017162471395881007,0.05491990846681922,0.04873294346978557,0.0224364101743721,0.042267206477732785,0.03189321858566153,7.6,0.2543859649122807
203,Josh Doig,left-back,0.017391304347826087,0.0025,0.031186440677966103,0.0,0.021212121212121213,0.008181818181818182,0.010666666666666666,0.027368421052631584,0.04173913043478261,0.07130434782608695,0.031440329218106994,0.016778115501519756,0.031507692307692306,0.02191166579478365,15.0,0.13555555555555554
204,Giulio Donati,right-back,0.014801110083256245,0.010638297872340425,0.01947349441038586,0.0,0.007736943907156673,0.020309477756286266,0.023100303951367782,0.00671892497200448,0.03330249768732654,0.022201665124884366,0.07932755450485947,0.03084783030459807,0.017283142389525365,0.03535498889342939,4.7,0.05673758865248227
205,Guela Doué,right-back,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.04938271604938271,0.054711246200607896,0.05538461538461538,0.05298557656378447,0.1,0.0
206,Souleyman Doumbia,left-back,0.03146165610662006,0.002755714054141676,0.02452942679499191,0.0,0.014618547281863865,0.013248058474189127,0.013208901651112707,0.026976990214229047,0.05636880052436094,0.06816692156434345,0.04231031701718469,0.026851583143681936,0.02560494781600309,0.028051099229801202,19.9,0.15912897822445563
207,Cody Drameh,right-back,0.06521739130434782,0.08333333333333331,0.01271186440677966,0.0,0.011363636363636364,0.011363636363636364,0.014285714285714285,0.0,0.03260869565217391,0.0,0.021604938271604937,0.02963525835866261,0.02538461538461538,0.02585755922576788,0.8,0.125
208,Denzel Dumfries,right wingback,0.016613644397313537,0.002630320420851267,0.033898305084745756,0.0034843205574912888,0.0262379896526238,0.010901699926090169,0.00743321718931475,0.050064184852374835,0.03393425238600212,0.0657476139978791,0.02669878550637358,0.020424049225294682,0.035046904315197,0.02405303479086655,24.6,0.2330623306233062
209,Festy Ebosele,right-back,0.03213610586011342,0.008695652173913045,0.03537214443625645,0.018633540372670808,0.02173913043478261,0.016798418972332016,0.011180124223602485,0.03432494279176202,0.10207939508506617,0.15311909262759923,0.03435319377348363,0.01625479053786177,0.038929765886287625,0.02371305192631993,4.6,0.15942028985507248
210,Enzo Ebosse,left-back,0.021950189953566904,0.006721433905899924,0.014809939114694748,0.0,0.007060900264783759,0.02250661959399823,0.023855755894590845,0.0030659172202350538,0.01772899957788096,0.027859856479527226,0.06999880139038714,0.02709003452651459,0.012905153099327854,0.030670208373995006,10.3,0.06472491909385113
211,Tyronne Ebuehi,right-back,0.013815522145469323,0.003235082674335011,0.013305876762236655,0.0,0.01231945624468989,0.008708581138487681,0.0069425901201602145,0.0162321692080669,0.02559934985778139,0.03778951645672491,0.05215184031383409,0.018620572110331506,0.01811646297627606,0.023829296247224584,21.4,0.06542056074766356
212,Kingsley Ehizibue,right-back,0.02882266731802638,0.003620474406991261,0.02113883069891449,0.0,0.016343207354443307,0.01072522982635342,0.01059390048154093,0.01951507983441751,0.026380068392769906,0.043966780654616504,0.03870162297128589,0.015163416549981216,0.025203111495246323,0.02123000162061081,17.8,0.1348314606741573
213,Kingsley Ehizibue,right-back,0.02882266731802638,0.003620474406991261,0.0,0.0,0.016343207354443307,0.01072522982635342,0.01059390048154093,0.01951507983441751,0.026380068392769906,0.043966780654616504,0.03870162297128589,0.015163416549981216,0.025203111495246323,0.02123000162061081,17.8,0.1348314606741573
